N,seed,mode,n_surv,f_surv,tau,orden_color_init,orden_color,orden_amp,frac_quark,frac_lepton,L2_K6,null_L2_K6,ratio_L2_K6,L2_K12_q,ratio_L2_K12_q,L2_K12_l,ratio_L2_K12_l,L2_K12,null_L2_K12,ratio_L2_K12,L2_K24,null_L2_K24,ratio_L2_K24
250,18,shuffle_b,128,0.512,240,0.008944271909999158,0.2887456033215051,32.282736252234095,0.5,0.5,0.3363309227283946,0.11410886614690961,2.947456530637899,0.4432288606540268,3.7034995734992453,0.2900812565759234,2.4238399287081647,0.2900812565759234,0.11967838846954226,2.4238399287081647,0.2648579611477317,0.08652733190539662,3.0609745535354107
250,18,shuffle_l,128,0.512,240,0.008944271909999158,0.2887456033215051,32.282736252234095,0.5,0.5,0.2896553585856295,0.14085904245475275,2.056349053193895,0.28923840368572545,2.4167972796469903,0.2900812565759233,2.4238399287081642,0.2900812565759233,0.11967838846954226,2.4238399287081642,0.20482064689828838,0.08652733190539662,2.367120797417237
250,19,qcd,128,0.512,240,0.011999999999999999,0.2976962325509008,24.80801731190696,0.515625,0.484375,0.0,0.9128709291752769,0.0,0.2894692905233758,2.456228379292054,0.2892752914476259,2.3790384710888604,0.2892752914476259,0.12159336427848001,2.3790384710888604,0.20482064689828838,0.08652733190539662,2.367120797417237
250,19,shuffle_b,128,0.512,240,0.012,0.2976962325509008,24.808017311906955,0.515625,0.484375,0.4104914298225475,0.15891043154093204,2.583162262175428,0.2894692905233758,2.456228379292054,0.2892752914476259,2.3790384710888604,0.2892752914476259,0.12159336427848001,2.3790384710888604,0.20482064689828838,0.08652733190539662,2.367120797417237
250,19,shuffle_l,129,0.516,240,0.011999999999999999,0.29538850981794806,24.61570710018675,0.5116279069767442,0.4883720930232558,0.0,0.9128709291752769,0.0,0.2894692905233758,2.456228379292054,0.2893289862469553,2.3985926609674166,0.2893289862469553,0.12062447740929098,2.3985926609674166,0.2047487728225921,0.08619130216254683,2.3755154834122307
250,20,qcd,127,0.508,240,0.008944271909999158,0.29556416345076314,33.04507436488664,0.5118110236220472,0.4881889763779528,0.2912398045607628,0.13921151159742612,2.092066965000526,0.2906498194636299,2.447490508706784,0.29017319932287383,2.386422984878539,0.29017319932287383,0.12159336427848001,2.386422984878539,0.20547384530803153,0.08686732273145169,2.3653755963361407
250,20,shuffle_b,127,0.508,240,0.008944271909999158,0.29556416345076314,33.04507436488664,0.5118110236220472,0.4881889763779528,0.3483972884674045,0.11322770341445958,3.076961538221157,0.45245331686790985,3.809997889249274,0.29017319932287383,2.386422984878539,0.29017319932287383,0.12159336427848001,2.386422984878539,0.27150610324225655,0.08686732273145169,3.125526316513879
250,20,shuffle_l,128,0.512,240,0.008944271909999158,0.29325506842380406,32.78690972141096,0.5078125,0.4921875,0.2912398045607628,0.13921151159742612,2.092066965000526,0.2906498194636299,2.447490508706784,0.290198496806067,2.4058010698889443,0.290198496806067,0.12062447740929098,2.4058010698889443,0.20541576867619812,0.08652733190539662,2.373998644737901
250,21,qcd,127,0.508,240,0.009797958971132711,0.29556416345076314,30.16588803399591,0.5118110236220472,0.4881889763779528,0.0,0.9128709291752769,0.0,0.2898343402241625,2.440623558979008,0.2892752914476259,2.3790384710888604,0.2892752914476259,0.12159336427848001,2.3790384710888604,0.20486947212717635,0.08686732273145169,2.358418167905618
250,21,shuffle_b,127,0.508,240,0.009797958971132711,0.29556416345076314,30.16588803399591,0.5118110236220472,0.4881889763779528,0.4104914298225475,0.15891043154093204,2.583162262175428,0.2898343402241625,2.440623558979008,0.2892752914476259,2.3790384710888604,0.2892752914476259,0.12159336427848001,2.3790384710888604,0.20486947212717632,0.08686732273145169,2.3584181679056178
250,21,shuffle_l,127,0.508,240,0.009797958971132711,0.29556416345076314,30.16588803399591,0.5118110236220472,0.4881889763779528,0.0,0.9128709291752769,0.0,0.2898343402241625,2.440623558979008,0.2892752914476259,2.3790384710888604,0.2892752914476259,0.12159336427848001,2.3790384710888604,0.20486947212717635,0.08686732273145169,2.358418167905618
250,22,qcd,125,0.5,240,0.0,0.2909845356715714,290984535.6715714,0.504,0.496,0.019440394783993474,0.11501092655705904,0.16903085094570328,0.28932898624695536,2.398592660967417,0.2901731993228739,2.3864229848785397,0.2901731993228739,0.12159336427848001,2.3864229848785397,0.2048934682544403,0.08755950357709132,2.340048308680084
250,22,shuffle_b,125,0.5,240,0.0,0.2909845356715714,290984535.6715714,0.504,0.496,0.019440394783993474,0.11501092655705904,0.16903085094570328,0.28932898624695536,2.398592660967417,0.2901731993228739,2.3864229848785397,0.2901731993228739,0.12159336427848001,2.3864229848785397,0.2048934682544403,0.08755950357709132,2.340048308680084
