rule_id,N,escala_b,dt,diam_real,giant_real,holon_real,n_aristas,n_triangulos,diam_null_topo,diam_null_topo_std,holon_null_valor,brazo,clase_final
A2-B0-C2-r1,475,8,0.12,6.0,0.9136842105263158,1.1386686379282827,1375,15,6.0,1e-09,1.977297201357194,C2-budget-soporte,I
A2-B0-C2-r1,332,16,0.14,5.0,0.8765060240963856,1.1386686379282827,1175,15,4.0,1e-09,1.977297201357194,C2-budget-soporte,I
A2-B0-C2-r1,2000,1,0.02,14.0,0.9695,1.5039172095646955,3240,15,13.333333333333334,0.4714045217910317,1.9869781819165644,C2-random,III
A2-B0-C2-r1,1170,2,0.05,10.0,0.9529914529914529,1.5039172095646955,2408,15,9.0,0.816496581927726,1.9869781819165644,C2-random,III
A2-B0-C2-r1,739,4,0.09,7.0,0.9269282814614344,1.5039172095646955,1964,15,6.666666666666667,0.4714045217910317,1.9869781819165644,C2-random,III
A2-B0-C2-r1,507,8,0.12,5.0,0.893491124260355,1.5039172095646955,1703,15,5.0,1e-09,1.9869781819165644,C2-random,III
A2-B0-C2-r1,379,16,0.15,4.0,0.8575197889182058,1.5039172095646955,1517,15,4.333333333333333,0.4714045217910317,1.9869781819165644,C2-random,III
A2-B0-C2-r1,2000,1,0.06,8.0,0.997,1.8698475293082404,6390,126,7.333333333333333,0.4714045217910317,1.776348336812106,C0,II
A2-B0-C2-r1,1101,2,0.14,5.0,0.9945504087193461,1.8698475293082404,5468,126,5.666666666666667,0.4714045217910317,1.776348336812106,C0,II
A2-B0-C2-r1,655,4,0.21,5.0,0.9908396946564886,1.8698475293082404,4954,126,5.0,1e-09,1.776348336812106,C0,II
A2-B0-C2-r1,403,8,0.27,3.0,0.9851116625310173,1.8698475293082404,4480,126,4.0,1e-09,1.776348336812106,C0,II
A2-B0-C2-r1,307,16,0.34,4.0,0.9804560260586319,1.8698475293082404,3725,126,3.6666666666666665,0.4714045217910317,1.776348336812106,C0,II
A2-B0-C2-r2,2000,1,0.02,10.0,0.9865,0.6595168091698562,4140,93,10.0,0.816496581927726,1.3822548834574557,C2-hard,I
A2-B0-C2-r2,1153,2,0.12,7.0,0.9765828274067649,0.6595168091698562,3265,93,7.666666666666667,0.4714045217910317,1.3822548834574557,C2-hard,I
A2-B0-C2-r2,703,4,0.19,6.0,0.9615931721194879,0.6595168091698562,2812,93,5.666666666666667,0.4714045217910317,1.3822548834574557,C2-hard,I
A2-B0-C2-r2,447,8,0.24,5.0,0.9395973154362416,0.6595168091698562,2470,93,5.0,1e-09,1.3822548834574557,C2-hard,I
A2-B0-C2-r2,335,16,0.29,4.0,0.9194029850746268,0.6595168091698562,2173,93,3.6666666666666665,0.4714045217910317,1.3822548834574557,C2-hard,I
A2-B0-C2-r2,2000,1,0.04,11.0,0.985,0.8081558079309001,5085,87,9.333333333333334,0.9428090425820633,1.3791280543992497,C2-hibrido,I
A2-B0-C2-r2,1152,2,0.12,7.0,0.9748263888888888,0.8081558079309001,4216,87,7.0,0.816496581927726,1.3791280543992497,C2-hibrido,I
A2-B0-C2-r2,724,4,0.19,5.0,0.9599447513812155,0.8081558079309001,3762,87,4.666666666666667,0.4714045217910317,1.3791280543992497,C2-hibrido,I
A2-B0-C2-r2,478,8,0.25,5.0,0.9393305439330544,0.8081558079309001,3392,87,4.666666666666667,0.4714045217910317,1.3791280543992497,C2-hibrido,I
A2-B0-C2-r2,374,16,0.3,4.0,0.9224598930481284,0.8081558079309001,2898,87,4.0,1e-09,1.3791280543992497,C2-hibrido,I
