carpeta,rule_id,seed,variante,brazo,realizacion,lote,T_objetivo,n_aristas,n_triangulos,pico_p90_med,pico_cv,pico_max_med,frac_aristas_en_triangulo,tri_por_arista_media,frac_aristas_multi_tri,gini_tri_nodo,pendiente_corregida,frac_masa,n_sumideros,kappa_v,t_primer_sumidero,n_gas_inicial,n_dump_final,clave
A2-B0-C2-batch4-r36_s575321_f803_disp0,A2-B0-C2-batch4-r36,575321,disp0,disp,0,571828,31,2343,31,11.149548300211324,4.076664331772323,814.452907173882,0.03969270166453265,1.0,0.0,0.9535,0.9335253947670435,0.14349999999999996,8,1.2769953051643186,0.03,2000,cosmog_00500,A2-B0-C2-batch4-r36_s575321
A2-B0-C2-batch4-r36_s575321_f803_disp1,A2-B0-C2-batch4-r36,575321,disp1,disp,1,571828,31,2343,31,10.923863909758023,4.041010880790095,545.3594002720376,0.03969270166453265,1.0,0.0,0.9535,1.0483911913724924,0.14649999999999996,8,1.379146919431279,0.033,2000,cosmog_00500,A2-B0-C2-batch4-r36_s575321
A2-B0-C2-batch4-r36_s575321_f803_disp2,A2-B0-C2-batch4-r36,575321,disp2,disp,2,571828,31,2343,31,11.343560606125774,3.895810122180905,501.4086732455941,0.03969270166453265,1.0,0.0,0.9535,1.0580269810740512,0.14849999999999997,8,1.3333333333333335,0.039,2000,cosmog_00500,A2-B0-C2-batch4-r36_s575321
A2-B0-C2-batch4-r36_s575321_f803_solap0,A2-B0-C2-batch4-r36,575321,solap0,solap,0,571828,31,2343,30,12.025439075023135,3.930743445506793,550.2739346092538,0.01835253947930004,2.0930232558139537,0.7906976744186046,0.9901555555555556,1.1264138742473926,0.14899999999999994,8,1.336405529953917,0.033,2000,cosmog_00500,A2-B0-C2-batch4-r36_s575321
A2-B0-C2-batch4-r36_s575321_f803_solap1,A2-B0-C2-batch4-r36,575321,solap1,solap,1,571828,31,2343,31,10.743016368858182,3.9903852985666965,595.9274055041712,0.02560819462227913,1.55,0.5,0.9851774193548387,1.1352553191594255,0.148,8,1.311111111111111,0.031,2000,cosmog_00500,A2-B0-C2-batch4-r36_s575321
A2-B0-C2-batch4-r36_s575321_f803_solap2,A2-B0-C2-batch4-r36,575321,solap2,solap,2,571828,31,2343,31,11.944301702834297,3.9225174575586204,505.5551779468844,0.019206145966709345,2.066666666666667,0.7333333333333333,0.9900161290322581,1.1182816955732424,0.14899999999999997,8,1.3424657534246576,0.035,2000,cosmog_00500,A2-B0-C2-batch4-r36_s575321
A2-B0-C2-batch4-r62_s577843_f803_disp0,A2-B0-C2-batch4-r62,577843,disp0,disp,0,571828,220,3299,220,7.298860004440722,4.24985752184732,642.3542414170873,0.20006062443164596,1.0,0.0,0.67,0.6861921604742904,0.09900000000000003,8,0.5161290322580645,0.039,2000,cosmog_00500,A2-B0-C2-batch4-r62_s577843
A2-B0-C2-batch4-r62_s577843_f803_disp1,A2-B0-C2-batch4-r62,577843,disp1,disp,1,571828,220,3299,220,9.262847081751044,4.194194655326974,679.7242638197182,0.19945438011518643,1.0030395136778116,0.00303951367781155,0.6749621212121212,0.788647782158061,0.10300000000000001,8,0.5614973262032084,0.038,2000,cosmog_00500,A2-B0-C2-batch4-r62_s577843
A2-B0-C2-batch4-r62_s577843_f803_disp2,A2-B0-C2-batch4-r62,577843,disp2,disp,2,571828,220,3299,220,9.919604156495907,4.337109279968599,965.9535300422317,0.19975750227341618,1.0015174506828528,0.0015174506828528073,0.6719939393939394,0.750128603075907,0.10350000000000004,8,0.5427135678391958,0.035,2000,cosmog_00500,A2-B0-C2-batch4-r62_s577843
A2-B0-C2-batch4-r62_s577843_f803_solap0,A2-B0-C2-batch4-r62,577843,solap0,solap,0,571828,220,3299,219,12.707590350938792,4.284880865201179,955.4308834721327,0.07668990603213095,2.5968379446640317,0.8814229249011858,0.9516659056316591,0.8252179736776738,0.11150000000000004,8,0.6575342465753423,0.03,2000,cosmog_00500,A2-B0-C2-batch4-r62_s577843
A2-B0-C2-batch4-r62_s577843_f803_solap1,A2-B0-C2-batch4-r62,577843,solap1,solap,1,571828,220,3299,220,14.814869156325626,4.220702749282548,979.3024142389283,0.07820551682327978,2.558139534883721,0.872093023255814,0.9516545454545454,0.773574413002738,0.11600000000000003,8,0.7164179104477612,0.038,2000,cosmog_00500,A2-B0-C2-batch4-r62_s577843
A2-B0-C2-batch4-r62_s577843_f803_solap2,A2-B0-C2-batch4-r62,577843,solap2,solap,2,571828,220,3299,220,13.96081033194293,4.15407855066142,828.5944898682827,0.08184298272203698,2.4444444444444446,0.8444444444444444,0.9492287878787878,0.8270712552018329,0.11350000000000003,8,0.6901408450704225,0.037,2000,cosmog_00500,A2-B0-C2-batch4-r62_s577843
A2-B0-C2-r14_s273187_f803_disp0,A2-B0-C2-r14,273187,disp0,disp,0,271828,250,3296,250,8.06359670976506,4.169944631040436,568.2187589070455,0.2275485436893204,1.0,0.0,0.625,0.6629721277777019,0.10300000000000002,8,0.5909090909090908,0.045,2000,cosmog_00500,A2-B0-C2-r14_s273187
A2-B0-C2-r14_s273187_f803_disp1,A2-B0-C2-r14,273187,disp1,disp,1,271828,250,3296,250,8.291001473234925,4.129862039720564,610.082974835599,0.2263349514563107,1.0053619302949062,0.005361930294906166,0.633892,0.7791634994461317,0.10250000000000004,8,0.5223880597014925,0.036,2000,cosmog_00500,A2-B0-C2-r14_s273187
