seed,variante,n_podadas,b,n_cajas,N_b,diam,giant,d_s,holonomia,n_ciclos
80300,costo_P50,14845,16,1857,1857,7.0,0.553,3.683,1.0267,400
80300,costo_P50,14845,32,1589,1589,5.0,0.4777,3.608,0.9791,400
80300,azar_P50,14845,1,8000,8000,15.0,0.9016,3.619,1.0303,400
80300,azar_P50,14845,2,5009,5009,11.0,0.8495,3.641,1.0623,400
80300,azar_P50,14845,4,3444,3444,9.0,0.7825,3.485,1.0373,400
80300,azar_P50,14845,8,2522,2522,8.0,0.703,3.672,1.1071,400
80300,azar_P50,14845,16,1985,1985,6.0,0.6227,3.694,0.9301,400
80300,azar_P50,14845,32,1662,1662,5.0,0.5493,1.323,1.0637,400
80300,costo_P70,7790,1,8000,8000,15.0,0.904,3.483,0.9413,397
80300,costo_P70,7790,2,4844,4844,11.0,0.8526,3.618,1.0259,398
80300,costo_P70,7790,4,3142,3142,8.0,0.7763,3.398,1.044,400
80300,costo_P70,7790,8,2191,2191,8.0,0.6796,3.979,1.0321,400
80300,costo_P70,7790,16,1704,1704,6.0,0.588,1.511,1.0547,400
80300,costo_P70,7790,32,1429,1429,5.0,0.5087,1.152,0.9925,400
80300,azar_P70,7790,1,8000,8000,12.0,0.9093,3.669,1.0175,399
80300,azar_P70,7790,2,4807,4807,9.0,0.8571,3.607,1.072,400
80300,azar_P70,7790,4,3143,3143,7.0,0.784,3.792,1.1694,400
80300,azar_P70,7790,8,2194,2194,6.0,0.6905,4.073,1.0056,400
80300,azar_P70,7790,16,1659,1659,5.0,0.5907,1.239,0.978,400
80300,azar_P70,7790,32,1357,1357,5.0,0.4996,0.939,0.9058,400
80300,costo_P90,3033,1,8000,8000,10.0,0.909,3.67,1.0452,397
80300,costo_P90,3033,2,4699,4699,9.0,0.8555,3.816,1.0859,400
80300,costo_P90,3033,4,2991,2991,8.0,0.776,3.783,1.1295,400
80300,costo_P90,3033,8,2014,2014,6.0,0.6673,3.649,1.0146,400
80300,costo_P90,3033,16,1505,1505,5.0,0.5548,1.042,0.971,400
80300,costo_P90,3033,32,1226,1226,4.0,0.4535,1.02,0.8657,400
80300,azar_P90,3033,1,8000,8000,10.0,0.9094,3.506,1.0518,397
80300,azar_P90,3033,2,4703,4703,8.0,0.8552,3.95,1.0599,400
80300,azar_P90,3033,4,2991,2991,6.0,0.775,3.979,1.0466,400
80300,azar_P90,3033,8,2044,2044,6.0,0.6707,3.689,1.0335,400
80300,azar_P90,3033,16,1492,1492,5.0,0.5489,1.104,1.0354,400
80300,azar_P90,3033,32,1253,1253,4.0,0.4629,0.959,1.0731,400
