rule_id,N,escala_b,dt,diam_real,giant_real,holon_real,n_aristas,n_triangulos,diam_null_topo,diam_null_topo_std,holon_null_valor,eje_A,eje_B,eje_C,clase_final,pendiente_real,z_agg,holon_ratio
A0-B0-C0-r2,336,8,0.43,4.0,1.0,1.4083717197955177,6799,1005,3.0,1e-09,1.4864296367205276,A0,B0,C0,I,0.11843534505065446,0.9899494915611664,1.0554242291490652
A0-B0-C0-r2,204,16,0.55,4.0,1.0,1.4083717197955177,4548,1005,2.3333333333333335,0.4714045217910317,1.4864296367205276,A0,B0,C0,I,0.11843534505065446,0.9899494915611664,1.0554242291490652
A1-B0-C0-r0,2000,1,0.03,10.0,0.989,1.4121644517148124,4520,51,10.666666666666666,0.4714045217910317,1.519523641886733,A1,B0,C0,I,0.5015515434211553,0.4949747458555828,1.0760245664317303
A1-B0-C0-r0,1154,2,0.12,7.0,0.9809358752166378,1.4121644517148124,3662,51,7.333333333333333,0.4714045217910317,1.519523641886733,A1,B0,C0,I,0.5015515434211553,0.4949747458555828,1.0760245664317303
A1-B0-C0-r0,708,4,0.21,5.0,0.9689265536723164,1.4121644517148124,3190,51,5.333333333333333,0.9428090425820633,1.519523641886733,A1,B0,C0,I,0.5015515434211553,0.4949747458555828,1.0760245664317303
A1-B0-C0-r0,476,8,0.28,5.0,0.9537815126050421,1.4121644517148124,2873,51,5.0,1e-09,1.519523641886733,A1,B0,C0,I,0.5015515434211553,0.4949747458555828,1.0760245664317303
A1-B0-C0-r0,348,16,0.34,4.0,0.9367816091954023,1.4121644517148124,2465,51,4.0,1e-09,1.519523641886733,A1,B0,C0,I,0.5015515434211553,0.4949747458555828,1.0760245664317303
A1-B0-C0-r1,2000,1,0.03,8.0,0.998,0.9992936478751165,5870,81,7.666666666666667,0.4714045217910317,1.3704898184504173,A1,B0,C0,II,0.38365333851560807,0.565685423749238,1.371458551112185
A1-B0-C0-r1,1109,2,0.12,6.0,0.9963931469792606,0.9992936478751165,4965,81,5.333333333333333,0.4714045217910317,1.3704898184504173,A1,B0,C0,II,0.38365333851560807,0.565685423749238,1.371458551112185
A1-B0-C0-r1,663,4,0.24,5.0,0.9939668174962293,0.9992936478751165,4456,81,5.0,1e-09,1.3704898184504173,A1,B0,C0,II,0.38365333851560807,0.565685423749238,1.371458551112185
A1-B0-C0-r1,423,8,0.3,4.0,0.9905437352245863,0.9992936478751165,4032,81,4.0,1e-09,1.3704898184504173,A1,B0,C0,II,0.38365333851560807,0.565685423749238,1.371458551112185
A1-B0-C0-r1,302,16,0.36,4.0,0.9867549668874173,0.9992936478751165,3363,81,3.6666666666666665,0.4714045217910317,1.3704898184504173,A1,B0,C0,II,0.38365333851560807,0.565685423749238,1.371458551112185
A1-B0-C0-r2,2000,1,0.05,8.0,0.998,0.6270772387143492,5650,99,8.333333333333334,0.4714045217910317,1.460712324578803,A1,B0,C0,II,0.3921085777035382,0.14142135593730976,2.329397774943315
A1-B0-C0-r2,1128,2,0.15,6.0,0.9964539007092199,0.6270772387143492,4762,99,6.0,1e-09,1.460712324578803,A1,B0,C0,II,0.3921085777035382,0.14142135593730976,2.329397774943315
A1-B0-C0-r2,667,4,0.22,5.0,0.9940029985007496,0.6270772387143492,4250,99,5.0,1e-09,1.460712324578803,A1,B0,C0,II,0.3921085777035382,0.14142135593730976,2.329397774943315
A1-B0-C0-r2,432,8,0.28,4.0,0.9907407407407407,0.6270772387143492,3858,99,4.0,1e-09,1.460712324578803,A1,B0,C0,II,0.3921085777035382,0.14142135593730976,2.329397774943315
A1-B0-C0-r2,317,16,0.33,4.0,0.9873817034700315,0.6270772387143492,3239,99,4.0,1e-09,1.460712324578803,A1,B0,C0,II,0.3921085777035382,0.14142135593730976,2.329397774943315
A2-B1-C1-r0,2000,1,0.05,7.0,0.997,1.0068520903131666,6420,72,7.666666666666667,0.4714045217910317,1.635371597743354,A2,B1,C1,I,0.31930970911124223,0.7071067796865476,1.6242421438830164
A2-B1-C1-r0,1118,2,0.18,6.0,0.9946332737030411,1.0068520903131666,5524,72,5.666666666666667,0.4714045217910317,1.635371597743354,A2,B1,C1,I,0.31930970911124223,0.7071067796865476,1.6242421438830164
A2-B1-C1-r0,655,4,0.27,4.0,0.9908396946564886,1.0068520903131666,4995,72,4.666666666666667,0.4714045217910317,1.635371597743354,A2,B1,C1,I,0.31930970911124223,0.7071067796865476,1.6242421438830164
A2-B1-C1-r0,403,8,0.35,4.0,0.9851116625310173,1.0068520903131666,4507,72,4.0,1e-09,1.635371597743354,A2,B1,C1,I,0.31930970911124223,0.7071067796865476,1.6242421438830164
A2-B1-C1-r0,286,16,0.43,4.0,0.9790209790209791,1.0068520903131666,3669,72,4.0,1e-09,1.635371597743354,A2,B1,C1,I,0.31930970911124223,0.7071067796865476,1.6242421438830164
A2-B1-C1-r1,2000,1,0.03,8.0,0.997,1.3960584477477191,4741,24,9.333333333333334,0.4714045217910317,0.832262048655228,A2,B1,C1,I,0.3359216142391897,0.7071067796865476,0.5961512929476042
A2-B1-C1-r1,1139,2,0.1,6.0,0.9947322212467077,1.3960584477477191,3876,24,7.0,1e-09,0.832262048655228,A2,B1,C1,I,0.3359216142391897,0.7071067796865476,0.5961512929476042
A2-B1-C1-r1,677,4,0.17,6.0,0.9911373707533235,1.3960584477477191,3380,24,5.666666666666667,0.4714045217910317,0.832262048655228,A2,B1,C1,I,0.3359216142391897,0.7071067796865476,0.5961512929476042
A2-B1-C1-r1,439,8,0.24,5.0,0.9863325740318907,1.3960584477477191,3046,24,5.0,1e-09,0.832262048655228,A2,B1,C1,I,0.3359216142391897,0.7071067796865476,0.5961512929476042
A2-B1-C1-r1,328,16,0.3,4.0,0.9817073170731707,1.3960584477477191,2632,24,4.0,1e-09,0.832262048655228,A2,B1,C1,I,0.3359216142391897,0.7071067796865476,0.5961512929476042
A2-B1-C1-r2,2000,1,0.04,9.0,0.995,1.9578087172053682,5328,39,8.333333333333334,0.4714045217910317,1.9395539212149835,A2,B1,C1,II,0.4130646158924147,0.5656854237492379,0.9906759042239621
A2-B1-C1-r2,1132,2,0.12,5.0,0.991166077738516,1.9578087172053682,4451,39,6.0,1e-09,1.9395539212149835,A2,B1,C1,II,0.4130646158924147,0.5656854237492379,0.9906759042239621
A2-B1-C1-r2,686,4,0.2,5.0,0.9854227405247813,1.9578087172053682,3962,39,5.0,1e-09,1.9395539212149835,A2,B1,C1,II,0.4130646158924147,0.5656854237492379,0.9906759042239621
A2-B1-C1-r2,432,8,0.27,4.0,0.9768518518518519,1.9578087172053682,3577,39,4.666666666666667,0.4714045217910317,1.9395539212149835,A2,B1,C1,II,0.4130646158924147,0.5656854237492379,0.9906759042239621
A2-B1-C1-r2,322,16,0.35,4.0,0.968944099378882,1.9578087172053682,3030,39,4.0,1e-09,1.9395539212149835,A2,B1,C1,II,0.4130646158924147,0.5656854237492379,0.9906759042239621
A1-B1-C0-r0,2000,1,0.05,7.0,0.999,0.6104487734806937,7090,177,7.0,1e-09,1.2968467147350815,A1,B1,C0,I,0.27088625602713334,0.4242640678119285,2.124415300796892
A1-B1-C0-r0,1090,2,0.17,5.0,0.998165137614679,0.6104487734806937,6151,177,5.666666666666667,0.4714045217910317,1.2968467147350815,A1,B1,C0,I,0.27088625602713334,0.4242640678119285,2.124415300796892
A1-B1-C0-r0,632,4,0.29,5.0,0.9968354430379747,0.6104487734806937,5600,177,4.666666666666667,0.4714045217910317,1.2968467147350815,A1,B1,C0,I,0.27088625602713334,0.4242640678119285,2.124415300796892
A1-B1-C0-r0,394,8,0.37,4.0,0.9949238578680203,0.6104487734806937,5083,177,4.0,1e-09,1.2968467147350815,A1,B1,C0,I,0.27088625602713334,0.4242640678119285,2.124415300796892
A1-B1-C0-r0,268,16,0.44,4.0,0.9925373134328358,0.6104487734806937,4075,177,4.0,1e-09,1.2968467147350815,A1,B1,C0,I,0.27088625602713334,0.4242640678119285,2.124415300796892
A1-B1-C0-r1,2000,1,0.04,8.0,0.9985,1.712751013296629,6460,150,7.0,1e-09,1.423357763436178,A1,B1,C0,II,0.38274295612283776,0.28284271187461896,0.831036007210739
A1-B1-C0-r1,1108,2,0.24,6.0,0.9972924187725631,1.712751013296629,5542,150,5.666666666666667,0.4714045217910317,1.423357763436178,A1,B1,C0,II,0.38274295612283776,0.28284271187461896,0.831036007210739
A1-B1-C0-r1,647,4,0.31,5.0,0.9953632148377125,1.712751013296629,5004,150,5.0,1e-09,1.423357763436178,A1,B1,C0,II,0.38274295612283776,0.28284271187461896,0.831036007210739
A1-B1-C0-r1,418,8,0.37,4.0,0.992822966507177,1.712751013296629,4557,150,3.6666666666666665,0.4714045217910317,1.423357763436178,A1,B1,C0,II,0.38274295612283776,0.28284271187461896,0.831036007210739
A1-B1-C0-r1,302,16,0.42,4.0,0.9900662251655629,1.712751013296629,3735,150,4.0,1e-09,1.423357763436178,A1,B1,C0,II,0.38274295612283776,0.28284271187461896,0.831036007210739
A1-B1-C0-r2,2000,1,0.04,8.0,0.999,1.4302409198733221,7820,213,6.0,1e-09,1.460258823598876,A1,B1,C0,I,0.3403885175558873,0.5656854237492379,1.0209880051035127
A1-B1-C0-r2,1092,2,0.14,5.0,0.9981684981684982,1.4302409198733221,6887,213,5.0,0.816496581927726,1.460258823598876,A1,B1,C0,I,0.3403885175558873,0.5656854237492379,1.0209880051035127
A1-B1-C0-r2,629,4,0.23,4.0,0.9968203497615262,1.4302409198733221,6311,213,4.333333333333333,0.4714045217910317,1.460258823598876,A1,B1,C0,I,0.3403885175558873,0.5656854237492379,1.0209880051035127
A1-B1-C0-r2,393,8,0.31,4.0,0.9949109414758269,1.4302409198733221,5682,213,3.6666666666666665,0.4714045217910317,1.460258823598876,A1,B1,C0,I,0.3403885175558873,0.5656854237492379,1.0209880051035127
A1-B1-C0-r2,279,16,0.4,4.0,0.992831541218638,1.4302409198733221,4485,213,3.3333333333333335,0.4714045217910317,1.460258823598876,A1,B1,C0,I,0.3403885175558873,0.5656854237492379,1.0209880051035127
A2-B0-C2-r0,2000,1,0.03,16.0,0.965,0.7380419711090018,3366,45,13.0,1e-09,1.0408455030153292,A2,B0,C2,I,0.6815570354172118,0.527791685852937,1.4102795555804593
A2-B0-C2-r0,1198,2,0.1,10.0,0.9424040066777963,0.7380419711090018,2556,45,9.0,0.816496581927726,1.0408455030153292,A2,B0,C2,I,0.6815570354172118,0.527791685852937,1.4102795555804593
A2-B0-C2-r0,745,4,0.18,7.0,0.9073825503355705,0.7380419711090018,2088,45,6.333333333333333,0.4714045217910317,1.0408455030153292,A2,B0,C2,I,0.6815570354172118,0.527791685852937,1.4102795555804593
A2-B0-C2-r0,506,8,0.24,6.0,0.8636363636363636,0.7380419711090018,1816,45,5.0,1e-09,1.0408455030153292,A2,B0,C2,I,0.6815570354172118,0.527791685852937,1.4102795555804593
A2-B0-C2-r0,374,16,0.31,5.0,0.8155080213903744,0.7380419711090018,1581,45,4.0,1e-09,1.0408455030153292,A2,B0,C2,I,0.6815570354172118,0.527791685852937,1.4102795555804593
A2-B0-C2-r1,2000,1,0.03,18.0,0.9715,0.9272574828274112,3209,27,14.666666666666666,0.4714045217910317,1.1674313580402769,A2,B0,C2,III,0.7794976547188338,1.6970562712477144,1.2590153001305775
A2-B0-C2-r1,1179,2,0.1,10.0,0.9541984732824428,0.9272574828274112,2382,27,10.333333333333334,0.4714045217910317,1.1674313580402769,A2,B0,C2,III,0.7794976547188338,1.6970562712477144,1.2590153001305775
A2-B0-C2-r1,736,4,0.16,7.0,0.9279891304347826,0.9272574828274112,1928,27,6.666666666666667,0.4714045217910317,1.1674313580402769,A2,B0,C2,III,0.7794976547188338,1.6970562712477144,1.2590153001305775
A2-B0-C2-r1,498,8,0.21,5.0,0.893574297188755,0.9272574828274112,1656,27,5.0,1e-09,1.1674313580402769,A2,B0,C2,III,0.7794976547188338,1.6970562712477144,1.2590153001305775
A2-B0-C2-r1,365,16,0.25,5.0,0.8547945205479452,0.9272574828274112,1455,27,4.0,1e-09,1.1674313580402769,A2,B0,C2,III,0.7794976547188338,1.6970562712477144,1.2590153001305775
A2-B0-C2-r2,2000,1,0.03,15.0,0.956,0.7462558003485323,3286,78,13.333333333333334,0.9428090425820633,1.4383480824265642,A2,B0,C2,III,0.7226655927123716,0.6363961020928924,1.9274196351369006
A2-B0-C2-r2,1189,2,0.1,10.0,0.9310344827586207,0.7462558003485323,2456,78,9.333333333333334,0.4714045217910317,1.4383480824265642,A2,B0,C2,III,0.7226655927123716,0.6363961020928924,1.9274196351369006
A2-B0-C2-r2,752,4,0.16,6.0,0.8922872340425532,0.7462558003485323,2007,78,6.0,1e-09,1.4383480824265642,A2,B0,C2,III,0.7226655927123716,0.6363961020928924,1.9274196351369006
A2-B0-C2-r2,514,8,0.21,5.0,0.8424124513618677,0.7462558003485323,1735,78,5.0,1e-09,1.4383480824265642,A2,B0,C2,III,0.7226655927123716,0.6363961020928924,1.9274196351369006
A2-B0-C2-r2,391,16,0.25,5.0,0.7928388746803069,0.7462558003485323,1529,78,4.0,1e-09,1.4383480824265642,A2,B0,C2,III,0.7226655927123716,0.6363961020928924,1.9274196351369006
