tarea,genealogia,rule_id,brazo,seed,params_coinciden,clase_csv_reproducida,clase_vieja,clase_corregida,cambia_clase,pendiente_vieja,pendiente_corregida,z_agg_vieja,z_agg_corregida,diam_viejo,diam_corregido,n_cajas_viejo,n_cajas_corregido
presupuesto_emergente,,A2-B0-C2-r15,C2-hard,91667,True,True,I,I,False,0.6199585363751196,0.6199585363751196,0.707106779686548,0.707106779686548,"[12.0, 8.0, 6.0, 5.0, 4.0]","[12.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1163, 702, 483, 359]","[2000, 1163, 702, 483, 359]"
presupuesto_emergente,,A2-B0-C2-r15,C2-random,91667,True,True,II,II,False,0.41455964181847155,0.36936944983512215,0.7727406598312547,1.0176896338095724,"[9.0, 7.0, 5.0, 5.0, 4.0]","[9.0, 6.0, 6.0, 5.0, 4.0]","[2000, 1131, 665, 422, 305]","[2000, 1132, 655, 428, 284]"
presupuesto_emergente,,A2-B0-C2-r16,C0,91764,True,True,I,I,False,0.27968307163521566,0.27968307163521566,0.5656854237492382,0.5656854237492382,"[7.0, 5.0, 4.0, 4.0, 4.0]","[7.0, 5.0, 4.0, 4.0, 4.0]","[2000, 1091, 635, 398, 272]","[2000, 1091, 635, 398, 272]"
presupuesto_emergente,,A2-B0-C2-r16,C2-budget,91764,True,True,III,III,False,0.9866078238516338,0.9866078238516338,10.563211203673864,10.563211203673864,"[32.0, 20.0, 14.0, 6.0, 6.0]","[32.0, 20.0, 14.0, 6.0, 6.0]","[2000, 1163, 695, 442, 321]","[2000, 1163, 695, 442, 321]"
presupuesto_emergente,,A2-B0-C2-r16,C2-hard,91764,True,True,III,III,False,1.1972406728320975,1.1972406728320975,0.4242640678119288,0.4242640678119288,"[20.0, 13.0, 10.0, 6.0, 5.0]","[20.0, 13.0, 10.0, 6.0, 5.0]","[2000, 1323, 945, 726, 633]","[2000, 1323, 945, 726, 633]"
presupuesto_emergente,,A2-B0-C2-r16,C2-random,91764,True,True,IV,IV,False,0.7715733753500049,0.7715733753500049,1.1692416262616232,1.1692416262616232,"[20.0, 11.0, 7.0, 6.0, 5.0]","[20.0, 11.0, 7.0, 6.0, 5.0]","[2000, 1168, 708, 467, 341]","[2000, 1168, 708, 467, 341]"
presupuesto_emergente,,A2-B0-C2-r17,C0,91861,True,True,I,I,False,0.4578788576356257,0.4578788576356257,0.2828427118746191,0.2828427118746191,"[9.0, 6.0, 5.0, 4.0, 4.0]","[9.0, 6.0, 5.0, 4.0, 4.0]","[2000, 1140, 688, 449, 331]","[2000, 1140, 688, 449, 331]"
presupuesto_emergente,,A2-B0-C2-r17,C2-budget,91861,True,True,I,I,False,0.5594119929818038,0.5594119929818038,0.2449489739783178,0.2449489739783178,"[14.0, 8.0, 7.0, 5.0, 5.0]","[14.0, 8.0, 7.0, 5.0, 5.0]","[2000, 1156, 704, 447, 321]","[2000, 1156, 704, 447, 321]"
presupuesto_emergente,,A2-B0-C2-r17,C2-hard,91861,True,True,I,I,False,0.6662708204633462,0.6662708204633462,0.8485281356238566,0.8485281356238566,"[15.0, 9.0, 7.0, 5.0, 5.0]","[15.0, 9.0, 7.0, 5.0, 5.0]","[2000, 1178, 719, 486, 370]","[2000, 1178, 719, 486, 370]"
presupuesto_emergente,,A2-B0-C2-r17,C2-random,91861,True,True,III,III,False,0.7301646698810023,0.7301646698810023,0.5606086260002903,0.5606086260002903,"[14.0, 10.0, 7.0, 5.0, 4.0]","[14.0, 10.0, 7.0, 5.0, 4.0]","[2000, 1167, 733, 482, 350]","[2000, 1167, 733, 482, 350]"
