test,condicion,rule_id,seed,N_sistema,pendiente,pendiente_null,z_agg,clase,holon_ratio,n_aristas_b1,grado_medio_b1,diam_b1,giant_b1,diam_por_escala,ncajas_por_escala,K,J,noise,meandeg,dt,kcap_base,kcap_media_emp,kcap_sd,kcap_cv,kcap_min,kcap_max,grado_inicial_medio
P3-het,HET-potencia,A2-B0-C2-r5,90697,1000,1.118657909182985,1.0357625325328108,0.6094280878807246,III,1.381686149097263,1150,2.3,21.0,0.871,21|13|8|6|5,1000|633|438|334|268,5,0.769,0.338,4.97,3.5,6,5.993,10.851034558971786,1.8106181476675764,2,202,4.97
P3-het,HET-potencia,A2-B0-C2-r6,90794,1000,1.1331809201066492,1.4161927081082053,1.9003638356587431,III,2.1480032614812914,1024,2.048,17.0,0.793,17|13|9|7|5,1000|692|507|405|352,5,0.407,0.249,7.4,3.45,6,6.004,15.193484919530478,2.530560446290886,2,369,7.4
P3-het,HET-potencia,A2-B0-C2-r7,90891,1000,1.29160991617277,1.4391079255665262,1.4002888662147877,III,2.700388047890641,965,1.93,19.0,0.729,19|14|10|7|5,1000|698|523|414|371,7,0.503,0.225,7.25,2.66,6,6.004,19.341716159637958,3.221471712131572,2,544,7.25
P3-het,HET-potencia,A2-B0-C2-r8,90988,1000,1.0677927754329957,1.0410419264900317,2.0244775990956674,III,3.6747431095648566,1182,2.364,23.0,0.914,23|16|11|7|5,1000|625|412|298|246,6,0.544,0.107,4.18,2.57,6,5.997,12.72764671885577,2.122335620953105,2,349,4.18
P3-het,HET-potencia,A2-B0-C2-r9,91085,1000,1.0867308308232593,0.9928266091244357,2.404163050934261,III,3.253520169305303,1226,2.452,18.0,0.91,18|13|10|6|4,1000|635|428|324|262,5,0.397,0.121,5.37,2.88,6,5.999,13.287625784917333,2.2149734597295105,2,340,5.37
P3-het,HET-potencia,A2-B0-C2-r10,91182,1000,0.9768384354952337,1.0644987070361422,2.1920310171032975,III,3.670746858115328,1158,2.316,14.0,0.855,14|13|8|5|5,1000|675|459|358|299,5,0.441,0.133,6.34,2.57,6,6.003,9.431065210250644,1.5710586723722544,2,113,6.34
P3-het,HET-potencia,A2-B0-C2-r11,91279,1000,1.4064510681052425,1.3548163761602703,0.6018792425776955,III,1.9366639687755165,970,1.94,23.0,0.774,23|16|10|8|5,1000|693|515|418|349,8,0.561,0.315,6.93,2.15,6,6.004,18.54712872657113,3.0891287019605485,2,376,6.93
P3-het,HET-potencia,A2-B0-C2-r12,91376,1000,1.172474569025034,1.2534803668759658,0.9472629159860159,III,3.293242726878254,961,1.922,24.0,0.784,24|18|12|8|6,1000|677|480|369|301,7,0.369,0.176,5.34,2.1,6,5.996,19.32324983019161,3.222690098430889,2,448,5.34
P3-het,HET-potencia,A2-B0-C2-r13,91473,1000,1.0371153048585389,1.1178907532256015,1.1262940497495284,III,1.8164314086434565,1215,2.43,15.0,0.865,15|12|8|6|4,1000|660|462|349|288,7,0.527,0.286,7.06,2.16,6,5.995,8.510521429383749,1.419603240931401,2,127,7.06
P3-het,HET-potencia,A2-B0-C2-r14,91570,1000,1.2363576958698395,1.074097989335432,3.421852684743834,III,2.552890088448548,1225,2.45,21.0,0.888,21|15|7|6|5,1000|657|462|351|292,7,0.47,0.192,6.75,2.07,6,5.999,10.347608371019845,1.724888876649416,2,181,6.75
P3-het,HET-potencia,A2-B0-C2-r0,90212,2000,1.2588560984595472,1.2276441004705565,0.4966517052331296,III,2.343517979859773,2227,2.227,20.0,0.8285,20|14|10|6|5,2000|1364|976|751|659,4,0.404,0.234,7.64,4.33,6,6.0005,15.025661374794787,2.5040682234471774,2,395,7.64
P3-het,HET-potencia,A2-B0-C2-r1,90309,2000,1.0986824057275433,1.2579774536020216,1.3417800024855864,III,2.0121331086101923,1962,1.962,20.0,0.7905,20|17|11|8|6,2000|1351|975|766|663,7,0.688,0.281,5.78,4.44,6,6.0005,29.69957069975928,4.949515990294023,2,1224,5.78
