umbral,metrica,n,pearson_r,pearson_p,spearman_rho,spearman_p
A_P90_abs,Btau_Hrar_v3d_std,74,0.8714698560324399,5.6550375180227784e-24,0.8433294426838691,4.213751452826647e-21
A_P90_abs,Btau_Hrar_v3d_abs,74,0.8734274573911844,3.371963895672555e-24,0.8429738950145368,4.542241677208349e-21
A_P90_abs,Btau_H_v3d_abs,74,0.8733326661763059,3.458133998454943e-24,0.8426035328589823,4.910708700571312e-21
A_P90_abs,Hrar_v3d_std,74,-0.4083570313405069,0.00030404394102917466,-0.35902907359455377,0.0016817081783885373
A_P90_abs,Hrar_v3d_abs,74,-0.37981832100923374,0.0008447050520377015,-0.4100353496575226,0.00028548542665801055
A_P90_abs,H_v3d_abs,74,-0.49183629154701747,8.575077384011759e-06,-0.5252476090074233,1.5495747765574761e-06
A_P90_abs,masa_difusa,74,-0.8716326947527363,5.418723556537496e-24,-0.8432094611563375,4.321947154854039e-21
A_P90_abs,sigma_v,74,0.7863197731143461,1.034335909027893e-16,0.7987230246688826,1.5184515782540855e-17
A_P90_abs,n_fil_c1.5,74,-0.3959957780880934,0.00047866770523505926,-0.4508005293472315,5.563341732418404e-05
B_IC_k1,Btau_Hrar_v3d_std,74,-0.5625741272269809,1.8219135092109006e-07,-0.5408917064580463,6.519085375577486e-07
B_IC_k1,Btau_Hrar_v3d_abs,74,-0.5513720906061151,3.560014880703058e-07,-0.5375288180856114,7.881720789553814e-07
B_IC_k1,Btau_H_v3d_abs,74,-0.5514168808869235,3.5506646555418746e-07,-0.5383139858553868,7.541437994217782e-07
B_IC_k1,Hrar_v3d_std,74,-0.5196993706138773,2.0850273816810446e-06,-0.5217662047452108,1.8679290927156474e-06
B_IC_k1,Hrar_v3d_abs,74,-0.3824012373799889,0.0007729625023765081,-0.3671918555029754,0.0012902607228812448
B_IC_k1,H_v3d_abs,74,-0.3428130463180062,0.0027902286805387816,-0.3223335912222117,0.005097859319942572
B_IC_k1,masa_difusa,74,0.5183671813601312,2.237299195468404e-06,0.5051174454969495,4.438609210348059e-06
B_IC_k1,sigma_v,74,0.8581656868478689,1.5391657260240892e-22,0.8372703178189972,1.47728838369854e-20
B_IC_k1,n_fil_c1.5,74,0.24287072733645387,0.03706812660695728,0.24399881676118915,0.036170953960637284
B_IC_k3,Btau_Hrar_v3d_std,74,-0.3250829691027599,0.004712532083666479,-0.2686162641805838,0.02066271937769845
B_IC_k3,Btau_Hrar_v3d_abs,74,-0.320636232946009,0.0053494299202350645,-0.2693273595192485,0.020316347484343522
B_IC_k3,Btau_H_v3d_abs,74,-0.32076569494846763,0.005329862519832257,-0.2702754866374681,0.019862240693662003
B_IC_k3,Hrar_v3d_std,74,-0.33308169731276516,0.0037341295505794723,-0.25172774988729757,0.03049904915444379
B_IC_k3,Hrar_v3d_abs,74,-0.25714459467001877,0.026986187928297423,-0.3421553737874897,0.0028465471880921834
B_IC_k3,H_v3d_abs,74,-0.21769106131960664,0.06243689919734798,-0.32751866139997504,0.004392964594402188
B_IC_k3,masa_difusa,74,0.2980346795592722,0.00990752271135713,0.2341030841472841,0.044692586029952276
B_IC_k3,sigma_v,74,0.8791805702416868,7.01085271196039e-25,0.8684251823442435,1.2430425258421748e-23
B_IC_k3,n_fil_c1.5,74,0.37543075051602465,0.0009805464889519706,0.24829259953810218,0.032920148807213265
C_N1000_fijo,Btau_Hrar_v3d_std,74,-0.5047974023989055,4.511077420200015e-06,-0.5015148020794896,5.321218870276832e-06
C_N1000_fijo,Btau_Hrar_v3d_abs,74,-0.43657101317527414,0.00010082146252613773,-0.4049984243419811,0.00034454396696849795
C_N1000_fijo,Btau_H_v3d_abs,74,-0.43657101317527414,0.00010082146252613773,-0.4049984243419811,0.00034454396696849795
C_N1000_fijo,Hrar_v3d_std,74,-0.5047974023989041,4.511077420200319e-06,-0.5015148020794896,5.321218870276832e-06
C_N1000_fijo,Hrar_v3d_abs,74,-0.43657101317527613,0.00010082146252612858,-0.4049984243419811,0.00034454396696849795
C_N1000_fijo,H_v3d_abs,74,-0.43657101317527613,0.00010082146252612858,-0.4049984243419811,0.00034454396696849795
C_N1000_fijo,masa_difusa,74,nan,nan,nan,nan
C_N1000_fijo,sigma_v,74,0.8458962689792094,2.4371446689533987e-21,0.8308260163123484,5.308398124391435e-20
C_N1000_fijo,n_fil_c1.5,74,0.13676921639158146,0.24524642293685933,0.13823195509755892,0.24018664654694444
