patch,seed,N,arm,D_max,frac_ferm,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,diam_fin,pasos
18,20704,3500,excl_orto,8,0.875,5.614,0.045,0,7.348,0,0.897,0.9,4,17
18,20704,3500,sin_excl,8,0.875,5.726,0.041,1,4.915,1,0.718,0.906,4,17
18,20704,3500,excl_orto_barajada,8,0.875,5.758,0.037,1,6.897,1,0.923,0.913,4,17
18,20704,3500,excl_orto_bosones,8,0.875,5.213,0.041,1,5.323,1,0.942,0.915,4,17
18,20704,3500,marco_congelado,8,0.875,5.359,0.041,0,7.972,0,1.053,0.904,4,17
21,20713,3500,excl_orto,8,0.677,5.172,0.046,1,6.97,1,1.004,0.908,4,17
21,20713,3500,sin_excl,8,0.677,5.385,0.04,1,4.223,1,0.99,0.91,3,17
21,20713,3500,excl_orto_barajada,8,0.677,5.625,0.047,2,6.917,1,0.978,0.907,4,17
21,20713,3500,excl_orto_bosones,8,0.677,5.461,0.043,1,5.735,1,0.955,0.905,4,17
21,20713,3500,marco_congelado,8,0.677,5.389,0.034,0,7.982,0,0.85,0.911,4,17
19,20707,3500,excl_orto,8,0.873,5.383,0.038,0,7.419,0,1.059,0.913,4,17
19,20707,3500,sin_excl,8,0.873,5.367,0.045,1,5.671,1,0.971,0.91,4,17
19,20707,3500,excl_orto_barajada,8,0.873,5.405,0.04,0,7.281,0,1.106,0.913,4,17
19,20707,3500,excl_orto_bosones,8,0.873,5.565,0.045,1,5.667,1,0.86,0.915,3,17
19,20707,3500,marco_congelado,8,0.873,5.937,0.038,0,7.986,0,0.945,0.908,4,17
23,20719,3500,excl_orto,8,0.602,5.599,0.044,1,6.296,1,0.916,0.908,1,17
23,20719,3500,sin_excl,8,0.602,5.601,0.045,1,6.368,1,1.002,0.91,4,17
23,20719,3500,excl_orto_barajada,8,0.602,5.951,0.042,1,6.264,1,0.943,0.909,4,17
23,20719,3500,excl_orto_bosones,8,0.602,5.365,0.04,1,6.385,1,1.067,0.902,4,17
23,20719,3500,marco_congelado,8,0.602,6.048,0.042,0,7.978,0,1.211,0.908,4,17
22,20716,3500,excl_orto,8,0.616,5.625,0.043,1,6.722,1,1.0,0.903,4,17
22,20716,3500,sin_excl,8,0.616,5.631,0.042,1,5.648,1,0.838,0.907,3,17
22,20716,3500,excl_orto_barajada,8,0.616,5.538,0.04,3,6.76,1,1.053,0.907,4,17
22,20716,3500,excl_orto_bosones,8,0.616,5.328,0.044,1,5.795,1,0.975,0.916,4,17
22,20716,3500,marco_congelado,8,0.616,5.984,0.041,0,7.987,0,0.929,0.899,4,17
