point_id,w_grav,w_strong,w_em,w_weak,w_exp,w_cool,alc,dmax_grav,seed,acople,phys,viable_d1,acelera_d1,viable_d2,acelera_d2,viable_d3,acelera_d3,viable_d4,acelera_d4,viable_curv,acelera_curv,corr_ok
1288,0.9535496095195413,0.3780252942815423,0.9706623610109091,0.38928105495870113,0.3024689657613635,0.40960852708667517,0.6943739214912057,5,5,peso,0,0,0,0,0,0,0,0,0,0,0,1
1288,0.9535496095195413,0.3780252942815423,0.9706623610109091,0.38928105495870113,0.3024689657613635,0.40960852708667517,0.6943739214912057,5,5,grado,0,0,0,0,0,0,0,0,0,0,0,1
1288,0.9535496095195413,0.3780252942815423,0.9706623610109091,0.38928105495870113,0.3024689657613635,0.40960852708667517,0.6943739214912057,5,5,null_peso,0,0,0,0,0,0,0,0,0,0,0,1
1288,0.9535496095195413,0.3780252942815423,0.9706623610109091,0.38928105495870113,0.3024689657613635,0.40960852708667517,0.6943739214912057,5,6,peso,0,0,0,0,0,0,0,0,0,0,0,1
1288,0.9535496095195413,0.3780252942815423,0.9706623610109091,0.38928105495870113,0.3024689657613635,0.40960852708667517,0.6943739214912057,5,6,grado,0,0,0,0,0,0,0,0,0,0,0,1
1288,0.9535496095195413,0.3780252942815423,0.9706623610109091,0.38928105495870113,0.3024689657613635,0.40960852708667517,0.6943739214912057,5,6,null_peso,0,0,0,0,0,0,0,0,0,0,0,1
1288,0.9535496095195413,0.3780252942815423,0.9706623610109091,0.38928105495870113,0.3024689657613635,0.40960852708667517,0.6943739214912057,5,7,peso,0,0,0,0,0,0,0,0,0,0,0,1
1288,0.9535496095195413,0.3780252942815423,0.9706623610109091,0.38928105495870113,0.3024689657613635,0.40960852708667517,0.6943739214912057,5,7,grado,0,0,0,0,0,0,0,0,0,0,0,1
1288,0.9535496095195413,0.3780252942815423,0.9706623610109091,0.38928105495870113,0.3024689657613635,0.40960852708667517,0.6943739214912057,5,7,null_peso,0,0,0,0,0,0,0,0,0,0,0,1
1318,0.08321135956794024,0.3021108629181981,0.014032067731022835,0.13019299320876598,0.35258044488728046,0.1332925595343113,0.22907300759106874,3,0,peso,0,0,0,0,0,0,0,0,0,1,0,1
