rule_id,clase,seed,N,par_n2000,K,kcap,fraccion_masa_en_sumideros,n_sumideros,kappa_v_agregado,t_primer_sumidero,masa_acretada_total,n_aristas_grafo_final,grado_medio_grafo_final,diam_grafo_final_OFICIAL,holon_grafo_final,n_dump_final,abortado_por_timeout,t_grafo_s,t_ic_s,t_phantom_s,fuente
A2-B0-C2-batch3-r111,III,482596,2000,A2-B0-C2-batch3-r120_vs_A2-B0-C2-batch3-r111,6,5,0.12200000000000003,8,0.838235294117647,0.036,2293.5999999999995,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r76,I,479201,2000,A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26,8,5,0.10650000000000004,8,0.6825396825396828,0.036,2002.2,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r26,III,474351,2000,A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26,8,5,0.11150000000000004,8,0.7205882352941176,0.032,2096.2000000000003,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r143,I,485700,2000,A2-B0-C2-batch3-r143_vs_A2-B0-C2-batch3-r70,4,5,0.10000000000000003,8,0.39351851851851805,0.037,1880.0000000000002,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r70,III,478619,2000,A2-B0-C2-batch3-r143_vs_A2-B0-C2-batch3-r70,4,5,0.09500000000000004,8,0.4264705882352941,0.039,1785.9999999999998,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r11,I,572896,2000,A2-B0-C2-batch4-r11_vs_A2-B0-C2-batch4-r0,6,6,0.08600000000000003,8,0.30687830687830625,0.043,1616.8000000000002,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r0,III,571829,2000,A2-B0-C2-batch4-r11_vs_A2-B0-C2-batch4-r0,6,6,0.09000000000000002,8,0.4421052631578949,0.04,1692.0,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r31,I,574836,2000,A2-B0-C2-batch4-r31_vs_A2-B0-C2-batch4-r1,6,5,0.09850000000000003,8,0.523076923076923,0.036,1851.8000000000002,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r1,III,571926,2000,A2-B0-C2-batch4-r31_vs_A2-B0-C2-batch4-r1,6,5,0.10750000000000003,8,0.6307692307692309,0.035,2021.0,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r3,I,572120,2000,A2-B0-C2-batch4-r3_vs_A2-B0-C2-batch4-r9,5,6,0.07550000000000001,8,0.32653061224489793,0.042,1419.4,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r9,III,572702,2000,A2-B0-C2-batch4-r3_vs_A2-B0-C2-batch4-r9,5,6,0.07950000000000002,8,0.35185185185185186,0.049,1494.6,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r23,I,574060,2000,A2-B0-C2-batch4-r23_vs_A2-B0-C2-batch4-r10,5,5,0.09550000000000002,8,0.5081967213114754,0.041,1795.4,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r10,III,572799,2000,A2-B0-C2-batch4-r23_vs_A2-B0-C2-batch4-r10,5,5,0.12799999999999997,8,0.9027777777777777,0.03,2406.3999999999996,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r15,I,573284,2000,A2-B0-C2-batch4-r15_vs_A2-B0-C2-batch4-r62,8,5,0.10550000000000002,8,0.6307692307692307,0.038,1983.4,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r62,III,577843,2000,A2-B0-C2-batch4-r15_vs_A2-B0-C2-batch4-r62,8,5,0.10250000000000004,8,0.5671641791044775,0.036,1927.0,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r51,I,576776,2000,A2-B0-C2-batch4-r51_vs_A2-B0-C2-batch4-r36,8,4,0.14499999999999996,8,1.3424657534246576,0.031,2726.0000000000005,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r36,III,575321,2000,A2-B0-C2-batch4-r51_vs_A2-B0-C2-batch4-r36,8,4,0.15349999999999997,8,1.407894736842105,0.023,2885.7999999999997,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r38,I,575515,2000,A2-B0-C2-batch4-r38_vs_A2-B0-C2-batch4-r72,4,5,0.09950000000000002,8,0.6439790575916231,0.034,1870.6,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r72,III,578813,2000,A2-B0-C2-batch4-r38_vs_A2-B0-C2-batch4-r72,4,5,0.10150000000000003,8,0.5148514851485143,0.022,1908.2,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r57,I,577358,2000,A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,7,5,0.09950000000000002,8,0.49275362318840554,0.034,1870.6,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r43,III,576000,2000,A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,7,5,0.09350000000000003,8,0.5052631578947369,0.04,1757.7999999999997,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r13,I,573090,2000,A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94,6,6,0.07650000000000001,8,0.4680851063829786,0.047,1438.1999999999998,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r94,III,580947,2000,A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94,6,6,0.08900000000000004,8,0.39893617021276606,0.038,1673.2000000000003,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r41,I,575806,2000,A2-B0-C2-batch4-r41_vs_A2-B0-C2-batch4-r12,6,5,0.09350000000000003,8,0.4833333333333333,0.039,1757.8,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r12,III,572993,2000,A2-B0-C2-batch4-r41_vs_A2-B0-C2-batch4-r12,6,5,0.1005,8,0.5384615384615384,0.039,1889.4,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r18,I,573575,2000,A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19,5,6,0.08200000000000002,8,0.5510204081632653,0.048,1541.6,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r19,III,573672,2000,A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19,5,6,0.09050000000000001,8,0.4761904761904759,0.036,1701.4,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r39,I,575612,2000,A2-B0-C2-batch4-r39_vs_A2-B0-C2-batch4-r26,5,5,0.10150000000000003,8,0.5873015873015872,0.04,1908.2,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r26,III,574351,2000,A2-B0-C2-batch4-r39_vs_A2-B0-C2-batch4-r26,5,5,0.10250000000000004,8,0.5294117647058822,0.038,1926.9999999999998,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r70,I,578619,2000,A2-B0-C2-batch4-r70_vs_A2-B0-C2-batch4-r47,7,5,0.098,8,0.4581280788177341,0.036,1842.3999999999999,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r47,III,576388,2000,A2-B0-C2-batch4-r70_vs_A2-B0-C2-batch4-r47,7,5,0.09300000000000001,8,0.4,0.039,1748.3999999999999,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r44,I,576097,2000,A2-B0-C2-batch4-r44_vs_A2-B0-C2-batch4-r28,6,5,0.10000000000000003,8,0.4999999999999999,0.04,1879.9999999999998,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch4-r28,III,574545,2000,A2-B0-C2-batch4-r44_vs_A2-B0-C2-batch4-r28,6,5,0.10650000000000004,8,0.5937499999999999,0.03,2002.2,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r0,III,471829,4000,A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0,5,4,0.25824999999999987,68,0.24646983311938386,0.004,4855.0999999999985,4714,2.357,20,0.6247905152445559,cosmog_00500,False,6.58,834.16,61.58,O3A_worker
A2-B0-C2-batch3-r100,I,481529,4000,A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0,5,4,0.2624999999999999,64,0.32412965186074433,0.003,4934.999999999998,4723,2.3615,22,0.5063883560589856,cosmog_00500,False,7.41,761.45,43.27,O3A_worker
A2-B0-C2-batch3-r108,III,482305,4000,A2-B0-C2-batch3-r112_vs_A2-B0-C2-batch3-r108,6,5,0.14049999999999987,24,0.35401459854014594,0.008,2641.4,6448,3.224,17,0.7334193699808091,cosmog_00500,False,7.58,762.37,28.14,O3A_worker
A2-B0-C2-batch3-r112,I,482693,4000,A2-B0-C2-batch3-r112_vs_A2-B0-C2-batch3-r108,6,5,0.15174999999999988,30,0.4914285714285712,0.006,2852.8999999999996,6574,3.287,15,0.6511576411483352,cosmog_00500,False,7.74,764.94,38.55,O3A_worker
A2-B0-C2-batch3-r114,III,482887,4000,A2-B0-C2-batch3-r5_vs_A2-B0-C2-batch3-r114,6,6,0.09824999999999995,12,0.4392764857881135,0.006,1847.1,8138,4.069,16,0.7227922054288465,cosmog_00500,False,5.62,627.12,19.11,O3A_worker
A2-B0-C2-batch3-r12,III,472993,4000,A2-B0-C2-batch3-r86_vs_A2-B0-C2-batch3-r12,5,5,0.1337499999999999,24,0.41544885177453045,0.006,2514.4999999999995,6713,3.3565,16,0.7205156358862306,cosmog_00500,False,5.09,624.86,21.13,O3A_worker
A2-B0-C2-batch3-r26,III,474351,4000,A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26,8,5,0.1569999999999999,30,0.44972577696526467,0.0,2951.6,6621,3.3105,15,0.6801426700874217,cosmog_00500,False,8.71,855.3,27.0,O3A_worker
A2-B0-C2-batch3-r31,III,474836,4000,A2-B0-C2-batch3-r35_vs_A2-B0-C2-batch3-r31,4,5,0.16074999999999987,25,0.45117845117845135,0.004,3022.1000000000004,6445,3.2225,17,0.3552164438537022,cosmog_00500,False,5.11,620.4,28.62,O3A_worker
A2-B0-C2-batch3-r35,I,475224,4000,A2-B0-C2-batch3-r35_vs_A2-B0-C2-batch3-r31,4,5,0.14624999999999994,26,0.4230019493177389,0.005,2749.5,6721,3.3605,15,0.6932556859823067,cosmog_00500,False,5.08,620.42,25.21,O3A_worker
A2-B0-C2-batch3-r5,I,472314,4000,A2-B0-C2-batch3-r5_vs_A2-B0-C2-batch3-r114,6,6,0.10224999999999995,13,0.4436619718309857,0.004,1922.3000000000002,7936,3.968,15,0.8866500419666443,cosmog_00500,False,5.65,618.58,20.79,O3A_worker
A2-B0-C2-batch3-r76,I,479201,4000,A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26,8,5,0.12949999999999992,16,0.35221238938053107,0.004,2434.6,6692,3.346,16,0.721084670954328,cosmog_00500,False,8.59,860.55,27.24,O3A_worker
