test,condicion,rule_id,seed,N_sistema,pendiente,pendiente_null,z_agg,clase,holon_ratio,n_aristas_b1,grado_medio_b1,diam_b1,giant_b1,diam_por_escala,ncajas_por_escala,K,J,noise,meandeg,dt,kcap_base,kcap_media_emp,kcap_sd,kcap_cv,kcap_min,kcap_max,grado_inicial_medio
P2-norm,NORM-log,A2-B0-C2-r13,91473,1000,0.8058031568640189,0.8215958349348533,0.4777163161515567,III,2.2115644356035222,1562,3.124,13.0,0.94,13|10|7|5|4,1000|607|382|271|240,7,0.527,0.286,7.06,2.65,5,5.0,0.0,0.0,5,5,7.06
P2-norm,NORM-log,A2-B0-C2-r14,91570,1000,0.7290572816285513,0.7744751418563902,0.21213203418096435,III,2.14618584613716,1601,3.202,12.0,0.934,12|10|7|5|4,1000|610|388|268|216,7,0.47,0.192,6.75,2.56,5,5.0,0.0,0.0,5,5,6.75
P2-norm,NORM-log,A2-B0-C2-r0,90212,2000,0.5883591670766531,0.609515685928161,0.2121320341309641,I,1.6846566783030945,4062,4.062,11.0,0.974,11|8|6|5|4,2000|1166|721|472|386,4,0.404,0.234,7.64,5.43,6,6.0,0.0,0.0,6,6,7.64
P2-norm,NORM-log,A2-B0-C2-r1,90309,2000,0.6038507260678416,0.5400552667492926,0.2449489739783178,I,1.730522915696777,4069,4.069,12.0,0.9865,12|9|6|5|4,2000|1146|688|454|315,7,0.688,0.281,5.78,5.48,6,6.0,0.0,0.0,6,6,5.78
P2-norm,NORM-log,A2-B0-C2-r2,90406,2000,0.5659022239424925,0.5857900223489783,0.35355338991827345,I,1.9553185879204888,4085,4.085,11.0,0.982,11|8|6|5|4,2000|1155|716|467|349,7,0.508,0.259,7.01,5.95,6,6.0,0.0,0.0,6,6,7.01
P2-norm,NORM-log,A2-B0-C2-r3,90503,2000,0.45689064650756733,0.5293339986382422,0.7778174577302019,I,1.9215220998516505,4092,4.092,9.0,0.9865,9|8|6|5|4,2000|1142|685|454|334,5,0.66,0.313,5.34,6.35,6,6.0,0.0,0.0,6,6,5.34
P2-norm,NORM-log,A2-B0-C2-r4,90600,2000,0.6284071293803035,0.507834674833207,1.5556349153104045,I,4.321843607703758,4083,4.083,14.0,0.993,14|7|5|5|4,2000|1140|701|447|316,5,0.561,0.109,5.18,6.08,6,6.0,0.0,0.0,6,6,5.18
P2-norm,NORM-log,A2-B0-C2-r5,90697,2000,0.4965486876341615,0.648335033499167,0.9899494920111666,I,2.502240589197241,3922,3.922,10.0,0.9835,10|7|6|5|4,2000|1166|711|471|359,5,0.769,0.338,4.97,6.41,6,6.0,0.0,0.0,6,6,4.97
P2-norm,NORM-log,A2-B0-C2-r6,90794,2000,0.6341020740751763,0.5358926049689038,1.4142135593730951,I,1.7796676635095916,4024,4.024,12.0,0.975,12|9|6|5|4,2000|1165|707|475|348,5,0.407,0.249,7.4,8.6,6,6.0,0.0,0.0,6,6,7.4
P2-norm,NORM-log,A2-B0-C2-r7,90891,2000,0.6057155290085577,0.5457565225889762,0.527791685852937,I,1.751619101246544,4073,4.073,12.0,0.981,12|8|6|5|4,2000|1151|722|470|343,7,0.503,0.225,7.25,7.21,6,6.0,0.0,0.0,6,6,7.25
P2-norm,NORM-log,A2-B0-C2-r8,90988,2000,0.5933308031518034,0.6752048686286225,0.4949747461555834,I,2.0381520669350754,3619,3.619,11.0,0.981,11|8|6|5|4,2000|1180|727|492|383,6,0.544,0.107,4.18,6.12,6,6.0,0.0,0.0,6,6,4.18
P2-norm,NORM-log,A2-B0-C2-r9,91085,2000,0.4985026430780506,0.5300862657149807,0.5656854237492382,I,1.7083542967376482,4046,4.046,10.0,0.99,10|8|6|5|4,2000|1136|672|445|323,5,0.397,0.121,5.37,6.77,6,6.0,0.0,0.0,6,6,5.37
P2-norm,NORM-log,A2-B0-C2-r10,91182,2000,0.6502000561386319,0.512900005826242,2.1213203390596425,I,3.1997281381089406,4115,4.115,13.0,0.9885,13|10|6|5|4,2000|1141|700|427|313,5,0.441,0.133,6.34,7.55,6,6.0,0.0,0.0,6,6,6.34
P2-norm,NORM-log,A2-B0-C2-r11,91279,2000,0.6382654081105739,0.6083692605981017,0.3535533899182736,I,2.1331432157807253,4052,4.052,12.0,0.983,12|9|6|5|4,2000|1150|718|467|356,8,0.561,0.315,6.93,6.08,6,6.0,0.0,0.0,6,6,6.93
P2-norm,NORM-log,A2-B0-C2-r12,91376,2000,0.5778546426512917,0.6163747406926018,0.4397356198928583,I,2.3189152770064037,3932,3.932,11.0,0.9845,11|9|6|5|4,2000|1153|695|457|335,7,0.369,0.176,5.34,6.51,6,6.0,0.0,0.0,6,6,5.34
P2-norm,NORM-log,A2-B0-C2-r13,91473,2000,0.5924923955772214,0.6032267015404666,0.353553389918274,I,1.2692286249854343,4059,4.059,12.0,0.9835,12|8|6|5|4,2000|1160|708|477|324,7,0.527,0.286,7.06,6.56,6,6.0,0.0,0.0,6,6,7.06
P2-norm,NORM-log,A2-B0-C2-r14,91570,2000,0.5753842016970593,0.48131457488573404,1.131370847498476,I,1.8909409951514007,4102,4.102,11.0,0.975,11|9|6|5|4,2000|1157|687|470|326,7,0.47,0.192,6.75,6.24,6,6.0,0.0,0.0,6,6,6.75
P2-norm,NORM-log,A2-B0-C2-r0,90212,4000,0.561788032977598,0.4139534515178197,1.6970562712477135,I,2.2322421307616396,10016,5.008,12.0,0.99225,12|8|6|5|4,4000|2245|1329|852|598,4,0.404,0.234,7.64,14.96,7,7.0,0.0,0.0,7,7,7.64
P2-norm,NORM-log,A2-B0-C2-r1,90309,4000,0.4931423287240194,0.4689815610444301,0.2828427118746191,I,2.263013835016234,9503,4.752,11.0,0.9945,11|7|6|5|4,4000|2265|1345|847|592,7,0.688,0.281,5.78,14.55,7,7.0,0.0,0.0,7,7,5.78
P2-norm,NORM-log,A2-B0-C2-r2,90406,4000,0.3972195788916783,0.45165821121886307,0.3863703299156272,II,1.415035101068117,9796,4.898,9.0,0.99625,9|7|6|5|4,4000|2259|1317|830|570,7,0.508,0.259,7.01,14.53,7,7.0,0.0,0.0,7,7,7.01
P2-norm,NORM-log,A2-B0-C2-r3,90503,4000,0.5115923364497208,0.5405578422871249,0.42426406781192866,I,2.9916462721569883,9263,4.631,11.0,0.99075,11|7|6|5|4,4000|2267|1347|886|632,5,0.66,0.313,5.34,13.95,7,7.0,0.0,0.0,7,7,5.34
P2-norm,NORM-log,A2-B0-C2-r4,90600,4000,0.5062294320239981,0.5190533323327681,0.05345224833962783,I,4.521709638160469,8952,4.476,11.0,0.9905,11|7|6|5|4,4000|2292|1370|897|614,5,0.561,0.109,5.18,14.5,7,7.0,0.0,0.0,7,7,5.18
P2-norm,NORM-log,A2-B0-C2-r5,90697,4000,0.6000166290605918,0.5258268539110719,0.3863703299156272,I,1.351121138233668,8833,4.417,12.0,0.98825,12|8|6|5|4,4000|2303|1395|938|672,5,0.769,0.338,4.97,14.22,7,7.0,0.0,0.0,7,7,4.97
P2-norm,NORM-log,A2-B0-C2-r6,90794,4000,0.5398980355037599,0.5339208622072472,0.42426406811192835,I,1.8257448541099746,9874,4.937,12.0,0.99125,12|7|6|5|4,4000|2250|1336|837|619,5,0.407,0.249,7.4,16.16,7,7.0,0.0,0.0,7,7,7.4
P2-norm,NORM-log,A2-B0-C2-r7,90891,4000,0.4521580725258197,0.5151997491877027,0.42426406781192816,I,2.1286570501187807,9815,4.907,10.0,0.9935,10|7|5|5|4,4000|2262|1330|864|569,7,0.503,0.225,7.25,15.51,7,7.0,0.0,0.0,7,7,7.25
P2-norm,NORM-log,A2-B0-C2-r8,90988,4000,0.7227052182239124,0.5879870234372296,1.4142135593730956,III,1.4122867726397768,7728,3.864,14.0,0.98425,14|9|7|5|4,4000|2345|1442|1002|723,6,0.544,0.107,4.18,12.78,7,7.0,0.0,0.0,7,7,4.18
P2-norm,NORM-log,A2-B0-C2-r9,91085,4000,0.5471374836612851,0.5149804845633534,0.4242640678119288,I,2.622342659255711,9074,4.537,11.0,0.9915,11|8|6|5|4,4000|2272|1356|900|653,5,0.397,0.121,5.37,14.95,7,7.0,0.0,0.0,7,7,5.37
P2-norm,NORM-log,A2-B0-C2-r10,91182,4000,0.402358299025214,0.47249425174377047,0.7071067796865476,II,3.1642863027079384,9758,4.879,9.0,0.995,9|7|6|5|4,4000|2231|1301|834|587,5,0.441,0.133,6.34,15.79,7,7.0,0.0,0.0,7,7,6.34
P2-norm,NORM-log,A2-B0-C2-r11,91279,4000,0.4852561293808991,0.4382648977049351,0.989949491561166,I,2.3997959373192446,9937,4.968,11.0,0.995,11|7|6|5|4,4000|2236|1313|823|574,8,0.561,0.315,6.93,15.57,7,7.0,0.0,0.0,7,7,6.93
P2-norm,NORM-log,A2-B0-C2-r12,91376,4000,0.564236434958144,0.5412873579139468,0.527791685852937,I,1.7631551582080391,8906,4.453,12.0,0.9895,12|7|6|5|4,4000|2272|1377|891|666,7,0.369,0.176,5.34,14.6,7,7.0,0.0,0.0,7,7,5.34
P2-norm,NORM-log,A2-B0-C2-r13,91473,4000,0.49155117231569795,0.5058182607493487,0.273320058286057,I,1.5443767380795148,9760,4.88,11.0,0.995,11|7|5|5|4,4000|2247|1318|829|576,7,0.527,0.286,7.06,15.8,7,7.0,0.0,0.0,7,7,7.06
P2-norm,NORM-log,A2-B0-C2-r14,91570,4000,0.5001029991146577,0.5093344268238538,0.07071067804365469,I,1.3931561360513658,9793,4.896,11.0,0.993,11|7|6|5|4,4000|2257|1325|845|615,7,0.47,0.192,6.75,17.22,7,7.0,0.0,0.0,7,7,6.75
P2-norm,NORM-pot,A2-B0-C2-r0,90212,500,1.5197463222339997,1.290415137784951,0.7071067799265478,III,2.8750516013163185,516,2.064,21.0,0.778,21|14|10|5|4,500|328|236|190|168,4,0.404,0.234,7.64,1.3,4,4.0,0.0,0.0,4,4,7.64
P2-norm,NORM-pot,A2-B0-C2-r1,90309,500,0.9365124276160955,0.9154682378381097,1.131370847498476,III,2.0660497628789734,614,2.456,15.0,0.888,15|11|8|5|4,500|306|209|149|118,7,0.688,0.281,5.78,1.49,4,4.0,0.0,0.0,4,4,5.78
P2-norm,NORM-pot,A2-B0-C2-r2,90406,500,1.024779785815134,1.2053670624710113,0.9342167693590888,III,1.9682543868250804,561,2.244,15.0,0.812,15|10|7|6|4,500|327|228|179|149,7,0.508,0.259,7.01,1.31,4,4.0,0.0,0.0,4,4,7.008
