corrida,umbral,descripcion_umbral,n_difuso,masa_difusa,H_v3d_abs,Hmm_v3d_abs,Hrar_v3d_abs,H_v3d_std,Hmm_v3d_std,Hrar_v3d_std,H_mod_abs,Hmm_mod_abs,Hrar_mod_abs,H_mod_std,Hmm_mod_std,Hrar_mod_std,sigma_v,v_mediana,n_fil_c1.0,frac_mayor_c1.0,n_fil_c1.5,frac_mayor_c1.5,n_fil_c2.5,frac_mayor_c2.5
A2-B0-C2-batch3-r31_III,A_P50_abs,rho < 0.2004 (P50 agrupado),816,7670.400000000001,5.930873174482623,5.986565446281646,5.872185895450299,5.9391092892522135,5.994801561051236,5.882688217954153,3.9865095708473413,3.9997696355613943,3.972419281128454,3.9853215795899075,3.9985816443039606,3.972989696033645,1.7371461170152573,1.506955920693274,21,0.014705882352941176,44,0.0196078431372549,4,0.5245098039215687
A2-B0-C2-batch3-r35_I,A_P50_abs,rho < 0.2004 (P50 agrupado),824,7745.6,5.934131817591933,5.989283387723003,5.875078361312856,5.94851990383588,6.003671473966951,5.889985781661722,3.984593879754275,3.9977252059759585,3.9708582540501935,3.988840805674628,4.001972131896312,3.9750000136794377,1.6551484316158749,1.4051775417930017,22,0.014563106796116505,46,0.019417475728155338,5,0.8592233009708737
A2-B0-C2-batch3-r44_I,A_P50_abs,rho < 0.2004 (P50 agrupado),753,7078.2,5.944779389256661,6.005131173835681,5.892913597258562,5.9451057076299865,6.005457492209007,5.894900271379489,3.9835428355957934,3.997912308114608,3.971645611654489,3.9891470224357053,4.0035164949545194,3.9776164564153076,1.665207443256031,1.470349680424699,9,0.02257636122177955,22,0.02656042496679947,8,0.8140770252324038
A2-B0-C2-batch3-r48_I,A_P50_abs,rho < 0.2004 (P50 agrupado),692,6504.8,5.92755688408827,5.993228695920643,5.882488970718082,5.924231063809861,5.989902875642234,5.878111854335706,3.9841003292490393,3.999736474923414,3.973634508168007,3.984664641535188,4.000300787209563,3.9740740314065603,1.6862083615426944,1.4390952641908648,5,0.010115606936416185,26,0.030346820809248554,14,0.16329479768786126
A2-B0-C2-batch3-r50_I,A_P50_abs,rho < 0.2004 (P50 agrupado),811,7623.400000000001,5.941567881977036,5.997603509335855,5.88389298449049,5.9384179137408815,5.9944535410997,5.882134495683656,3.992271295796327,4.005613111834141,3.979758601558424,3.985414064020251,3.998755880058065,3.971650548456672,1.753564355985539,1.509376791125171,17,0.013563501849568433,37,0.03822441430332922,7,0.8532675709001233
A2-B0-C2-batch3-r53_I,A_P50_abs,rho < 0.2004 (P50 agrupado),728,6843.2,5.925390060089594,5.987814364743444,5.876625460589731,5.9297097844355955,5.992134089089445,5.878631367624925,3.9901080898710957,4.004971019550584,3.978627972138049,3.984353753442071,3.999216683121559,3.9730858274066363,1.6868724578232233,1.4438031731974883,12,0.016483516483516484,35,0.02197802197802198,9,0.7925824175824175
A2-B0-C2-batch3-r58_III,A_P50_abs,rho < 0.2004 (P50 agrupado),747,7021.8,5.919171896426916,5.980008434295728,5.866695641206446,5.940058318367399,6.0008948562362106,5.887545752071946,3.9771091130853353,3.9915940030541,3.9651383576760573,3.98001889740156,3.994503787370325,3.9679627623855196,1.6980574078752297,1.4099771641652807,13,0.014725568942436412,36,0.03346720214190094,6,0.7590361445783133
A2-B0-C2-batch3-r59_I,A_P50_abs,rho < 0.2004 (P50 agrupado),759,7134.6,5.929124979289512,5.988999674662375,5.877351366670329,5.94119217225581,6.001066867628672,5.888018008252809,3.9919096836802446,4.006165563530926,3.9801077905258944,3.9933836378791847,4.007639517729866,3.980809759534664,1.7185513860579258,1.4651664745838042,15,0.013175230566534914,36,0.03162055335968379,7,0.8036890645586298
A2-B0-C2-batch3-r5_I,A_P50_abs,rho < 0.2004 (P50 agrupado),1297,12191.800000000001,5.954194961434364,5.989233430045006,5.8759024627095515,5.965804305360637,6.000842773971279,5.887971820384163,3.98874506931501,3.997087561841353,3.9713695413327796,3.9903478232805982,3.9986903158069413,3.9733514149981772,1.7879715710811832,1.5614242198390706,34,0.03777949113338473,64,0.047031611410948346,6,0.9159599074787972
A2-B0-C2-batch3-r60_III,A_P50_abs,rho < 0.2004 (P50 agrupado),745,7003.0,5.923094793886312,5.9840946513198725,5.8717695606160705,5.942805333773451,6.003805191207012,5.890065798438859,3.9834550060589766,3.9979787816383956,3.971519643263843,3.992557236426307,4.0070810120057265,3.9802040905350613,1.7128876044628183,1.4804249409312398,13,0.020134228187919462,35,0.021476510067114093,4,0.8389261744966443
A2-B0-C2-batch3-r69_III,A_P50_abs,rho < 0.2004 (P50 agrupado),1024,9625.6,5.944005220996916,5.988385000086762,5.87496181824659,5.960397187284968,6.0047769663748145,5.8915541962530265,3.987932400923796,3.9984990149928072,3.9719836340870636,3.985614977098627,3.996181591167638,3.970440517002704,1.7024957546541766,1.5040386908273233,23,0.015625,51,0.0205078125,6,0.8837890625
