rule_id,seed,fuente,K,J,noise,meandeg,kcap,clase_csv,pendiente_csv,z_agg_csv,reconstruccion_fiel,pendiente_vieja,pendiente_corregida,z_agg_vieja,z_agg_corregida,z_sost_vieja,z_sost_corregida,holon_ratio,clase_vieja,clase_corregida,cambia_clase,diam_viejo,diam_corregido,diam_null_viejo,diam_null_corregido,n_cajas,tam_comp_medida,tam_gigante,descarrila_b1,escalas_descarriladas
A2-B0-C2-batch4-r195,590744,cs090_fase5b_candidatas_v4.csv,8,0.522,0.254,6.15,7,II,0.37027586499277026,0.4242640678119285,True,0.37027586499277015,0.37027586499277015,0.4242640678119285,0.4242640678119285,False,False,2.1760004956178856,II,II,False,"[9.0, 6.0, 6.0, 5.0, 4.0]","[9.0, 6.0, 6.0, 5.0, 4.0]","[9.0, 6.667, 5.0, 4.667, 4.0]","[9.0, 6.667, 5.0, 4.667, 4.0]","[2000, 1124, 667, 425, 284]","[1987, 1111, 654, 412, 271]","[1987, 1111, 654, 412, 271]",False,0
A2-B0-C2-r6,372411,cs090_fase5b_candidatas_v2.csv,8,0.601,0.179,7.46,7,II,0.3733201254483976,0.8485281356238566,True,0.3733201254483987,0.3733201254483987,0.8485281356238566,0.8485281356238566,False,False,2.6345160851894063,II,II,False,"[9.0, 6.0, 5.0, 5.0, 4.0]","[9.0, 6.0, 5.0, 5.0, 4.0]","[10.667, 7.0, 5.0, 4.667, 4.0]","[10.667, 7.0, 5.0, 4.667, 4.0]","[2000, 1133, 662, 427, 281]","[1981, 1115, 644, 409, 263]","[1981, 1115, 644, 409, 263]",False,0
A2-B0-C2-batch4-r215,592684,cs090_fase5b_candidatas_v4.csv,4,0.708,0.121,7.58,7,II,0.3766316560859304,0.28284271202461875,True,0.3766316560859301,0.3766316560859301,0.28284271202461875,0.28284271202461875,False,False,5.157667828115073,II,II,False,"[9.0, 6.0, 5.0, 5.0, 4.0]","[9.0, 6.0, 5.0, 5.0, 4.0]","[9.667, 7.0, 5.0, 4.667, 4.0]","[9.667, 7.0, 5.0, 4.667, 4.0]","[2000, 1127, 666, 436, 282]","[1985, 1112, 651, 421, 267]","[1985, 1112, 651, 421, 267]",False,0
A2-B0-C2-batch4-r55,577164,cs090_fase5b_candidatas_v4.csv,4,0.691,0.217,7.65,7,II,0.3914357592569719,0.5656854237492379,True,0.3914357592569724,0.3914357592569724,0.5656854237492379,0.5656854237492379,False,False,2.742834577379112,II,II,False,"[9.0, 6.0, 5.0, 5.0, 4.0]","[9.0, 6.0, 5.0, 5.0, 4.0]","[9.667, 6.667, 5.0, 5.0, 4.0]","[9.667, 6.667, 5.0, 5.0, 4.0]","[2000, 1126, 651, 428, 315]","[1986, 1112, 637, 414, 301]","[1986, 1112, 637, 414, 301]",False,0
A2-B0-C2-batch4-r190,590259,cs090_fase5b_candidatas_v4.csv,6,0.75,0.212,6.09,6,II,0.39193114490365544,1.2727922040357855,True,0.3919311449036555,0.3919311449036555,1.2727922040357855,1.2727922040357855,False,False,1.6504371261307837,II,II,False,"[9.0, 6.0, 6.0, 5.0, 4.0]","[9.0, 6.0, 6.0, 5.0, 4.0]","[11.667, 7.667, 6.0, 5.0, 4.0]","[11.667, 7.667, 6.0, 5.0, 4.0]","[2000, 1146, 689, 443, 327]","[1975, 1121, 664, 418, 302]","[1975, 1121, 664, 418, 302]",False,0
A2-B0-C2-batch3-r39,475612,cs090_fase5b_candidatas_v3.csv,4,0.66,0.175,7.47,7,II,0.4047087200076526,0.5277916858529366,True,0.4047087200076529,0.4047087200076529,0.5277916858529366,0.5277916858529366,False,False,4.42388764294637,II,II,False,"[8.0, 7.0, 6.0, 4.0, 4.0]","[8.0, 7.0, 6.0, 4.0, 4.0]","[9.0, 6.667, 5.0, 4.333, 4.0]","[9.0, 6.667, 5.0, 4.333, 4.0]","[2000, 1129, 663, 425, 299]","[1984, 1114, 648, 410, 284]","[1984, 1114, 648, 410, 284]",False,0
A2-B0-C2-batch4-r83,579880,cs090_fase5b_candidatas_v4.csv,6,0.56,0.242,6.28,7,II,0.4081790787821271,0.9899494915611664,True,0.40817907878212667,0.40817907878212667,0.9899494915611664,0.9899494915611664,False,False,2.722632286007739,II,II,False,"[9.0, 7.0, 5.0, 5.0, 4.0]","[9.0, 7.0, 5.0, 5.0, 4.0]","[9.667, 6.667, 5.667, 4.333, 4.0]","[9.667, 6.667, 5.667, 4.333, 4.0]","[2000, 1126, 671, 431, 288]","[1989, 1115, 660, 420, 277]","[1989, 1115, 660, 420, 277]",False,0
A2-B0-C2-batch4-r141,585506,cs090_fase5b_candidatas_v4.csv,4,0.43,0.123,7.55,7,II,0.4088898923868671,0.353553389918274,True,0.4088898923868667,0.4088898923868667,0.353553389918274,0.353553389918274,False,False,3.6451681351500715,II,II,False,"[9.0, 7.0, 5.0, 5.0, 4.0]","[9.0, 7.0, 5.0, 5.0, 4.0]","[8.667, 6.0, 5.0, 4.333, 4.0]","[8.667, 6.0, 5.0, 4.333, 4.0]","[2000, 1139, 667, 434, 289]","[1987, 1126, 654, 421, 276]","[1987, 1126, 654, 421, 276]",False,0
A2-B0-C2-r18,373575,cs090_fase5b_candidatas_v2.csv,8,0.707,0.303,6.77,7,II,0.4148901443251834,0.5656854237492382,True,0.41489014432518356,0.41489014432518356,0.5656854237492382,0.5656854237492382,False,False,2.1452293675939793,II,II,False,"[9.0, 7.0, 5.0, 5.0, 4.0]","[9.0, 7.0, 5.0, 5.0, 4.0]","[9.333, 6.667, 5.0, 4.333, 4.0]","[9.333, 6.667, 5.0, 4.333, 4.0]","[2000, 1131, 684, 428, 304]","[1981, 1113, 666, 410, 286]","[1981, 1113, 666, 410, 286]",False,0
A2-B0-C2-batch3-r29,474642,cs090_fase5b_candidatas_v3.csv,5,0.725,0.101,5.58,7,II,0.4211602069238034,0.7071067799865476,True,0.4211602069238037,0.4211602069238037,0.7071067799865476,0.7071067799865476,False,False,3.848250941709645,II,II,False,"[9.0, 7.0, 5.0, 5.0, 4.0]","[9.0, 7.0, 5.0, 5.0, 4.0]","[10.333, 7.333, 5.667, 5.0, 4.0]","[10.333, 7.333, 5.667, 5.0, 4.0]","[2000, 1137, 669, 429, 315]","[1985, 1123, 655, 415, 301]","[1985, 1123, 655, 415, 301]",False,0
A2-B0-C2-batch4-r61,577746,cs090_fase5b_candidatas_v4.csv,5,0.714,0.115,6.76,7,II,0.4218649200991793,0.3535533900682738,True,0.4218649200991793,0.4218649200991793,0.3535533900682738,0.3535533900682738,False,False,5.664444095760099,II,II,False,"[10.0, 6.0, 5.0, 5.0, 4.0]","[10.0, 6.0, 5.0, 5.0, 4.0]","[9.667, 7.0, 5.333, 4.333, 4.0]","[9.667, 7.0, 5.333, 4.333, 4.0]","[2000, 1122, 684, 421, 289]","[1991, 1113, 675, 412, 280]","[1991, 1113, 675, 412, 280]",False,0
