t,energia_L_baja,energia_L_alta,energia_R_baja,energia_R_alta,gradE_calc
69.0000,0.154016,0.000006,0.151030,0.000008,0.601632
69.5000,0.153171,0.000379,0.162519,0.001876,0.663857
70.0000,0.274688,0.002297,0.243266,0.007594,0.539793
70.5000,0.211940,0.001410,0.218227,0.002985,0.560759
71.0000,0.179453,0.095258,0.179104,0.107669,0.758628
71.5000,0.130911,0.000081,0.130504,0.000106,0.615505
72.0000,0.003677,0.125974,0.003811,0.126455,0.635262
72.5000,0.125309,0.000007,0.125322,0.000011,0.768736
73.0000,0.020620,0.142550,0.017948,0.150466,0.574456
73.5000,0.197684,0.000180,0.189944,0.000270,0.666851
74.0000,0.144162,0.009880,0.144403,0.012369,0.600852
74.5000,0.130022,0.000381,0.129865,0.000770,0.586234
75.0000,0.128373,0.028370,0.127963,0.037399,0.782868
75.5000,0.125154,0.000314,0.125529,0.000699,0.459934
76.0000,0.137534,0.000044,0.137722,0.000086,0.699406
76.5000,0.136370,0.004155,0.144315,0.016987,0.613365
77.0000,0.147278,0.010595,0.144564,0.009840,0.577392
77.5000,0.231817,0.000008,0.255697,0.000015,0.609554
78.0000,0.303665,0.006497,0.325288,0.010102,0.743596
78.5000,0.343563,0.007519,0.349571,0.015278,0.428001
79.0000,0.160632,0.001914,0.169218,0.003702,0.562320
79.5000,0.226863,0.012699,0.182928,0.016756,0.694363
80.0000,0.204833,0.002996,0.206053,0.003827,0.566919
80.5000,0.231907,0.018390,0.235103,0.018379,0.774519
81.0000,0.022380,0.125350,0.022810,0.125549,0.681644
81.5000,0.250606,0.000047,0.257942,0.000100,0.626674
82.0000,0.150235,0.001771,0.155090,0.001877,0.751539
82.5000,0.175153,0.000006,0.178106,0.000010,0.727947
83.0000,0.142925,0.000933,0.142939,0.001432,0.701498
83.5000,0.195157,0.007253,0.204878,0.012004,0.615663
84.0000,0.088442,0.125207,0.078206,0.125208,0.707353
84.5000,0.146059,0.001414,0.145730,0.001871,0.540331
85.0000,0.173611,0.000332,0.164119,0.000426,0.799459
85.5000,0.160822,0.000376,0.162204,0.000591,0.634403
86.0000,0.187632,0.106779,0.179074,0.113742,0.804852
86.5000,0.150345,0.000005,0.148894,0.000026,0.832451
87.0000,0.193834,0.000779,0.212480,0.000528,0.647975
87.5000,0.243119,0.000475,0.222892,0.000873,0.697977
88.0000,0.172079,0.001772,0.160927,0.003224,0.581377
88.5000,0.217585,0.000312,0.214958,0.000425,0.757382
89.0000,0.194830,0.000162,0.181697,0.000651,0.605603
89.5000,0.166368,0.005900,0.154703,0.004756,0.635583
90.0000,0.291274,0.024510,0.280854,0.028982,0.450571
90.5000,0.162671,0.005923,0.160043,0.005048,0.602469
91.0000,0.232024,0.002526,0.215214,0.004789,0.636975
91.5000,0.163172,0.022673,0.165682,0.034220,0.621196
92.0000,0.042037,0.162770,0.030421,0.148780,0.609775
92.5000,0.125913,0.009741,0.125669,0.021952,0.573168
93.0000,0.135438,0.000916,0.134489,0.004261,0.810019
93.5000,0.138851,0.000153,0.141764,0.000584,0.588594
94.0000,0.142513,0.001181,0.142413,0.001357,0.617996
94.5000,0.160644,0.000255,0.179287,0.001061,0.786888
95.0000,0.132194,0.004245,0.129463,0.008462,0.539732
95.5000,0.151962,0.121565,0.097234,0.133994,0.417133
96.0000,0.147989,0.000101,0.150243,0.000137,0.687217
96.5000,0.174410,0.010005,0.176828,0.038100,0.589122
97.0000,0.227124,0.000087,0.261614,0.000249,0.710772
97.5000,0.134578,0.000055,0.134480,0.000145,0.613428
98.0000,0.195517,0.000327,0.158977,0.000670,0.446193
98.5000,0.125255,0.000048,0.125319,0.000085,0.625500
99.0000,0.193700,0.000274,0.178047,0.000458,0.216039
99.5000,0.265073,0.014255,0.313566,0.025437,0.740463
100.0000,0.003724,0.148672,0.003867,0.152194,0.590980
100.5000,0.130505,0.000116,0.130680,0.000228,0.682138
101.0000,0.226582,0.000438,0.283520,0.001112,0.565723
101.5000,0.144995,0.000066,0.155943,0.000313,0.779327
102.0000,0.130511,0.120215,0.129516,0.120114,0.643003
102.5000,0.047861,0.138702,0.041878,0.138110,0.378172
103.0000,0.129080,0.001454,0.128995,0.002851,0.525218
103.5000,0.329396,0.005212,0.338592,0.020372,0.645846
104.0000,0.125868,0.000003,0.125874,0.000005,0.572423
104.5000,0.006227,0.125005,0.006185,0.125011,0.647510
