[2026-07-26T04:42:42.817Z] Arrancando: 1130 jobs (D=20, Aprima=30, Bprima=1080), 14 workers.
[2026-07-26T10:39:50.076Z] progreso: 355/1130 (D=20/20 A'=30/30 B'=305/1080) último job 325.1s
[2026-07-26T10:42:26.364Z] progreso: 360/1130 (D=20/20 A'=30/30 B'=310/1080) último job 322.5s
[2026-07-26T10:43:05.879Z] progreso: 365/1130 (D=20/20 A'=30/30 B'=315/1080) último job 321.1s
[2026-07-26T10:45:14.061Z] progreso: 370/1130 (D=20/20 A'=30/30 B'=320/1080) último job 319.9s
[2026-07-26T10:48:01.290Z] progreso: 375/1130 (D=20/20 A'=30/30 B'=325/1080) último job 315.1s
[2026-07-26T10:48:48.641Z] progreso: 380/1130 (D=20/20 A'=30/30 B'=330/1080) último job 317.6s
[2026-07-26T10:51:37.144Z] progreso: 385/1130 (D=20/20 A'=30/30 B'=335/1080) último job 319.1s
[2026-07-26T10:53:34.985Z] progreso: 390/1130 (D=20/20 A'=30/30 B'=340/1080) último job 318.1s
[2026-07-26T10:54:10.719Z] progreso: 395/1130 (D=20/20 A'=30/30 B'=345/1080) último job 321.3s
[2026-07-26T10:57:02.813Z] progreso: 400/1130 (D=20/20 A'=30/30 B'=350/1080) último job 322.1s
[2026-07-26T10:58:54.800Z] progreso: 405/1130 (D=20/20 A'=30/30 B'=355/1080) último job 319.1s
[2026-07-26T10:59:35.528Z] progreso: 410/1130 (D=20/20 A'=30/30 B'=360/1080) último job 320.8s
[2026-07-26T11:05:26.690Z] progreso: 415/1130 (D=20/20 A'=30/30 B'=365/1080) último job 450.4s
[2026-07-26T11:06:27.455Z] progreso: 420/1130 (D=20/20 A'=30/30 B'=370/1080) último job 448.3s
[2026-07-26T11:10:58.553Z] progreso: 425/1130 (D=20/20 A'=30/30 B'=375/1080) último job 448.6s
[2026-07-26T11:13:20.514Z] progreso: 430/1130 (D=20/20 A'=30/30 B'=380/1080) último job 445.4s
[2026-07-26T11:13:57.141Z] progreso: 435/1130 (D=20/20 A'=30/30 B'=385/1080) último job 444.8s
[2026-07-26T11:18:27.308Z] progreso: 440/1130 (D=20/20 A'=30/30 B'=390/1080) último job 446.9s
[2026-07-26T11:20:55.589Z] progreso: 445/1130 (D=20/20 A'=30/30 B'=395/1080) último job 444.8s
[2026-07-26T11:21:49.576Z] progreso: 450/1130 (D=20/20 A'=30/30 B'=400/1080) último job 447.5s
[2026-07-26T11:26:47.827Z] progreso: 455/1130 (D=20/20 A'=30/30 B'=405/1080) último job 441.1s
[2026-07-26T11:28:15.616Z] progreso: 460/1130 (D=20/20 A'=30/30 B'=410/1080) último job 432.4s
[2026-07-26T11:29:09.947Z] progreso: 465/1130 (D=20/20 A'=30/30 B'=415/1080) último job 433.6s
[2026-07-26T11:33:54.367Z] progreso: 470/1130 (D=20/20 A'=30/30 B'=420/1080) último job 426.5s
[2026-07-26T11:35:23.055Z] progreso: 475/1130 (D=20/20 A'=30/30 B'=425/1080) último job 420.6s
[2026-07-26T11:36:13.924Z] progreso: 480/1130 (D=20/20 A'=30/30 B'=430/1080) último job 424.0s
[2026-07-26T11:41:38.255Z] progreso: 485/1130 (D=20/20 A'=30/30 B'=435/1080) último job 421.6s
[2026-07-26T11:42:35.628Z] progreso: 490/1130 (D=20/20 A'=30/30 B'=440/1080) último job 422.1s
[2026-07-26T11:47:09.595Z] progreso: 495/1130 (D=20/20 A'=30/30 B'=445/1080) último job 427.6s
[2026-07-26T11:49:14.999Z] progreso: 500/1130 (D=20/20 A'=30/30 B'=450/1080) último job 425.3s
[2026-07-26T11:51:33.666Z] progreso: 505/1130 (D=20/20 A'=30/30 B'=455/1080) último job 531.4s
[2026-07-26T11:56:01.654Z] progreso: 510/1130 (D=20/20 A'=30/30 B'=460/1080) último job 531.6s
[2026-07-26T11:59:45.365Z] progreso: 515/1130 (D=20/20 A'=30/30 B'=465/1080) último job 524.5s
[2026-07-26T12:00:48.721Z] progreso: 520/1130 (D=20/20 A'=30/30 B'=470/1080) último job 529.8s
[2026-07-26T12:05:42.894Z] progreso: 525/1130 (D=20/20 A'=30/30 B'=475/1080) último job 530.9s
[2026-07-26T12:08:38.024Z] progreso: 530/1130 (D=20/20 A'=30/30 B'=480/1080) último job 529.9s
[2026-07-26T12:09:45.934Z] progreso: 535/1130 (D=20/20 A'=30/30 B'=485/1080) último job 529.9s
[2026-07-26T12:14:31.334Z] progreso: 540/1130 (D=20/20 A'=30/30 B'=490/1080) último job 525.0s
[2026-07-26T12:17:23.659Z] progreso: 545/1130 (D=20/20 A'=30/30 B'=495/1080) último job 516.6s
[2026-07-26T12:18:33.086Z] progreso: 550/1130 (D=20/20 A'=30/30 B'=500/1080) último job 521.0s
[2026-07-26T12:23:40.313Z] progreso: 555/1130 (D=20/20 A'=30/30 B'=505/1080) último job 517.9s
[2026-07-26T12:26:21.458Z] progreso: 560/1130 (D=20/20 A'=30/30 B'=510/1080) último job 518.7s
[2026-07-26T12:31:03.399Z] progreso: 565/1130 (D=20/20 A'=30/30 B'=515/1080) último job 520.9s
[2026-07-26T12:32:57.399Z] progreso: 570/1130 (D=20/20 A'=30/30 B'=520/1080) último job 521.6s
[2026-07-26T12:35:11.545Z] progreso: 575/1130 (D=20/20 A'=30/30 B'=525/1080) último job 521.5s
[2026-07-26T12:39:48.413Z] progreso: 580/1130 (D=20/20 A'=30/30 B'=530/1080) último job 524.5s
[2026-07-26T12:40:58.926Z] progreso: 585/1130 (D=20/20 A'=30/30 B'=535/1080) último job 518.9s
[2026-07-26T12:43:38.677Z] progreso: 590/1130 (D=20/20 A'=30/30 B'=540/1080) último job 516.4s
[2026-07-26T12:45:18.099Z] progreso: 595/1130 (D=20/20 A'=30/30 B'=545/1080) último job 289.0s
[2026-07-26T12:46:25.281Z] progreso: 600/1130 (D=20/20 A'=30/30 B'=550/1080) último job 289.2s
[2026-07-26T12:48:37.883Z] progreso: 605/1130 (D=20/20 A'=30/30 B'=555/1080) último job 288.3s
[2026-07-26T12:50:13.872Z] progreso: 610/1130 (D=20/20 A'=30/30 B'=560/1080) último job 288.8s
[2026-07-26T12:52:27.400Z] progreso: 615/1130 (D=20/20 A'=30/30 B'=565/1080) último job 286.3s
[2026-07-26T12:53:53.560Z] progreso: 620/1130 (D=20/20 A'=30/30 B'=570/1080) último job 288.2s
[2026-07-26T12:55:04.646Z] progreso: 625/1130 (D=20/20 A'=30/30 B'=575/1080) último job 288.9s
[2026-07-26T12:57:28.348Z] progreso: 630/1130 (D=20/20 A'=30/30 B'=580/1080) último job 287.5s
[2026-07-26T12:59:08.558Z] progreso: 635/1130 (D=20/20 A'=30/30 B'=585/1080) último job 290.5s
[2026-07-26T13:00:04.232Z] progreso: 640/1130 (D=20/20 A'=30/30 B'=590/1080) último job 290.1s
[2026-07-26T13:02:23.359Z] progreso: 645/1130 (D=20/20 A'=30/30 B'=595/1080) último job 287.0s
[2026-07-26T13:03:58.414Z] progreso: 650/1130 (D=20/20 A'=30/30 B'=600/1080) último job 289.6s
[2026-07-26T13:05:00.706Z] progreso: 655/1130 (D=20/20 A'=30/30 B'=605/1080) último job 288.6s
[2026-07-26T13:07:41.037Z] progreso: 660/1130 (D=20/20 A'=30/30 B'=610/1080) último job 289.5s
[2026-07-26T13:09:23.525Z] progreso: 665/1130 (D=20/20 A'=30/30 B'=615/1080) último job 289.5s
[2026-07-26T13:10:29.820Z] progreso: 670/1130 (D=20/20 A'=30/30 B'=620/1080) último job 290.2s
[2026-07-26T13:12:40.400Z] progreso: 675/1130 (D=20/20 A'=30/30 B'=625/1080) último job 288.0s
[2026-07-26T13:14:18.169Z] progreso: 680/1130 (D=20/20 A'=30/30 B'=630/1080) último job 288.9s
[2026-07-26T13:18:22.434Z] progreso: 685/1130 (D=20/20 A'=30/30 B'=635/1080) último job 410.2s
[2026-07-26T13:20:02.213Z] progreso: 690/1130 (D=20/20 A'=30/30 B'=640/1080) último job 414.1s
[2026-07-26T13:23:25.903Z] progreso: 695/1130 (D=20/20 A'=30/30 B'=645/1080) último job 417.7s
[2026-07-26T13:25:36.042Z] progreso: 700/1130 (D=20/20 A'=30/30 B'=650/1080) último job 414.1s
[2026-07-26T13:27:32.776Z] progreso: 705/1130 (D=20/20 A'=30/30 B'=655/1080) último job 416.3s
[2026-07-26T13:30:31.711Z] progreso: 710/1130 (D=20/20 A'=30/30 B'=660/1080) último job 416.4s
[2026-07-26T13:32:38.482Z] progreso: 715/1130 (D=20/20 A'=30/30 B'=665/1080) último job 413.7s
[2026-07-26T13:34:30.898Z] progreso: 720/1130 (D=20/20 A'=30/30 B'=670/1080) último job 417.6s
[2026-07-26T13:37:26.998Z] progreso: 725/1130 (D=20/20 A'=30/30 B'=675/1080) último job 415.3s
[2026-07-26T13:40:05.757Z] progreso: 730/1130 (D=20/20 A'=30/30 B'=680/1080) último job 413.5s
[2026-07-26T13:41:53.725Z] progreso: 735/1130 (D=20/20 A'=30/30 B'=685/1080) último job 413.9s
[2026-07-26T13:45:04.795Z] progreso: 740/1130 (D=20/20 A'=30/30 B'=690/1080) último job 414.6s
[2026-07-26T13:47:14.049Z] progreso: 745/1130 (D=20/20 A'=30/30 B'=695/1080) último job 414.7s
[2026-07-26T13:48:52.931Z] progreso: 750/1130 (D=20/20 A'=30/30 B'=700/1080) último job 416.7s
[2026-07-26T13:52:40.616Z] progreso: 755/1130 (D=20/20 A'=30/30 B'=705/1080) último job 410.8s
[2026-07-26T13:54:35.263Z] progreso: 760/1130 (D=20/20 A'=30/30 B'=710/1080) último job 413.5s
[2026-07-26T13:58:04.024Z] progreso: 765/1130 (D=20/20 A'=30/30 B'=715/1080) último job 414.3s
[2026-07-26T13:59:58.939Z] progreso: 770/1130 (D=20/20 A'=30/30 B'=720/1080) último job 412.2s
[2026-07-26T14:03:59.227Z] progreso: 775/1130 (D=20/20 A'=30/30 B'=725/1080) último job 520.9s
[2026-07-26T14:06:46.689Z] progreso: 780/1130 (D=20/20 A'=30/30 B'=730/1080) último job 519.4s
[2026-07-26T14:10:31.078Z] progreso: 785/1130 (D=20/20 A'=30/30 B'=735/1080) último job 521.0s
[2026-07-26T14:12:46.994Z] progreso: 790/1130 (D=20/20 A'=30/30 B'=740/1080) último job 525.7s
[2026-07-26T14:15:37.329Z] progreso: 795/1130 (D=20/20 A'=30/30 B'=745/1080) último job 523.1s
[2026-07-26T14:19:47.081Z] progreso: 800/1130 (D=20/20 A'=30/30 B'=750/1080) último job 515.5s
[2026-07-26T14:21:44.740Z] progreso: 805/1130 (D=20/20 A'=30/30 B'=755/1080) último job 517.3s
[2026-07-26T14:24:53.214Z] progreso: 810/1130 (D=20/20 A'=30/30 B'=760/1080) último job 518.1s
[2026-07-26T14:28:46.928Z] progreso: 815/1130 (D=20/20 A'=30/30 B'=765/1080) último job 520.2s
[2026-07-26T14:30:32.546Z] progreso: 820/1130 (D=20/20 A'=30/30 B'=770/1080) último job 526.5s
[2026-07-26T14:34:03.127Z] progreso: 825/1130 (D=20/20 A'=30/30 B'=775/1080) último job 526.3s
[2026-07-26T14:38:04.546Z] progreso: 830/1130 (D=20/20 A'=30/30 B'=780/1080) último job 529.2s
[2026-07-26T14:41:38.504Z] progreso: 835/1130 (D=20/20 A'=30/30 B'=785/1080) último job 523.5s
[2026-07-26T14:43:22.354Z] progreso: 840/1130 (D=20/20 A'=30/30 B'=790/1080) último job 522.1s
[2026-07-26T14:47:52.086Z] progreso: 845/1130 (D=20/20 A'=30/30 B'=795/1080) último job 531.1s
[2026-07-26T14:50:35.743Z] progreso: 850/1130 (D=20/20 A'=30/30 B'=800/1080) último job 531.0s
[2026-07-26T14:53:02.613Z] progreso: 855/1130 (D=20/20 A'=30/30 B'=805/1080) último job 298.1s
[2026-07-26T14:55:24.835Z] progreso: 860/1130 (D=20/20 A'=30/30 B'=810/1080) último job 296.9s
[2026-07-26T14:56:24.908Z] progreso: 865/1130 (D=20/20 A'=30/30 B'=815/1080) último job 295.8s
[2026-07-26T14:58:08.883Z] progreso: 870/1130 (D=20/20 A'=30/30 B'=820/1080) último job 301.3s
[2026-07-26T15:00:38.903Z] progreso: 875/1130 (D=20/20 A'=30/30 B'=825/1080) último job 304.8s
