beta,t_optima,exponente_ptc,potencia_base,semilla,r_real,percentil_r_real_en_nula,media_nula,desviacion_nula
0.8,25,4.1,0.3,5,0.22241849886761064,96.3,-0.0031504690270341943,0.12721158010198977
0.8,25,4.1,0.3,6,0.23215490449499382,95.3,-0.0053893975156061305,0.13499087269988433
0.8,25,4.1,0.3,7,0.3405104638218041,99.7,0.003350428692579561,0.13016940633907106
0.8,25,4.1,0.3,8,0.25896322966736973,97.3,0.0036424954703270077,0.13037432561619952
0.8,25,4.1,0.3,9,0.23032771584001005,96.4,0.007418688564466542,0.13085224028717793
0.8,25,4.1,0.3,10,0.24878326777727408,98.4,-0.00833307412718758,0.12775631474245483
0.8,25,4.1,0.47,1,0.2821240828531997,99.1,-0.0004657971063467848,0.12434324769064335
0.8,25,4.1,0.47,2,0.23484378751229448,96.4,-0.0009657332247029944,0.13404203350310495
0.8,25,4.1,0.47,3,0.18723184992053343,92,-0.003840331309209898,0.131935229262805
0.8,25,4.1,0.47,4,0.18793513452501956,91.9,0.0009560519869128654,0.13067571841501055
0.8,25,4.1,0.47,6,0.25401445153201063,98,-0.005538475823785346,0.1296152280489078
0.8,25,4.1,0.47,5,0.24883168802052852,97.5,0.0029549615345391593,0.1282801171569488
0.8,25,4.1,0.47,7,0.333584744665948,99.6,0.0004388978614525447,0.1275673596673635
0.8,25,4.1,0.47,8,0.2742406778516851,98.5,-0.0015434351189363323,0.1323890177762615
0.8,25,4.1,0.47,9,0.2595698593030896,97.7,0.0030595527016866906,0.12578207443238562
0.8,25,4.1,0.47,10,0.2614474635844071,98.3,0.0004726582371199032,0.12877374663710575
0.8,25,4.1,0.65,1,0.29554383538395945,98.6,0.008920511337742945,0.12782122650968858
0.8,25,4.1,0.65,2,0.17307805415284727,90.9,-0.000443113331557644,0.12987305941028612
0.8,25,4.1,0.65,3,0.20920325586890826,94.4,0.0016923380073888515,0.1273534042748523
0.8,25,4.1,0.65,4,0.23177237878007734,95.6,0.005006950690125552,0.13117066689656148
0.8,25,4.1,0.65,5,0.26893384437990736,98.5,-0.00021956617392438345,0.12678303134431343
0.8,25,4.1,0.65,6,0.28351228384740257,98.4,-0.003186596798410128,0.13210967534921
0.8,25,4.1,0.65,8,0.2901111404824437,98.6,0.0003305266294494123,0.13172336938535087
0.8,25,4.1,0.65,7,0.3575045406066343,100,-0.003457549495830312,0.12620315228623652
0.8,25,4.1,0.65,9,0.25185077368336256,97.4,-0.003545786818714729,0.12947626256468653
0.8,25,4.1,0.65,10,0.28931895910952105,98.6,0.0012976821981230382,0.13232046250372081
0.8,25,6,0.3,1,-0.3757937456689194,0.2,-0.007461208744502159,0.13095560923696056
0.8,25,6,0.3,2,-0.3741253177616102,0.5,0.007673785430599969,0.1372152386767432
0.8,25,6,0.3,3,-0.38147768336677007,0.4,-0.002461422016516059,0.12947358470579945
0.8,25,6,0.3,4,-0.36880251775775447,0.1,-0.001971012450190199,0.12948755459029557
0.8,25,6,0.3,5,-0.3953152506138874,0,0.008550571398576947,0.12716867697917528
0.8,25,6,0.3,6,-0.38243298714695706,0.2,0.00473431257402287,0.1274113882895831
0.8,25,6,0.3,7,-0.32141197490752754,1,-0.0014766417933767542,0.1280025450841122
0.8,25,6,0.3,8,-0.35459637428676327,0.5,0.0014877881306861328,0.13308635544271635
0.8,25,6,0.3,9,-0.4179492357470277,0,-0.0025961359160859812,0.13661530432361566
0.8,25,6,0.3,10,-0.38560186926500634,0,-0.005292775070665382,0.13115291013238745
0.8,25,6,0.47,1,-0.3705057010613056,0.4,-0.0038487724354112937,0.13294612716812299
0.8,25,6,0.47,2,-0.36421685432018636,0.3,-0.0015921043143568474,0.13218226340171013
0.8,25,6,0.47,3,-0.3789441309849202,0.2,0.0006844091741135965,0.1293802819512893
0.8,25,6,0.47,4,-0.3635679718338598,0.2,-0.0007830237069073034,0.12978283521973236
0.8,25,6,0.47,5,-0.40485485053737114,0.1,-0.0008053891310533857,0.1292397384935932
0.8,25,6,0.47,6,-0.4027559955640024,0.1,0.00015270624027299362,0.1310168973635603
0.8,25,6,0.47,7,-0.31618143697248774,0.8,-0.004668553239090915,0.12829380309143193
0.8,25,6,0.47,8,-0.3514324342764842,0.2,-0.0030667664461418616,0.13152518666184787
0.8,25,6,0.47,9,-0.4353416331668622,0.1,-0.0014275672438800351,0.13451563838913308
0.8,25,6,0.47,10,-0.37736144199659877,0.2,-0.007963543835879043,0.12810679042539924
0.8,25,6,0.65,1,-0.3666026460737173,0.2,0.0047900439324732175,0.13038523723683304
0.8,25,6,0.65,2,-0.3435767932684516,0.8,-0.002113271757454724,0.13534464559610218
0.8,25,6,0.65,3,-0.34940420124202565,0.2,-0.004094905715936412,0.1322994907397797
0.8,25,6,0.65,4,-0.3572967972477548,0.2,0.001184096868211608,0.1314075950243998
0.8,25,6,0.65,5,-0.3850789926780946,0.1,0.0003249119333962421,0.1296437016050603
