ventana,delta_struct,acoplamiento,error,lf,icr,irde,modo,plan,j,mezcla_nada,mezcla_preservar,mezcla_contexto,S_zona_voz,S_perturbacion,S_no_intervenir,S_contexto,V_nada,V_preservar,V_contexto,C_nada,C_preservar,C_contexto
29,0.0003589342977500194,0.02168118009320785,0.9783188199067921,0.3358634273679079,0.00047007357023411237,0.9571077133838184,NO_SE,PRESERVAR,0.8003795141051862,0.19508730888058606,0.8049116911194807,0.0,0.007972109632253725,3.4049109874209493e-09,0.0216733979740567,0.999999996595089,0.8049999999999999,0.6007590282103724,0.706433840779235,0.9891633010129717,1.0,1.0
30,2.410077865194647e-05,0.019553458423873467,0.9804465415761265,0.34325732581899365,0.0003823377363341481,0.9612754208885872,NO_SE,PRESERVAR,0.8014885988728491,0.18215891801641268,0.8178400819836537,0.0,0.007684610515674967,2.18622892737118e-09,0.019552987170300115,0.999999997813771,0.7999999999999999,0.6029771977456981,0.7058086854456631,0.9902235064148499,1.0,1.0
31,0.0001641306531145809,0.01764137494714901,0.982358625052851,0.3501362203640509,0.0003112181100258968,0.9650284682157279,NO_SE,PRESERVAR,0.8025204330546076,0.17013741074934194,0.8298615892507241,0.0,0.007654807373849132,1.7033095952074436e-09,0.017638479456757096,0.9999999982966904,0.7949999999999999,0.6050408661092153,0.7052457286604895,0.9911807602716215,1.0,1.0
32,0.00010921405234553036,0.01592594572024547,0.9840740542797546,0.3565276919020336,0.00025363574708420417,0.9684017443065934,NO_SE,PRESERVAR,0.803479153785305,0.15895275537443276,0.8410462446256332,0.0,0.009025959633166814,1.0011656295466723e-09,0.015924206383175928,0.9999999989988344,0.7899999999999999,0.6069583075706101,0.7047397377032533,0.992037896808412,1.0,1.0
33,5.292625229451094e-06,0.014389601810350155,0.9856103981896498,0.3624589006266293,0.0002070606402604332,0.97142785701956,NO_SE,PRESERVAR,0.8043688350939944,0.14854107885336776,0.8514579211466978,0.0,0.01041875768265797,3.70810692733674e-09,0.014389525651580573,0.9999999962918931,0.7849999999999999,0.6087376701879889,0.7042858190367965,0.9928052371742098,1.0,1.0
34,0.0001280997473042305,0.012993744929534182,0.9870062550704658,0.3679589337606618,0.0001688374072937955,0.9741813475482254,NO_SE,PRESERVAR,0.8051938400640992,0.138844064160903,0.8611549358391625,0.0,0.008466224884356102,6.004542654199628e-09,0.012992080434092173,0.9999999939954574,0.7799999999999999,0.6103876801281986,0.7038727939648135,0.9935039597829539,1.0,1.0
35,0.0002803488403113433,0.011743574422442404,0.9882564255775576,0.3730536045679285,0.00013791154021544397,0.9766507626953306,NO_SE,PRESERVAR,0.8059580406851893,0.1298083817246951,0.8701906182753701,0.0,0.008536826525747308,3.899830395625618e-09,0.011740282124971961,0.9999999961001697,0.7749999999999999,0.6119160813703786,0.7035023830608107,0.994129858937514,1.0,1.0
36,8.191887819616178e-05,0.010613684386024606,0.9893863156139754,0.3777691921064741,0.0001126502962461426,0.978885281524197,NO_SE,PRESERVAR,0.8066653788159711,0.12138520760983064,0.8786137923902343,0.0,0.007480137192784005,1.1167047061064854e-09,0.010612814924906174,0.9999999988832953,0.77,0.6133307576319422,0.7031672070455123,0.994693592537547,1.0,1.0
37,0.00019034109453752458,0.0096042952182483,0.9903957047817517,0.38212945811996907,9.224248663926764e-05,0.9808836520501426,NO_SE,PRESERVAR,0.8073194187179953,0.11352977819828694,0.8864692218017778,0.0,0.0094298468453897,1.6135202280095175e-09,0.009602467126184197,0.9999999983864798,0.7649999999999999,0.6146388374359907,0.7028674511436904,0.9951987664369079,1.0,1.0
38,0.00021099871625178485,0.008707171992113922,0.9912928280078861,0.38615682545046354,7.581484410025297e-05,0.9826614708598724,NO_SE,PRESERVAR,0.8079235238175695,0.10620100103647297,0.8937979989635917,0.0,0.012611097528638177,6.775352224341257e-09,0.008705334790001403,0.9999999932246477,0.76,0.6158470476351391,0.7026007749670401,0.9956473326049993,1.0,1.0
39,1.2859687479080936e-05,0.007905437688506538,0.9920945623114935,0.38987346908858334,6.249594504685921e-05,0.9842516205680338,NO_SE,PRESERVAR,0.8084810203632875,0.09936111266198137,0.9006378873380831,0.0,0.01379656790839667,8.981347204861376e-09,0.007905336027048479,0.9999999910186528,0.7549999999999999,0.616962040726575,0.7023622510769192,0.9960473319864758,1.0,1.0
40,7.451284711592719e-05,0.007166263093516991,0.992833736906483,0.3933031334798032,5.135532672550362e-05,0.9857188291396916,NO_SE,PRESERVAR,0.8089954700219705,0.09297537915192713,0.9070236208481371,0.0,0.009960353638331917,7.440922002885527e-10,0.007165729114850711,0.9999999992559078,0.75,0.617990940043941,0.7021421751453862,0.9964171354425746,1.0,1.0
41,0.0002762599417453084,0.006504534958701783,0.9934954650412983,0.39646555257880234,4.23089750289733e-05,0.9870332390576255,NO_SE,PRESERVAR,0.8094698328868204,0.08701180464157837,0.9129871953584857,0.0,0.009462958659793429,2.6078534223929162e-09,0.006502738016253012,0.9999999973921466,0.745,0.6189396657736407,0.7019450124462514,0.9967486309918735,1.0,1.0
42,0.00017234195047448867,0.0059095751262029355,0.9940904248737971,0.3993797369193464,3.492307817223645e-05,0.9882157728257663,NO_SE,PRESERVAR,0.8099069605379019,0.08144088512187522,0.9185581148781887,0.0,0.010296877668390967,2.6543995514620303e-09,0.005908556658499211,0.9999999973456004,0.74,0.6198139210758039,0.7017676323507753,0.9970457216707503,1.0,1.0
43,1.2386472279953597e-05,0.005366393012168187,0.9946336069878318,0.40206452707383156,2.8798173961047808e-05,0.9892960121496246,NO_SE,PRESERVAR,0.8103096790610748,0.0762353890777914,0.9237636109222727,0.0,0.008906327397731159,1.3110871274213907e-09,0.005366326541489898,0.9999999986889129,0.735,0.6206193581221495,0.7016055973253497,0.9973168367292551,1.0,1.0
44,0.0003209146935761463,0.004880211218874815,0.9951197887811252,0.404536311066878,2.381646154083168e-05,0.9902633940237912,NO_SE,PRESERVAR,0.8106804466600317,0.07137015271963544,0.9286288472804284,0.0,0.010913048433883054,4.613422771680562e-09,0.004878645087386923,0.9999999953865772,0.73,0.6213608933200635,0.7014604878977065,0.9975606774563065,1.0,1.0
