ciclo,grad_f2,grad_f13,busc_f2,busc_f13,geom_f2,geom_f13,coh_f2,coh_f13,dA_f2,dA_f13,mejor_ef,c28,c21,c29,c30
11,0.5301690371742267,-0.5301690371742267,0.014103840712009659,-0.01400620955486537,0.40010171886680035,0.35329370236010005,-0.000578571367544875,0.000572917315556205,-1.9589463316445968e-05,-5.5988356320581696e-05,0.8503345182349793,1,1,1,0
12,0.5301690371742267,-0.5301690371742267,0.014103877159528095,-0.014619688319679951,0.39934868942831453,0.4276183984380193,-0.000578484115835045,0.0005902761154491578,-1.8336156470927956e-05,4.210117310076322e-06,0.8503345182349793,1,1,1,0
13,0.5301690371742267,-0.5301690371742267,0.014107108952538127,-0.014130917858044111,0.3884223877649587,0.36705918765326856,-0.0005984561868552781,0.000578691510776421,-2.1121892476622634e-05,-4.693416812814103e-05,0.8503345182349793,1,1,1,0
14,0.5301690371742267,-0.5301690371742267,0.014104475668459578,-0.013964155063304886,0.3965650817797746,0.34928793350859927,-0.0005821722665818177,0.0005708900516675635,-1.7544098176097795e-05,-4.8021850926259325e-05,0.8503345182349793,1,1,1,0
15,0.5301690371742267,-0.5301690371742267,0.014103758977743835,-0.01399684082054684,0.39931720346207655,0.35688178929245074,-0.0005810613500829045,0.000570170176239216,-1.83432682447163e-05,-5.1301113881690965e-05,0.8503345182349793,1,1,1,0
16,0.5301690371742267,-0.5301690371742267,0.014103860822135408,-0.013991983808224773,0.3989972576715066,0.36122123108412524,-0.0005787200513814103,0.0005679267756918189,-1.9072334318149766e-05,-5.30449843324154e-05,0.8503345182349793,1,1,1,0
17,0.5301690371742267,-0.5301690371742267,0.014103854960036844,-0.013998123565794884,0.39854773527156107,0.3617812765829493,-0.0005772730783351113,0.0005690863789915945,-1.937184003277524e-05,-5.375465772732069e-05,0.8503345182349793,1,1,1,0
18,0.5301690371742267,-0.5301690371742267,0.014103857750686401,-0.013986776083141698,0.3989290789686855,0.3544643801083613,-0.0005792793193318607,0.000567864443468971,-2.097931971998722e-05,-4.571710477277349e-05,0.8547756581421129,1,1,1,0
19,0.5301690371742267,-0.5301690371742267,0.014103825642190409,-0.013992561376030676,0.3999702902190675,0.35234131072300895,-0.000576187002396624,0.0005728994789006718,-1.869712182779068e-05,-5.6130269204771166e-05,0.8547756581421129,1,1,1,0
20,0.5301690371742267,-0.5301690371742267,0.014103843291600667,-0.013997390704086567,0.39998098729084797,0.35368298304172513,-0.0005791383753126905,0.0005683276128009581,-2.1630978910025564e-05,-5.3620259953698526e-05,0.8547756581421129,1,1,1,0
21,0.5301690371742267,-0.5301690371742267,0.01410385248242117,-0.013992318033397002,0.39869023866920417,0.34643579064878505,-0.0005784924638129159,0.0005686288705461406,-1.939007578399081e-05,-5.2310444266356964e-05,0.8547756581421129,1,1,1,0
22,0.5301690371742267,-0.5301690371742267,0.014103840712009659,-0.01400620955486537,0.3998305254328781,0.3534477077141581,-0.0005787509152189772,0.0005739129895132718,-1.950368973567794e-05,-5.584257012385419e-05,0.8547756581421129,1,1,1,0
23,0.5301690371742267,-0.5301690371742267,0.014103877159528095,-0.014619688319679951,0.3992344537974403,0.42763315791914713,-0.0005786153657978283,0.0005911868914297149,-1.8118182503316023e-05,4.1990042373524665e-06,0.8547756581421129,1,1,1,0
24,0.5301690371742267,-0.5301690371742267,0.014107108952538127,-0.014130917858044111,0.38819759801015985,0.3673021418167863,-0.0005986854167250253,0.000578442195664361,-2.112880299270749e-05,-4.5282446273199545e-05,0.8547756581421129,1,1,1,0
25,0.5301690371742267,-0.5301690371742267,0.014104475668459578,-0.013964155063304886,0.39619784473655784,0.3493991159256977,-0.0005827587924492299,0.0005708005718443889,-1.694859074790879e-05,-4.8132377439172655e-05,0.8547756581421129,1,1,1,0
26,0.5301690371742267,-0.5301690371742267,0.014103758977743835,-0.01399684082054684,0.39910920822593504,0.35716332483167973,-0.0005811188074369613,0.0005705818022048976,-1.8163397625312385e-05,-5.058906310441256e-05,0.8547756581421129,1,1,1,0
27,0.5301690371742267,-0.5301690371742267,0.014103860822135408,-0.013991983808224773,0.398725582040677,0.3614556460589279,-0.0005789644626682472,0.0005685918761213293,-1.861801707246788e-05,-5.307461181714731e-05,0.8547756581421129,1,1,1,0
28,0.5301690371742267,-0.5301690371742267,0.014103854960036844,-0.013998123565794884,0.39845811621422766,0.36186785256933546,-0.0005775387818388373,0.0005709705323566867,-1.8893836728139185e-05,-5.4446433083344774e-05,0.8547756581421129,1,1,1,0
29,0.5301690371742267,-0.5301690371742267,0.014103857750686401,-0.013986776083141698,0.3987233422152433,0.35434176777702725,-0.000579480121663702,0.0005671453623881446,-2.0538112213197622e-05,-4.558762490951719e-05,0.871774488134944,1,1,1,0
30,0.5301690371742267,-0.5301690371742267,0.014103825642190409,-0.013992561376030676,0.3999304181939602,0.3524513155177437,-0.0005761862065939665,0.000572690372066119,-1.8773534350713398e-05,-5.6031794905837076e-05,0.871774488134944,1,1,1,0
31,0.5301690371742267,-0.5301690371742267,0.014103843291600667,-0.013997390704086567,0.3998816597719076,0.35349711940948997,-0.0005792080431185442,0.0005682831122804725,-2.1525397568588942e-05,-5.3269647639517205e-05,0.875472906377885,1,1,1,0
32,0.5301690371742267,-0.5301690371742267,0.01410385248242117,-0.013992318033397002,0.3986755412402773,0.3462669579101896,-0.0005783879734799145,0.0005682361457225323,-1.939247382827154e-05,-5.206584004938509e-05,0.8763027586556698,1,1,1,0
33,0.5301690371742267,-0.5301690371742267,0.014103840712009659,-0.01400620955486537,0.3999504869517408,0.35329802171698954,-0.00057856636088066,0.0005729171367942038,-1.9609054734016058e-05,-5.597030182753461e-05,0.8763027586556698,1,1,1,0
34,0.5301690371742267,-0.5301690371742267,0.014103877159528095,-0.014619688319679951,0.39937309369075075,0.42771827884935015,-0.0005784824654037009,0.0005902668961286477,-1.8370826458742925e-05,4.212044443106067e-06,0.8763027586556698,1,1,1,0
35,0.5301690371742267,-0.5301690371742267,0.014107108952538127,-0.014130917858044111,0.3883904181533314,0.3669933419929039,-0.000598425982982709,0.0005787290975583565,-2.1066754471546004e-05,-4.6913935375102775e-05,0.8763027586556698,1,1,1,0
36,0.5301690371742267,-0.5301690371742267,0.014104475668459578,-0.013964155063304886,0.3964847129343392,0.34920200963762615,-0.0005821860090597837,0.0005709297790395034,-1.7564295968643673e-05,-4.800309191259418e-05,0.8763027586556698,1,1,1,0
37,0.5301690371742267,-0.5301690371742267,0.014103758977743835,-0.01399684082054684,0.39934083294340733,0.3569229682445019,-0.0005810647494068138,0.0005701490466144352,-1.8359870048575854e-05,-5.160508058288445e-05,0.8763027586556698,1,1,1,0
38,0.5301690371742267,-0.5301690371742267,0.014103860822135408,-0.013991983808224773,0.39894177839861333,0.36114166337630954,-0.0005787327392906539,0.0005679717120770424,-1.903143274599263e-05,-5.306992947452293e-05,0.8763027586556698,1,1,1,0
39,0.5301690371742267,-0.5301690371742267,0.014103854960036844,-0.013998123565794884,0.39861082774883333,0.3617195730744029,-0.0005772682822070659,0.0005691458433625042,-1.9387777771280187e-05,-5.3782559511346164e-05,0.8898480625614441,1,1,1,0
40,0.5301690371742267,-0.5301690371742267,0.014103857750686401,-0.013986776083141698,0.39879394918834177,0.3543804340119094,-0.0005793045083119544,0.0005667702563369715,-2.094977084242486e-05,-4.542374737199586e-05,0.8898480625614441,1,1,1,0
41,0.5301690371742267,-0.5301690371742267,0.014103825642190409,-0.013992561376030676,0.3999096002166592,0.352636706066114,-0.0005762436362514405,0.0005723127348452793,-1.8892954563165448e-05,-5.6018050607366826e-05,0.8898480625614441,1,1,1,0
42,0.5301690371742267,-0.5301690371742267,0.014103843291600667,-0.013997390704086567,0.39994791071240654,0.35367985453091194,-0.0005791268698576002,0.0005680731059019348,-2.140792224867287e-05,-5.3455123729280594e-05,0.8898480625614441,1,1,1,0
43,0.5301690371742267,-0.5301690371742267,0.01410385248242117,-0.013992318033397002,0.39890717221592137,0.34640437510486644,-0.0005783254639797784,0.0005682328642932246,-1.944344982936276e-05,-5.201597786891157e-05,0.8898480625614441,1,1,1,0
44,0.5301690371742267,-0.5301690371742267,0.014103840712009659,-0.01400620955486537,0.3999954995236594,0.35325750134304335,-0.0005785741540187588,0.0005730459645112857,-1.9586739993703763e-05,-5.5968400390572805e-05,0.8898480625614441,1,1,1,0
45,0.5301690371742267,-0.5301690371742267,0.014103877159528095,-0.014619688319679951,0.39925628778308747,0.42770700818395696,-0.0005785926520368661,0.0005902667394567715,-1.8329913824971857e-05,4.23389801986963e-06,0.8898480625614441,1,1,1,0
46,0.5301690371742267,-0.5301690371742267,0.014107108952538127,-0.014130917858044111,0.38841846169022753,0.3670691529630973,-0.0005984132676677392,0.0005787398001140622,-2.1078361281807524e-05,-4.6958898328823926e-05,0.8898480625614441,1,1,1,0
47,0.5301690371742267,-0.5301690371742267,0.014104475668459578,-0.013964155063304886,0.39640984766758486,0.34927454158300136,-0.0005822194451604889,0.0005709635580028934,-1.7526227704806038e-05,-4.80226242436668e-05,0.8898480625614441,1,1,1,0
48,0.5301690371742267,-0.5301690371742267,0.014103758977743835,-0.01399684082054684,0.3991771146591725,0.3571873139476314,-0.0005811010725862609,0.0005705221757610262,-1.8357510064719127e-05,-5.035940421200648e-05,0.8953837633600945,1,1,1,0
49,0.5301690371742267,-0.5301690371742267,0.014103860822135408,-0.013991983808224773,0.3984730033165697,0.36131957991165176,-0.0005788981452042747,0.000568622043198368,-1.8482754328614278e-05,-5.270383953558772e-05,0.8953837633600945,1,1,1,0
50,0.5301690371742267,-0.5301690371742267,0.014103854960036844,-0.013998123565794884,0.3982676669145039,0.3616714727747635,-0.0005774731877409674,0.000571100690204736,-1.8835460210661776e-05,-5.413037549190216e-05,0.8953837633600945,1,1,1,0
51,0.5301690371742267,-0.5301690371742267,0.014103857750686401,-0.013986776083141698,0.39862895527526016,0.3542766126363118,-0.0005793964012963494,0.0005679224722248505,-2.090783842389425e-05,-4.5677161457258014e-05,0.8953837633600945,1,1,1,0
52,0.5301690371742267,-0.5301690371742267,0.014103825642190409,-0.013992561376030676,0.39989767702970674,0.3522047590212177,-0.0005761754134991404,0.0005728850931057737,-1.8633445696210003e-05,-5.608371951897967e-05,0.8953837633600945,1,1,1,0
53,0.5301690371742267,-0.5301690371742267,0.014103843291600667,-0.013997390704086567,0.39977078529359666,0.3536358628555819,-0.0005791303812153356,0.0005682758678174944,-2.2250059130181022e-05,-5.324437153754996e-05,0.8953837633600945,1,1,1,0
54,0.5301690371742267,-0.5301690371742267,0.01410385248242117,-0.013992318033397002,0.3986327434712742,0.3463404459244217,-0.0005784328220028304,0.0005685993459838207,-1.9367685848310764e-05,-5.226709307045799e-05,0.8953837633600945,1,1,1,0
55,0.5301690371742267,-0.5301690371742267,0.014103840712009659,-0.01400620955486537,0.3997891645638784,0.35325308731993654,-0.0005787309929064563,0.0005739421371725046,-1.9428473558360997e-05,-5.573805362715621e-05,0.8953837633600945,1,1,1,0
56,0.5301690371742267,-0.5301690371742267,0.014103877159528095,-0.014619688319679951,0.39900280406929983,0.4275363689976118,-0.000578559066396315,0.0005911016750597493,-1.8029136719831335e-05,4.165964868330884e-06,0.8953837633600945,1,1,1,0
57,0.5301690371742267,-0.5301690371742267,0.014107108952538127,-0.014130917858044111,0.38791034655505957,0.3673220048665278,-0.0005986164562503898,0.0005782419482560006,-2.099922638617531e-05,-4.4988690756977886e-05,0.8953837633600945,1,1,1,0
58,0.5301690371742267,-0.5301690371742267,0.014104475668459578,-0.013964155063304886,0.39615632616341134,0.34918359188893644,-0.0005827381837700886,0.0005707582435716027,-1.7214908152386132e-05,-4.8126862541674464e-05,0.8953837633600945,1,1,1,0
59,0.5301690371742267,-0.5301690371742267,0.014103758977743835,-0.01399684082054684,0.398947251258961,0.35719571058900046,-0.0005810935021752188,0.0005705444017646655,-1.8068924778740335e-05,-5.036373468487172e-05,0.8953837633600945,1,1,1,0
60,0.5301690371742267,-0.5301690371742267,0.014103860822135408,-0.013991983808224773,0.3984957831389164,0.3613968005676652,-0.0005789375112577221,0.0005686126254973334,-1.847282500971753e-05,-5.269071976778933e-05,0.8953837633600945,1,1,1,0
61,0.5301690371742267,-0.5301690371742267,0.014103854960036844,-0.013998123565794884,0.3982318894077729,0.3616182193650412,-0.0005774968204788713,0.0005710768209228039,-1.8852115205246447e-05,-5.407883696226316e-05,0.8953837633600945,1,1,1,0
62,0.5301690371742267,-0.5301690371742267,0.014103857750686401,-0.013986776083141698,0.3986410231648504,0.3544577687397372,-0.0005794248909382446,0.0005678883158602919,-2.085832524223019e-05,-4.567271771207159e-05,0.8953837633600945,1,1,1,0
63,0.5301690371742267,-0.5301690371742267,0.014103825642190409,-0.013992561376030676,0.3997131879759703,0.35229579887335594,-0.000576146635976244,0.0005728419913530403,-1.8619794334880467e-05,-5.602644521441324e-05,0.8953837633600945,1,1,1,0
64,0.5301690371742267,-0.5301690371742267,0.014103843291600667,-0.013997390704086567,0.39967632329120933,0.3536502865281649,-0.0005790790237956244,0.0005682575264657134,-2.2082413221760398e-05,-5.320353233541455e-05,0.8953837633600945,1,1,1,0
65,0.5301690371742267,-0.5301690371742267,0.01410385248242117,-0.013992318033397002,0.39861315921780954,0.34635234430504647,-0.0005784302751654815,0.000568602788398077,-1.936372320708685e-05,-5.227776275735023e-05,0.8953837633600945,1,1,1,0
66,0.5301690371742267,-0.5301690371742267,0.014103840712009659,-0.01400620955486537,0.3996964685147247,0.35320350554757507,-0.0005787203688214327,0.0005739407285059203,-1.9431283424452674e-05,-5.5760206917634924e-05,0.8953837633600945,1,1,1,0
67,0.5301690371742267,-0.5301690371742267,0.014103877159528095,-0.014619688319679951,0.39924291752980673,0.42752757382260054,-0.0005785506899918141,0.0005910550722018554,-1.8065599320502725e-05,4.162783388344152e-06,0.8953837633600945,1,1,1,0
68,0.5301690371742267,-0.5301690371742267,0.014107108952538127,-0.014130917858044111,0.3880141984943117,0.36734003506532614,-0.000598635259679012,0.0005782160153890815,-2.101680464397633e-05,-4.501651140998953e-05,0.8953837633600945,1,1,1,0
69,0.5301690371742267,-0.5301690371742267,0.014104475668459578,-0.013964155063304886,0.39597334495182634,0.3493116860399217,-0.0005827581988469384,0.0005707618872617448,-1.7196028232577418e-05,-4.8141259628377206e-05,0.8953837633600945,1,1,1,0
70,0.5301690371742267,-0.5301690371742267,0.014103758977743835,-0.01399684082054684,0.39897282221858604,0.35721094396822656,-0.0005810868505988434,0.0005705716055332924,-1.8041325992299726e-05,-5.037680103054448e-05,0.8953837633600945,1,1,1,0
71,0.5301690371742267,-0.5301690371742267,0.014103860822135408,-0.013991983808224773,0.39850942251834975,0.361242430708969,-0.0005788848182190822,0.0005686101057190215,-1.8478785104573626e-05,-5.271739357195769e-05,0.8953837633600945,1,1,1,0
72,0.5301690371742267,-0.5301690371742267,0.014103854960036844,-0.013998123565794884,0.3982485142395566,0.361788927810726,-0.0005774933158210809,0.0005710583659169181,-1.8849954290833233e-05,-5.4119045055957644e-05,0.8953837633600945,1,1,1,0
73,0.5301690371742267,-0.5301690371742267,0.014103857750686401,-0.013986776083141698,0.39850327215988046,0.35434831815436363,-0.0005793646157705815,0.0005678960961503015,-2.0869508591992868e-05,-4.56163000082422e-05,0.8953837633600945,1,1,1,0
74,0.5301690371742267,-0.5301690371742267,0.014103825642190409,-0.013992561376030676,0.3998028794427489,0.352249751497657,-0.0005761772315469044,0.0005728597526335215,-1.860865667031475e-05,-5.6049219783946297e-05,0.8953837633600945,1,1,1,0
75,0.5301690371742267,-0.5301690371742267,0.014103843291600667,-0.013997390704086567,0.3996271218470074,0.35363236106143653,-0.0005791364290587573,0.0005682793306611821,-2.229166799278928e-05,-5.326080891177872e-05,0.8953837633600945,1,1,1,0
76,0.5301690371742267,-0.5301690371742267,0.01410385248242117,-0.013992318033397002,0.39860291928450214,0.34635252834657754,-0.0005784092661611305,0.000568637405453585,-1.937034958696861e-05,-5.230976361403196e-05,0.8953837633600945,1,1,1,0
77,0.5301690371742267,-0.5301690371742267,0.014103840712009659,-0.01400620955486537,0.39974446874443414,0.3531945584589264,-0.0005787671725518457,0.0005739370225601844,-1.9445793608808062e-05,-5.574112420051925e-05,0.8953837633600945,1,1,1,0
78,0.5301690371742267,-0.5301690371742267,0.014103877159528095,-0.014619688319679951,0.39917963442634014,0.42752362319525594,-0.0005785759057480007,0.0005911527467757501,-1.8046391500243065e-05,4.152879986636566e-06,0.8953837633600945,1,1,1,0
79,0.5301690371742267,-0.5301690371742267,0.014107108952538127,-0.014130917858044111,0.38804301704699723,0.36733416059723933,-0.0005986771879843318,0.0005782613717022641,-2.1007478319169243e-05,-4.4983808901347413e-05,0.8953837633600945,1,1,1,0
80,0.5301690371742267,-0.5301690371742267,0.014104475668459578,-0.013964155063304886,0.39605912486276346,0.3492836916308191,-0.0005827629455616048,0.000570733299681435,-1.7217455201220228e-05,-4.8094494171941924e-05,0.8953837633600945,1,1,1,0
81,0.5301690371742267,-0.5301690371742267,0.014103758977743835,-0.01399684082054684,0.39897887165402734,0.35715752179934374,-0.0005810911697168277,0.0005705667908909259,-1.8071519354114385e-05,-5.0391847725433815e-05,0.8953837633600945,1,1,1,0
82,0.5301690371742267,-0.5301690371742267,0.014103860822135408,-0.013991983808224773,0.39858749647147274,0.3613045780776864,-0.0005789276198288625,0.0005686087006471699,-1.8483914080555692e-05,-5.2995769794690425e-05,0.8953837633600945,1,1,1,0
83,0.5301690371742267,-0.5301690371742267,0.014103854960036844,-0.013998123565794884,0.39826285540087075,0.36175759706016936,-0.0005775010160215548,0.0005710521082837575,-1.883026854889125e-05,-5.4086145340727914e-05,0.8953837633600945,1,1,1,0
