fase,t,ged_L,ged_R,asim_LR,coh_rel,err_L,err_R,geom,frac_L,frac_R,efic,lf
F7,17.75,0.00012171823321627102,0.00012174027118612765,2.204293754076849e-08,-0.008765116925632744,0.16941746044107503,0.16647333831485858,0.4578893879564947,0.7877418632945106,0.8087354280260418,0.16396008208986773,1
F7,17.76,0.00012192502707495207,0.0001219469158291432,2.1897279905869044e-08,-0.008360426798811953,0.16924882644534178,0.1664423053104511,0.4578168718124412,0.7877484871154333,0.8087624686199638,0.16413416451430896,1
F7,17.77,0.00012213299414977222,0.00012215473340393334,2.175126713721348e-08,-0.007888380821309163,0.16959156185731686,0.16693689721416383,0.45775347670239286,0.7877624407227756,0.8087791050493808,0.1643116591326566,1
F7,17.78,0.00012234213646189097,0.00012236372588023378,2.1604866969211144e-08,-0.007419284182789947,0.16955407464544703,0.16705666391633642,0.457698773095544,0.7877825116232078,0.8088112435144701,0.16449129248290043,1
F7,17.79,0.0001225524550645423,0.00012257389427354154,2.1457963065588687e-08,-0.007060845421146151,0.1700643203205084,0.16767956296796477,0.457637698725612,0.7878099591719223,0.8088265782376958,0.16467445511788265,1
F7,17.8,0.00012276395165391538,0.00012278524016908252,2.1310467735605313e-08,-0.006698041825397696,0.17046127717479556,0.16819295694961245,0.457583966753166,0.7878345572622695,0.8088271809703454,0.16485480698293462,1
F7,17.81,0.0001229766267917678,0.00012299776404559403,2.1162368955882388e-08,-0.0063232201767085576,0.17070503499768994,0.16855978881785966,0.4575352091534658,0.7878567424655502,0.8088566857924947,0.16503630003684078,1
F7,17.82,0.00012319047949047504,0.00012321146491250592,2.101375342397846e-08,-0.006063468704898718,0.17056325316418663,0.16850730941860712,0.45747881551862746,0.7878770594217759,0.8088701798545697,0.16522105259524586,1
F7,17.83,0.00012340551025428082,0.00012342634335926674,2.0864666857311865e-08,-0.005763161513712423,0.17058693792090082,0.1686319645966118,0.45743443328770866,0.787900100596006,0.8089152370814982,0.165407017993657,1
F7,17.84,0.00012362172034365915,0.00012364240069200703,2.0715100700199924e-08,-0.006032627594237932,0.1707368961615799,0.1686892645377357,0.45736677436112855,0.7879212503175826,0.8089385828716359,0.16559407874914336,1
F7,17.85,0.00012383911052525742,0.00012385963765781078,2.0565004407991694e-08,-0.005738429128584326,0.17111482988882087,0.16916217441496278,0.457294887730202,0.787946608936843,0.8089634821615275,0.165785265341876,1
