fase,t,ged_L,ged_R,frac_L,frac_R,sesgo_freq,asimetria_LR,G_actividad,senal_mant,eficiencia,error_rec
Fase 4,15.77,0.00044859879088646236,0.0004485983730677805,0.7805924524808594,0.7994245078608557,0.023837788900599396,3.047001648130522e-10,0.4625392374828597,0.0,0.2417262829145762,0.003636972488250616
Fase 4,15.780000000000001,0.00045147132578941,0.0004514709034455465,0.7804421547182849,0.7995055507225528,0.02413167972410683,3.07120773266261e-10,0.4625414235071391,0.0,0.24253986164435856,0.0036317314178467273
Fase 4,15.790000000000001,0.00045435950272590023,0.0004543590760193975,0.7802917470997842,0.799586597691269,0.02442574221629295,3.094843505168982e-10,0.4625430741639914,0.0,0.24335627810872176,0.0036265899680868914
Fase 4,15.8,0.0004572630970453816,0.00045726266613908936,0.780141234885708,0.7996676459889318,0.024719966243528527,3.117907462110784e-10,0.46254418987184237,0.0,0.24413180446196753,0.003621547779891805
Fase 4,15.81,0.000460181883801207,0.0004601814488582618,0.7799906233327278,0.7997486928409724,0.02501434167771527,3.1403981653299965e-10,0.4625447710637254,0.0,0.24485709140897532,0.0036166044908313797
Fase 4,15.82,0.00046311563776377837,0.0004631151989475825,0.7798399176936605,0.7998297354764262,0.025308858396627457,3.162314242478379e-10,0.46254481818726234,0.0,0.24558868629813588,0.003611759735160028
Fase 4,15.83,0.0004660641334336556,0.00046606369090785633,0.7796891232172907,0.7999107711280287,0.025603506284253195,3.1836543867653807e-10,0.4625443317046446,0.0,0.2463264285265807,0.003607013143852077
Fase 4,15.84,0.0004690271450546277,0.00046902669898309676,0.779538245148196,0.7999917970323138,0.025898275231134058,3.204417357042996e-10,0.46254331209261323,0.0,0.24707066562092692,0.003602364344637331
Fase 4,15.85,0.0004720044466267508,0.00047200399717356326,0.7793872887265708,0.8000728104297102,0.026193155134706173,3.2246019779145915e-10,0.4625417598424392,0.0,0.24781586137964087,0.003597812962036749
Fase 4,15.860000000000001,0.00047499581191934645,0.0004749953592487601,0.7792362591880518,0.8001538085646384,0.02648813589963875,3.24420713966575e-10,0.46253967545990265,0.0,0.24856597030209035,0.003593358617398259
Fase 4,15.870000000000001,0.00047800101448396804,0.0004780005587604026,0.7790851617635429,0.8002347886856052,0.02678320743817307,3.263231798319352e-10,0.4625370594652719,0.0,0.24932347093081406,0.0035890009289327057
