fase,angulo,t,ged_L,ged_R,grad_E,act_busc,coh_rel,geom,frac_L,frac_R,efic,lf
F12,60.0,0.72,0.0010009311864293286,0.0010009634189509032,0.1759093524356662,0.030678368699841307,4.0182205128295745e-06,0.36995844518602405,1.0,0.4927010676323793,0.5636709453080957,0
F12,60.0,0.73,0.001002017106037844,0.001002049288138081,-0.12694495483016605,0.0304945095831457,-1.7203607305468607e-06,0.37189325452922795,1.0,0.4917847200621295,0.56390864799496,0
F12,60.0,0.74,0.0010031132030635334,0.0010031453379985374,0.17764741932493228,0.03165881961846273,2.580259229876342e-07,0.37446681689507,1.0,0.4885437029520978,0.5641573108189228,0
F12,60.0,0.75,0.001004219411480762,0.0010042515026302537,-0.857844295291368,0.03135785783423484,-2.109453781319172e-06,0.37558377294588324,1.0,0.49182243428905564,0.5644024375669864,0
F12,60.0,0.76,0.0010053356625060463,0.001005367713754891,0.018434937622728995,0.031943890140246345,9.725413267606159e-08,0.37591748341676967,1.0,0.4879731765518378,0.5646399269782618,0
F12,60.0,0.77,0.0010064618944122916,0.0010064939095473376,-0.8509884112586313,0.03163905638028752,-1.4115359786213098e-05,0.3770207411842305,1.0,0.4903464717395551,0.5648769663122576,0
F12,60.0,0.78,0.0010075980397182861,0.0010076300228471858,0.008845408630880597,0.032150684278915986,4.186420959728285e-08,0.3770902425721113,1.0,0.4866021358216254,0.5651314125058807,0
F12,60.0,0.79,0.0010087440340544988,0.0010087759884017309,0.013746143063612378,0.032694794895364865,4.48372418694202e-08,0.37816229391165834,1.0,0.484702173638038,0.5653898575823283,0
F12,60.0,0.8,0.0010098998088399317,0.001009931737968474,0.7629966694634172,0.03388246284036267,1.5593357019750733e-06,0.379586145157686,1.0,0.4800768100412969,0.5656485871806319,0
F12,60.0,0.81,0.001011065297530655,0.0010110972053156899,-0.06131349609362336,0.033903175506841965,-8.234238443054923e-07,0.38007463045271406,1.0,0.48291302267511405,0.5658935792246634,0
F12,60.0,0.82,0.0010122404251791477,0.0010122723155500937,-0.08861057508220338,0.03380016720599499,-1.0988693264938215e-07,0.3804596982280765,1.0,0.4825378960969118,0.5661377858589546,0
F12,60.0,0.83,0.0010134251227073912,0.0010134569994442084,-0.8407082248528506,0.033478515138876785,-2.0025284051303227e-06,0.38156508597127625,1.0,0.4858763523663822,0.5663713036783505,0
F12,60.0,0.84,0.0010146193142291052,0.0010146511810666867,0.28215650829480166,0.0346518925842344,4.029734467488733e-06,0.3807263158958303,1.0,0.48095701438778754,0.5666080377133696,0
F12,60.0,0.85,0.0010158229295017095,0.001015854790009789,-0.34421249774021356,0.03432495518415535,-4.885008421660008e-07,0.3807617794964491,1.0,0.4828909857723344,0.5668475325805773,0
F12,60.0,0.86,0.0010170358818065398,0.0010170677397657217,0.5685741468767004,0.03549679800023209,1.424224744071941e-06,0.3807968225137536,1.0,0.47828225061419144,0.5670596785304015,0
F12,60.0,0.87,0.0010182580969973836,0.001018289956121539,0.3821943767392943,0.03666075077711861,5.608196116488731e-07,0.3807970779778823,1.0,0.47901411789495973,0.5672567641885928,0
F12,60.0,0.88,0.0010194894994503502,0.0010195213633305952,0.6369438046170276,0.037818240743474174,2.4921846345262688e-06,0.3807970779778823,1.0,0.47766302142171435,0.5674515196375257,0
F12,60.0,0.89,0.001020730012924843,0.0010214664793137037,-2.1143080330193337e-05,0.03821842378061713,-2.415198595960756e-09,0.3807970779778823,1.0,0.48059953793629956,0.5678480425205275,0
F12,60.0,0.9,0.0010226860803588262,0.0010227171788744671,-0.6742339241338432,0.037865410756949824,-1.2424413367169973e-06,0.38113424860869727,1.0,0.483813087694888,0.5682574858878601,0
F12,60.0,0.91,0.001023945754005781,0.0010239768402411401,-0.8486158205958532,0.0375128144514707,-3.47932730407258e-06,0.3823195026482701,1.0,0.4846759316855363,0.5684801680217214,0
F12,60.0,0.92,0.0010252124597979447,0.001025243537127362,-0.49536163556957796,0.037160718922119806,-7.341095307585438e-07,0.38180664873607834,1.0,0.4836903261454817,0.5687167364344676,0
F12,60.0,0.93,0.0010264846262989173,0.001026515698476139,-0.00540113753104737,0.03751849554850417,-2.7913447160188356e-08,0.3807970779778823,1.0,0.4804257935868902,0.5689545498586499,0
F12,60.0,0.94,0.001027762661625222,0.0010277937320035259,0.6027204327559182,0.03866357289793787,9.797732570901372e-07,0.3807970779778823,1.0,0.4770362175295298,0.5692029698982559,0
F12,60.0,0.95,0.0010290469149444508,0.0010290779865766303,-0.2874684634721703,0.03830633436113973,-1.6779233539240062e-06,0.3807970779778823,1.0,0.48122092514659853,0.5694400781535169,0
F12,60.0,0.96,0.001030337687438944,0.0010303687629953792,-0.13963325542751195,0.03803134912579276,-2.1436273186590032e-07,0.3807970779778823,1.0,0.4803621245180809,0.5696617979484208,0
F12,60.0,0.97,0.0010316352352448496,0.001031666317165281,0.41642016332700665,0.03916941394959561,2.029565542488646e-06,0.3807970779778823,1.0,0.47753679614655214,0.56989619710878,0
F12,60.0,0.98,0.0010329397738330346,0.001032970864448777,-0.6855640100446801,0.038800782374928455,-1.5652058057457855e-06,0.3812901486025689,1.0,0.48281697853265926,0.5701461420777199,0
F12,60.0,0.99,0.001034251481406862,0.0010342825829417516,0.883136132517813,0.03993259617837519,2.5430400827109334e-06,0.3807970779778823,1.0,0.47524181238238683,0.5703980227458295,0
F12,60.0,1.0,0.0010355705072622467,0.0010356016218731022,-0.20668383357670786,0.0395810210644596,-3.2266190842908634e-07,0.3807970779778823,1.0,0.4801769740839495,0.5706518404500175,0
F12,60.0,1.01,0.0010368969666030995,0.0010369280963161093,-0.9576334635426632,0.03920617056998443,-4.98641862974629e-06,0.38251035557233065,1.0,0.48380783935707133,0.570907742388298,0
F12,60.0,1.02,0.001038230949915484,0.0010382620966572565,0.5830749977602201,0.04033177889924422,9.711261199287901e-07,0.3807970779778823,1.0,0.4775856733456149,0.5711594166860281,0
F12,60.0,1.03,0.001039572526635026,0.0010396036922929522,0.8776112694148968,0.04145034383462365,2.2697974726690108e-06,0.3807970779778823,1.0,0.47459558320259937,0.5714234872204752,0
F12,60.0,1.04,0.001040921741584268,0.0010409529279727667,0.8610113194551253,0.04256186212154944,9.22000644195065e-06,0.3807970779778823,1.0,0.47454919102935084,0.5716859199263851,0
F12,60.0,1.05,0.0010422786223083721,0.001042309831147577,-0.51836726113813,0.04216642680560012,-7.909436433053825e-07,0.3807970779778823,1.0,0.4810895154305917,0.5719414659454225,0
F12,60.0,1.06,0.0010436431785481332,0.001043674412054697,0.9731674874949439,0.04327145287744061,8.599675334081453e-06,0.3807970779778823,1.0,0.4737795929836878,0.5722024794025814,0
F12,60.0,1.07,0.0010450154066806066,0.0010450466671078726,7.710696053569039e-05,0.04362005626338106,-3.078875692333726e-09,0.3807970779778823,1.0,0.4782883113931939,0.5724638819580979,0
F12,60.0,1.08,0.001046395287768705,0.0010464265773875926,0.5360193681519878,0.044714804207169334,3.219689280339758e-06,0.3807970779778823,1.0,0.47559028620094473,0.5726977302044993,0
F12,60.0,1.09,0.0010477827923467955,0.0010478141134059537,0.07942979157705231,0.04554821939735687,9.086570946806813e-08,0.3807970779778823,1.0,0.4776585995335257,0.5729266122749298,0
F12,60.0,1.1,0.0010491778789083856,0.0010492092335160552,-0.8839436440000339,0.045130331205414986,-2.381834770889446e-06,0.3822422798634458,1.0,0.4823084835006838,0.5731658119622811,0
F12,60.0,1.11,0.0010505804960901188,0.0010506118862536405,0.26409099354866683,0.04620541294217306,1.9289429819385437e-06,0.3807970779778823,1.0,0.477730686579361,0.5734162344297126,0
F12,60.0,1.12,0.0010519905864100703,0.001052022014103618,-0.7084913299170279,0.045781184569750555,-1.941533940488961e-06,0.38149190588302995,1.0,0.4811817932993156,0.5736747638346115,0
F12,60.0,1.13,0.0010534080808325377,0.0010534395479440235,-0.045373775366311604,0.04578883036791381,-6.241778820675648e-08,0.3807970779778823,1.0,0.4781588987441201,0.5739328885457693,0
F12,60.0,1.14,0.0010551968020337216,0.0010549606921697113,0.013289626250387437,0.046212722427257935,6.432938513166009e-08,0.3807970779778823,1.0,0.4773802771002351,0.5743208996756423,0
F12,60.0,1.15,0.0010566456162784882,0.0010566769914194815,-0.869872935774201,0.04578388700160796,-2.6734212084175025e-06,0.38220919907876,1.0,0.48163590558263214,0.5746754225311901,0
F12,60.0,1.16,0.001058101144822289,0.0010581325477124236,-0.292183617770288,0.04536002319755328,-3.7097699109264724e-07,0.38089325700320614,1.0,0.4798387088949105,0.5749652648090998,0
F12,60.0,1.17,0.0010595632895237519,0.001059594720666748,0.1499399584840899,0.046361193697701863,3.1722169317543453e-07,0.3807970779778823,1.0,0.47639891758438674,0.5752682954678672,0
F12,60.0,1.18,0.001061031949560973,0.0010610634094002354,0.0006492410650922524,0.04668191120713994,8.174175710156303e-09,0.3807970779778823,1.0,0.47697431937937596,0.5755865902783973,0
F12,60.0,1.19,0.0010625070229117672,0.0010625385118262058,-0.7509750945470547,0.04624463138556223,-1.4091623614421143e-06,0.38171532803160685,1.0,0.4805686169041196,0.5759186007453998,0
F12,60.0,1.2,0.0010639884076513945,0.0010640199259325093,0.20207464850325327,0.047282087139439155,2.902668024428421e-07,0.3807970779778823,1.0,0.47639797471944195,0.5762486321969181,0
F12,60.0,1.21,0.0010654760027154514,0.0010655075506183721,0.1236535601322102,0.04822203576661832,2.5110520918310233e-07,0.3807970779778823,1.0,0.47603607197975706,0.5765768525256496,0
F12,60.0,1.22,0.0010669697033342332,0.0010670012810705951,-0.5303900096016942,0.04777241520327602,-7.836411385836024e-07,0.3807970779778823,1.0,0.4791234897557328,0.5769111668387575,0
F12,60.0,1.23,0.001068469405486725,0.0010685010131907926,-0.7992572312404292,0.047323459725112094,-3.9041940990285625e-06,0.3819467305979285,1.0,0.48035352048358027,0.5772603988269613,0
F12,60.0,1.24,0.001069975004745592,0.0010700066424809808,-0.056962465118541715,0.04723889327442721,-1.1875610467316835e-07,0.3807970779778823,1.0,0.47747113363750004,0.5776231264921708,0
F12,60.0,1.25,0.0010714863975284138,0.001071518065314685,0.6325095271133198,0.04828949060059973,2.3677256680539866e-06,0.3807970779778823,1.0,0.47316511405747436,0.5779674236057611,0
F12,60.0,1.26,0.0010730034769226757,0.0010730351747759547,-0.2290910203999473,0.047848483384343554,-5.552305434544425e-07,0.3807970779778823,1.0,0.47719027328338903,0.5783072492712319,0
F12,60.0,1.27,0.0010745261364274161,0.0010745578642646068,0.8950143530970246,0.0488929033751937,3.285382372559172e-06,0.3807970779778823,1.0,0.47171890728452626,0.5786618749030529,0
F12,60.0,1.28,0.0010760542692435909,0.0010760860269830453,-0.07318920070976034,0.04871236168405413,-2.2547390026513593e-07,0.3807970779778823,1.0,0.47621078844249054,0.5790312294861452,0
