fase,t,ged_L,ged_R,alpha_L,alpha_R,G_actividad,G_varianza,asimetria_LR,perm_nivel,senal_mant,eficiencia,ventaja,error_rec
Fase 2,14.23,0.0006958564853474825,0.0006958799785907522,0.03441218153888723,0.03798076559483237,0.46320673454800043,0.0003499007300520773,2.3493243269759617e-08,0.4478920516632447,0.012447499893167692,0.2700719688463689,1.0,0.0018392330451938645
Fase 2,14.24,0.0006968429537522173,0.0006968658890156367,0.034434221271468356,0.037960381311693894,0.4632815372652415,0.0003475169467998603,2.2935263419243898e-08,0.447924814090628,0.01175387750834625,0.27017797487090456,1.0,0.0016959792226411805
Fase 2,14.25,0.0006978349083271341,0.0006978572927417366,0.03445633146235942,0.037939909242171985,0.4633560992461382,0.00034514367683613994,2.2384414602292594e-08,0.4479572207139658,0.0110034395710562,0.27028832976336215,1.0,0.001562463572801038
Fase 2,14.26,0.0006988322225983759,0.0006988540632743678,0.03447851297111732,0.03791934806458098,0.46343041906150617,0.00034278106417094613,2.1840675991960565e-08,0.4479892773666546,0.011164415603740156,0.27040306560418603,1.0,0.001603079978540598
Fase 2,14.27,0.0006998347698743842,0.0006998560739014452,0.03450076501012444,0.03789869885820829,0.46350449316329845,0.0003404293650426141,2.1304027061266004e-08,0.4480209818753748,0.011363923832052075,0.2705235697137096,1.0,0.0016229859195204927
Fase 2,14.280000000000001,0.0007008424232643204,0.000700863197714294,0.034523083532856644,0.03787796556091211,0.46357831877187633,0.0003380886909173833,2.077444997358766e-08,0.4480523347765553,0.01112773470920746,0.27064820560058606,1.0,0.0016798825812419076
Fase 2,14.290000000000001,0.000701855055684929,0.0007018753076126888,0.03454546490740623,0.03785715183142154,0.4636518954990974,0.00033575916754173286,2.0251927759578607e-08,0.4480833451321247,0.010086044420254962,0.27077717451450095,1.0,0.001814285247400806
Fase 2,14.3,0.0007028725398698092,0.0007028922763124452,0.034567906253118424,0.03783626100348781,0.46372522332611543,0.0003334410067378055,1.9736442635990355e-08,0.4481140234433636,0.009406257589351786,0.2709098646259945,1.0,0.0019093579137732853
Fase 2,14.31,0.0007038947483892062,0.000703913976366118,0.03459040663546156,0.03781529453670662,0.4637983081546122,0.000331134243528081,1.9227976911735853e-08,0.4481443951597815,0.008869863223251638,0.271047820651257,1.0,0.0021849642123444478
Fase 2,14.32,0.0007049215536642951,0.0007049402801766468,0.03461296615594593,0.03779425360204314,0.4638711563917918,0.00032883896482577794,1.8726512351539534e-08,0.44817449048830627,0.008206654211288208,0.27118962539201136,1.0,0.002525124728536105
Fase 2,14.33,0.0007059528279726221,0.0007059710600024181,0.034635584156373835,0.037773140368041476,0.46394377123749314,0.00032655513551726345,1.8232029796084776e-08,0.448204328243806,0.0070633399011262,0.27133618415402055,1.0,0.0027673055879182716
Fase 2,14.34,0.0007069884434523731,0.0007070061879593336,0.03465826124943127,0.037751955162759025,0.46401615636844457,0.00032428283742233136,1.774450696039587e-08,0.448233931043805,0.0061261715697051265,0.27148788908716964,1.0,0.0030615307117279377
Fase 2,14.35,0.0007080282721302418,0.0007080455360521218,0.034680998103194006,0.03773069844899624,0.4640883127374715,0.0003220217726285768,1.726392187989232e-08,0.44826331104407396,0.006369853559674513,0.2716400893993646,1.0,0.0031836005489481334
Fase 2,14.36,0.0007090721859297944,0.0007090889761801478,0.03470379734500595,0.03770936820719775,0.4641602380731896,0.00031977214622345274,1.6790250353336754e-08,0.44829246797302963,0.005824643564365482,0.2717948634673738,1.0,0.003306948779041405
Fase 2,14.370000000000001,0.000710120056659721,0.0007101363801238736,0.034726654192742845,0.03768796920590864,0.46423193865596657,0.00031753417508032666,1.6323464152568225e-08,0.4483214328481283,0.005836326606516291,0.27195160853235184,1.0,0.003855186938634333
Fase 2,14.38,0.0007111717560582483,0.0007111876195951294,0.03474956814984548,0.03766650349256095,0.46430341812216674,0.0003153079846892504,1.5863536881331846e-08,0.4483502269361918,0.005773759761055534,0.2721139293675047,1.0,0.00428796558739254
Fase 2,14.39,0.0007122271558079072,0.0007122425662532848,0.03477253758504563,0.03764497376176397,0.4643746748610819,0.00031309365956162474,1.541044537746637e-08,0.44837885029423086,0.006067218432407935,0.272278709020359,1.0,0.0043997210831201086
Fase 2,14.4,0.0007132861275305609,0.0007133010916959618,0.03479555898299002,0.03762338353172153,0.46444571007280344,0.0003108912556862865,1.4964165400760438e-08,0.44840731241156234,0.006875593354670417,0.27244849258739057,1.0,0.0046770769678162035
Fase 2,14.41,0.0007143485427907936,0.0007143630674605828,0.03481862904941941,0.03760173657115871,0.4645165199313675,0.00030870058868613106,1.4524669789260167e-08,0.4484356079965332,0.00715944456210405,0.2726224607675932,1.0,0.00462914436304899
Fase 2,14.42,0.0007154142731350424,0.0007154283650684879,0.034841746922551826,0.03758003347727484,0.46458710287248745,0.0003065213393970062,1.4091933445388125e-08,0.4484637403478394,0.006672925513761915,0.2728004428729087,1.0,0.004722936313600796
Fase 2,14.43,0.0007164831900883462,0.0007164968560187116,0.03486491275935722,0.03755827425803474,0.46465746373641137,0.0003043530988265728,1.3665930365508e-08,0.44849173582621915,0.006753405466964051,0.2729837498659417,1.0,0.005193155425408023
Fase 2,14.44,0.0007175551651554381,0.0007175684117854041,0.03488812932218146,0.0375364574691295,0.4647276059771802,0.00030219549391366263,1.324662996618139e-08,0.4485196147843918,0.007163471999784026,0.27317107038970595,1.0,0.005543120275150391
Fase 2,14.450000000000001,0.0007186300698571292,0.0007186429038582887,0.034911399038085204,0.037514581701134385,0.4647975248841593,0.00030004865072661276,1.2834001159599074e-08,0.44854736775707393,0.007116956535009196,0.27336264463699117,1.0,0.005489688497961289
Fase 2,14.46,0.0007197077757164969,0.0007197202037276724,0.03493471693003503,0.03749265145781867,0.4648672240728603,0.00029791264829223186,1.2428011175638322e-08,0.4485750154833543,0.006099410749972355,0.2735592632662097,1.0,0.0060211268052665304
Fase 2,14.47,0.0007207881542628439,0.0007208001828875965,0.03495808054710394,0.03747067022706378,0.4649367137167666,0.0002957873560764907,1.2028624752529765e-08,0.44860259835086125,0.006169766709304296,0.27375867845182295,1.0,0.006859665631645187
Fase 2,14.48,0.0007218710770858387,0.0007218827128924292,0.03498149304756672,0.03744863686997635,0.4650059894914422,0.00029367242300302457,1.163580659045793e-08,0.448630104937691,0.00624044982390571,0.2739618392093768,1.0,0.006627408256649238
Fase 2,14.49,0.0007229564158145853,0.000722967665332885,0.03500495507412298,0.03742655017276158,0.4650750455885461,0.0002915675868231516,1.1249518299869623e-08,0.44865751931102127,0.00544775286805739,0.27416973900248076,1.0,0.006267531512448739
Fase 2,14.5,0.0007240440421492372,0.0007240549118696623,0.0350284674018629,0.037404408563688166,0.4651438888937012,0.00028947286691656765,1.0869720425095958e-08,0.448684866319821,0.005715849749650847,0.27437805354267314,1.0,0.0069595945110123925
Fase 2,14.51,0.0007251338278382112,0.0007251443242074605,0.03505202827968444,0.03738221503630662,0.46521252555477133,0.00028738852584780705,1.0496369249193181e-08,0.4487121694347331,0.005705587391029623,0.27458904687638563,1.0,0.007730333598854124
Fase 2,14.52,0.0007262256447022915,0.0007262357741228678,0.03507563377295599,0.03735997469878067,0.46528096387981277,0.00028531510586091505,1.0129420576295018e-08,0.4487394574936649,0.006310794279168738,0.27480177150995266,1.0,0.008728624241123972
Fase 2,14.530000000000001,0.0007273193647007226,0.0007273291335372378,0.03509927900975306,0.03733769386493019,0.4653491997875271,0.00028325255931106014,9.768836515437067e-09,0.4487667142557694,0.006100611769523659,0.2749503061300069,1.0,0.008479371250511436
Fase 2,14.540000000000001,0.0007284148598989301,0.0007284242744776071,0.035122960388049955,0.03731537532473852,0.4654172317232236,0.0002812005261734085,9.414578676806097e-09,0.4487939327620307,0.005904744922703119,0.2750912623601539,1.0,0.00833027420144868
Fase 2,14.55,0.0007295120024558559,0.0007295210690592942,0.03514667857147823,0.037293018066623315,0.46548507026277375,0.0002791589515962133,9.066603438321852e-09,0.44882112125473356,0.006482887748671104,0.27523629906944036,1.0,0.008769066044040319
Fase 2,14.56,0.0007306106646541566,0.0007306193895193119,0.03517043293927289,0.037270623123463784,0.4655527192597958,0.00027712785663634227,8.724865155389291e-09,0.4488482830403896,0.007300424120403486,0.2753859657276793,1.0,0.009048813730729546
Fase 2,14.57,0.0007317107189329024,0.0007317191082519614,0.035194221838132984,0.037248192313886506,0.4656201802402157,0.00027510768884163225,8.389319058934517e-09,0.4488754245021221,0.007632610956866856,0.27554001885462903,1.0,0.00951952648294433
Fase 2,14.58,0.0007328120379106869,0.0007328200978353134,0.03521803869545962,0.037225732529646484,0.46568744905300336,0.00027309859941198223,8.059924626307242e-09,0.44890253493014654,0.008102356943722668,0.2756975994463563,1.0,0.009427296561374355
Fase 2,14.59,0.0007339144943796275,0.000733922231021682,0.035241878166191086,0.03720324858031624,0.4657545148188707,0.00027110048237460345,7.736642054437522e-09,0.448929582769304,0.008164578656522075,0.2758586534239384,1.0,0.008712130818104118
Fase 2,14.6,0.0007350179612805988,0.0007350253807091898,0.035265736205375715,0.03718074293308949,0.4658213762848202,0.0002691130850543549,7.419428591194347e-09,0.44895656325139915,0.008057445087228474,0.2760209841240084,1.0,0.008619746178617625
Fase 2,14.61,0.0007361223117544344,0.0007361294199941837,0.03528961413937407,0.03715821402319589,0.46588803688106245,0.00026713660184949246,7.108239749430229e-09,0.4489834901023327,0.008104187495226966,0.27618739554879695,1.0,0.009175223681727643
Fase 2,14.620000000000001,0.0007372274191458867,0.0007372342221767147,0.0353135083915516,0.03713566611356504,0.4659544933551143,0.000265171224834809,6.803030827966644e-09,0.4490103612949703,0.007169382918191549,0.27635807846942123,1.0,0.009282509151322855
Fase 2,14.63,0.000738333156994903,0.0007383396607505349,0.035337414280889545,0.03711310378385897,0.4660207510582614,0.0002632172150468782,6.503755631760574e-09,0.4490372024602852,0.007406838620098112,0.27653126207751844,1.0,0.010147186195963689
Fase 2,14.64,0.0007394393990626766,0.0007394456094303115,0.0353613284748639,0.037090531648150356,0.4660868092108763,0.0002612749942936416,6.210367634897633e-09,0.4490640206079526,0.007808362387331598,0.27670226334029524,1.0,0.010572292990674144
Fase 2,14.65,0.0007405460193480308,0.000740551942168786,0.035385245806195516,0.037067955224202115,0.46615266464998967,0.00025934483413870576,5.9228207551946085e-09,0.44909081249914423,0.007662749607286856,0.2768736294261779,1.0,0.010679909847170386
Fase 2,14.66,0.0007416528920990562,0.000741658533168458,0.03540916145541254,0.037045379169544666,0.46621831746726883,0.0002574272045504497,5.641069401823485e-09,0.4491175884413281,0.007682387572971209,0.27704714733706376,1.0,0.011200543721718786
Fase 2,14.67,0.0007427598918221808,0.0007427652568903586,0.035433069795440794,0.037022809626625616,0.4662837653696822,0.0002555223183737354,5.365068177921106e-09,0.4491443482105379,0.007994117185931092,0.27722499547285734,1.0,0.011336882213235427
Fase 2,14.68,0.0007438668932901709,0.0007438719880604115,0.03545696738492223,0.037000250025604656,0.46634899970816646,0.00025363019470425795,5.094770240676875e-09,0.44917107168917497,0.007656297277101359,0.27740613409443016,1.0,0.010858183356301928
Fase 2,14.69,0.0007449737715508424,0.0007449786016785128,0.03548085066438958,0.036977702920069175,0.46641401925480386,0.00025175115339404116,4.830127670270565e-09,0.4491977655698632,0.007027288809751234,0.2775907612626383,1.0,0.011245245317442141
Fase 2,14.700000000000001,0.0007460804019458576,0.0007460849730386454,0.03550471481318791,0.03695517346530525,0.46647882183018297,0.00024988546926091245,4.571092787914915e-09,0.44922443328324974,0.007952753208816369,0.2777782388269917,1.0,0.011493033418834418
Fase 2,14.71,0.0007471866601112245,0.0007471909777284836,0.03552855520953464,0.03693266645462785,0.4665433965781578,0.00024803311038745584,4.317617258827905e-09,0.44925104648542624,0.006721639197496729,0.27796778760080487,1.0,0.010740433341402768
Fase 2,14.72,0.0007482924219902745,0.0007482964916408831,0.03555236957161336,0.036910182752657957,0.4666077471595931,0.00024619438167554423,4.069650608598602e-09,0.4492776295954187,0.005688090625048478,0.2781614144898728,1.0,0.011592934220594304
Fase 2,14.73,0.0007493975638537502,0.0007494013909955036,0.035576154465980295,0.036887727013790644,0.4666718741922147,0.00024436922281535333,3.8271417533264926e-09,0.4493041951234169,0.0058079970187267654,0.2783565310146902,1.0,0.011974184404918825
Fase 2,14.74,0.0007505019623027917,0.00075050555234037,0.035599909044580935,0.036865300711589916,0.46673576869937233,0.00024255748049622168,3.590037578203559e-09,0.4493307185081622,0.005029597152316927,0.2785538933388115,1.0,0.01128496567110342
Fase 2,14.75,0.0007516054942850083,0.0007516088525687004,0.03562363086740896,0.03684290505799915,0.46679942980746786,0.00024075893408960697,3.3582836918780137e-09,0.44935720683006974,0.005005945537054992,0.2787540363914816,1.0,0.011478867351233072
Fase 2,14.76,0.000752708037097484,0.0007527111689210272,0.03564731994816154,0.03682054039334195,0.4668628488632469,0.00023897335410810706,3.1347282800266184e-09,0.4493836392000493,0.004345072844016872,0.27895737274188137,1.0,0.01087222822396292
