ventana,delta_struct,acoplamiento,error,lf,icr,irde,modo,plan,j,mezcla_nada,mezcla_preservar,mezcla_contexto,S_zona_voz,S_perturbacion,S_no_intervenir,S_contexto,V_nada,V_preservar,V_contexto,C_nada,C_preservar,C_contexto
1570,0.015703224240776963,0.7671331763065516,0.23286682369344835,0.014690328875552841,0.5884933101901788,0.05422695757707556,ZONA_VOZ,NADA,0.8612283219958824,0.6198410749256318,0.38015792507444757,0.0,0.9454268480610618,0.020467277706306932,0.7550867120164704,0.979532722293693,0.8999999999999999,0.30440709866266585,0.8285622258543391,0.8224566439917649,1.0,0.5252379716154743
1571,0.01829856717389811,0.7689623560866603,0.2310376439133397,0.024496415365652516,0.5913031050783477,0.053378392905027154,ZONA_VOZ,NADA,0.8612771383100976,0.649881236340482,0.350117763659597,0.0,0.9139254680061234,0.03536604194696403,0.7548914467596096,0.964633958053036,0.8999999999999999,0.3073489246096958,0.8190053137987193,0.8225542766201952,1.0,0.5370301878428336
1572,0.008357426926824348,0.7513608669250639,0.24863913307493613,0.03394859278561486,0.5645431523463835,0.061821418496255796,ZONA_VOZ,NADA,0.8637296441539843,0.6774152425865033,0.32258375741357537,0.0,0.8983922469242603,0.04635671684192049,0.7450814233840622,0.9536432831580796,0.8999999999999999,0.3101845778356845,0.8105949212783133,0.8274592883079688,1.0,0.5395651573028633
1573,0.009448936047211602,0.7057136948671014,0.29428630513289855,0.040467989279413516,0.4980318191229764,0.08660442938877347,ZONA_VOZ,NADA,0.8752386371758347,0.702699793840834,0.2972992061592443,0.0,0.8047149072630373,0.11505675422857271,0.6990454512966607,0.8849432457714272,0.8999999999999999,0.31214039678382405,0.7622224453431118,0.8504772743516695,1.0,0.5526769953838546
1574,0.0033187218230595326,0.6495427037723548,0.3504572962276452,0.04292392963661754,0.42190572402390103,0.12282031647919146,ZONA_VOZ,NADA,0.7881532369434159,0.7259733017769107,0.2740256982231676,0.0,0.6461669174224846,0.3009627228606313,0.6473870522263364,0.6990372771393687,0.7,0.31287717889098526,0.6359511826687109,0.8763064738868318,1.0,0.5122000154874441
1575,0.0016912026977695203,0.5883441879727118,0.4116558120272882,0.04112124713857403,0.34614888352126966,0.16946050757584602,ZONA_VOZ,NADA,0.8031627053263012,0.7474446462853586,0.2525543537147199,0.0,0.2583771092982157,0.4878968919750879,0.5873491786947953,0.5121031080249121,0.7,0.31233637414157217,0.507447944079816,0.9063254106526024,1.0,0.6541911097838484
1576,0.0016417774227134977,0.5338960855996178,0.46610391440038224,0.03609060796488851,0.2850450302185944,0.21725285901935884,NO_SE,PRESERVAR,0.7554135911947333,0.6887280497466822,0.3112709502533963,0.0,0.4007532541998991,0.5619922006703297,0.5330195470602052,0.43800779932967027,0.7,0.5108271823894666,0.45211714071138176,0.7334902264698975,1.0,0.47360441603678394
1577,0.000525493048494094,0.48493161058486456,0.5150683894151354,0.028952578403839375,0.23515866694443072,0.2652954457747016,NO_SE,PRESERVAR,0.7543428867605759,0.6344273738618128,0.3655716261382661,0.0,0.38114121369455856,0.6708166740404518,0.4846767823945071,0.32918332595954825,0.7,0.5086857735211519,0.37417484500750103,0.7576616088027465,1.0,0.3913520224079466
1578,0.0012206974407937912,0.437528263584275,0.562471736415725,0.020683556918438255,0.1914309814350708,0.31637445426652083,NO_SE,PRESERVAR,0.7531025335377657,0.5841980262882305,0.4158009737118488,0.0,0.18185538958678304,0.3716395503927475,0.43699417395264273,0.6283604496072526,0.7,0.5062050670755315,0.560978124104736,0.7815029130236786,1.0,0.8200400929771008
1579,0.00020982312646029199,0.39477826782130243,0.6052217321786976,0.012512073238150009,0.15584988074398798,0.3662933451013831,NO_SE,PRESERVAR,0.7518768109857226,0.537754522573528,0.46224447742655156,0.0,0.1636067277204452,0.4015182947704255,0.3946954342108896,0.5984817052295746,0.7,0.503753621971445,0.534069106634016,0.8026522828945553,1.0,0.807748152530261
