fase,angulo,t,ged_L,ged_R,act_busc,coh_rel,geom,frac_L,frac_R,efic,lf
F4,60.0,16.02,0.00016860066796321486,0.000168600687190555,1.0180383148039596e-05,-5.32722188354188e-14,0.4148220946514922,0.7680833862218794,0.8029801417664878,0.15832613346633548,0
F4,60.0,16.03,0.00016858399608658453,0.00016858401513844388,1.0230324023807746e-05,-5.324490715174642e-14,0.41475217370842343,0.7680852933289131,0.803065844110143,0.15822715828240055,0
F4,60.0,16.04,0.00016856676767285577,0.00016856678656768578,1.0279691949111047e-05,-5.321764149105684e-14,0.41468252958821433,0.7680872798511509,0.803151417527878,0.1581282026906985,0
F4,60.0,16.05,0.00016854897844319154,0.0001685489971994145,1.0328488865507524e-05,-5.325666197949257e-14,0.41461316408668153,0.768089345546535,0.8032368591748542,0.15803009776270788,0
F4,60.0,16.06,0.0001685306241470055,0.00016853064278301257,1.0376716718774048e-05,-5.3163250225594055e-14,0.41454407898798495,0.7680914901733836,0.8033221662143316,0.15793223487399738,0
F4,60.0,16.07,0.00016851170056226915,0.00016851171909641828,1.0424377459683498e-05,-5.3136125613557034e-14,0.41447527606458456,0.7680937134903945,0.8034073358177509,0.15783589644385565,0
F4,60.0,16.08,0.00016849220349581694,0.00016849222194643086,1.047147304289453e-05,-5.3175187302600167e-14,0.41440675707719676,0.768096015256645,0.803492365164816,0.15773880587805855,0
F4,60.0,16.09,0.0001684721287836493,0.00016847214716901344,1.0518005428394872e-05,-5.31481255440205e-14,0.4143385237747518,0.7680983952315953,0.8035772514435761,0.15764144237848657,0
F4,60.0,16.1,0.00016845147229123197,0.00016845149062959228,1.056397657950292e-05,-5.3121112845566663e-14,0.41427057789435084,0.7681008531750885,0.8036619918505065,0.15754225471355024,0
F4,60.0,16.11,0.0001684302299137956,0.00016843024822335684,1.0609388464533076e-05,-5.3094149702624406e-14,0.41420292116122553,0.7681033888473531,0.8037465835905916,0.15744456728012585,0
F4,60.0,16.12,0.00016840839757663073,0.0001684084158755543,1.0654243055352453e-05,-5.3001232584534515e-14,0.41413555528869594,0.7681060020090028,0.8038310238774041,0.15734720252750037,0
F4,60.0,16.13,0.00016838597123538203,0.0001683859895417838,1.0698542328380078e-05,-5.304037406274598e-14,0.41406848197813045,0.7681086924210392,0.8039153099331864,0.15724756437934384,0
