fase,angulo,t,ged_L,ged_R,grad_E,act_busc,coh_rel,geom,geom_baja,geom_alta,frac_L,frac_R,efic,lf
F4,60.0,18.25,0.00013959609934845426,0.00013964734618393966,1.2634336259701876e-14,-0.0007999304104915894,-2.0671311799378276e-14,0.3524626143173365,0.3441078677012534,0.3947453442734941,0.7344204770970318,0.7725492572983431,0.12878158187363184,0
F4,60.0,18.26,0.00014017178938906217,0.00014022321461865046,1.2634331988186426e-14,-0.0007973758872638625,-2.0587298259992463e-14,0.35258403413227535,0.34426267545236217,0.3948654407920966,0.7341779136532177,0.7722676254887049,0.12916550770275473,0
F4,60.0,18.27,0.00014075291284933875,0.00014080451313488657,1.263434326245544e-14,-0.0007948139844924373,-2.0692021761749577e-14,0.3527074625265024,0.3444199591971444,0.39498766797929075,0.7339369399166839,0.7719874175167993,0.12955257742412862,0
F4,60.0,18.28,0.00014133946254225857,0.00014139123452469547,1.2634335595952073e-14,-0.000792244816015697,-2.06705628328003e-14,0.3528328946806279,0.3445797137181723,0.3951120215037179,0.7336975645594054,0.7717086432945771,0.1299449526423246,0
F4,60.0,18.29,0.00014193143096507814,0.00014198337126479347,1.2634331988186426e-14,-0.0007896684952155009,-2.077551604984849e-14,0.3529603257064779,0.34474193372546935,0.39523849696810404,0.7334597961732003,0.771431312649323,0.1303395710611876,0
F4,60.0,18.3,0.0001425288102992068,0.00014258091551643865,1.2634336259701876e-14,-0.0007870851350169072,-2.075377430670495e-14,0.35308975064733006,0.34490661385669336,0.3953670899094122,0.7332236432693285,0.7711554353232002,0.1307394329143696,0
F4,60.0,18.31,0.00014313159241006952,0.00014318385912529628,1.2634331988186426e-14,-0.0007844948478875069,-2.0795355855108343e-14,0.3532211644781506,0.3450737486773201,0.3954977957989981,0.7329891142780973,0.7708810209728011,0.13114451702782529,0
F4,60.0,18.32,0.00014373976884696275,0.00014379219362129693,1.263434326245544e-14,-0.0007818977458372012,-2.0836918993208563e-14,0.3533545621058353,0.34524333268083124,0.39563061004276634,0.732756217548476,0.7706080791687081,0.13155017366905317,0
F4,60.0,18.33,0.00014435333084290096,0.00014440591021848493,1.2634335595952073e-14,-0.0007792939404174803,-2.0814613497943283e-14,0.3534899383694528,0.34541536028890235,0.3957655279813308,0.7325249613477167,0.7703366193950631,0.13196033311886926,0
F4,60.0,18.34,0.0001449722693144562,0.0001450249998148607,1.2634331988186426e-14,-0.000776683542721035,-2.0792032208214815e-14,0.35362728804049176,0.345589825851595,0.39590254489017546,0.7322953538609831,0.7700666510491448,0.13237301639938892,0
F4,60.0,18.35,0.00014559657486158656,0.00014564945299221085,1.2634336259701876e-14,-0.0007740666633813675,-2.076917362252936e-14,0.35376660582310976,0.34576672364754885,0.3960416559798179,0.7320674031909875,0.7697981834409562,0.13278720398718522,0
F4,60.0,18.36,0.00014622623776745723,0.00014627926001593166,1.2634331988186426e-14,-0.0007714434125724035,-2.087449468853574e-14,0.3539078863543867,0.34594604788417826,0.39618285639597517,0.7318411173576332,0.769531225792819,0.1332063715400423,0
F4,60.0,18.37,0.00014686124799825,0.00014691441083484054,1.263434326245544e-14,-0.0007688139000079364,-2.0851330576169785e-14,0.3540511242045796,0.34612779269786903,0.39632614121973175,0.7316165042976672,0.769265787238979,0.13363091196485638,0
F4,60.0,18.38,0.00014750159520296284,0.00014755489508097756,1.2634335595952073e-14,-0.0007661782349415169,-2.089236722544266e-14,0.35419631387738165,0.3463119521541783,0.39647150546770876,0.7313935718643382,0.7690018768252186,0.13406028618680352,0
F4,60.0,18.39,0.00014814726871319804,0.00014820070206939567,1.2634331988186426e-14,-0.0007635365261658422,-2.080415536243654e-14,0.35434344981018284,0.34649852024803623,0.39661894409223647,0.7311723278270628,0.7687395035084781,0.1344939243250589,0
F4,60.0,18.4,0.00014879825754294068,0.00014885182079794098,1.2634336259701876e-14,-0.0007608888820122561,-2.0974348353144197e-14,0.3544925263743353,0.3466874909039501,0.396768451981528,0.7309527798710993,0.7684786761564866,0.1349316994106949,0
F4,60.0,18.41,0.0001494545503883238,0.0001495082399470199,1.2634331988186426e-14,-0.0007582354103509159,-2.0950427422023684e-14,0.35464353787541936,0.3468788579762102,0.3969200239598555,0.730734935597229,0.7682194035474005,0.1353734603525687,0
F4,60.0,18.42,0.00015011613562738156,0.00015016994787935407,1.263434326245544e-14,-0.0007555762185899595,-2.0926218723355074e-14,0.35479647855351426,0.3470726152490978,0.39707365478772855,0.7305188025214436,0.7679616943694513,0.1358192828966545,0
F4,60.0,18.43,0.00015078300131979097,0.0001508369326397237,1.2634335595952073e-14,-0.00075291141367545,-2.090172089911889e-14,0.3549513425834708,0.3472687564370954,0.39722933916207404,0.7303043880746425,0.7677055572206025,0.13626728074503083,0
F4,60.0,18.44,0.00015145513520660066,0.00015150918195469822,1.2634331988186426e-14,-0.0007502411020911537,-2.100741344251561e-14,0.35510812407518727,0.34746727518509885,0.3973870717164186,0.7300916996023343,0.7674510006082131,0.1367193106633699,0
F4,60.0,18.45,0.00015213252470994457,0.00015218668323235173,1.2634336259701876e-14,-0.0007475653898579293,-2.098258517192946e-14,0.3552668170738877,0.34766816506863224,0.39754684702107296,0.7298807443643486,0.7671980329487122,0.13717371022291827,0
F4,60.0,18.46,0.00015281515693274509,0.00015286942356196738,1.2634331988186426e-14,-0.0007448843825336726,-2.095746357741784e-14,0.35542741556040347,0.34787141959406315,0.3977086595833186,0.7296715295345532,0.7669466625672806,0.137632120932227,0
F4,60.0,18.47,0.0001535030186583991,0.0001535573897137255,1.263434326245544e-14,-0.0007421981852131498,-2.0997665084909314e-14,0.3555899134514576,0.34807703219882213,0.3978725038475954,0.7294640622005787,0.7666968976975409,0.13809090922000783,1
F4,60.0,18.48,0.0001541960963504528,0.00015425056813837912,1.2634335595952073e-14,-0.0007395069025275536,-2.0906335330138118e-14,0.35575430459995144,0.34828499625162307,0.39803837419569305,0.7298302012791787,0.7670497614498034,0.13855265380889412,1
F4,60.0,18.49,0.00015489437618629884,0.00015494894499827537,1.2634331988186426e-14,-0.0007368106386445028,-2.1012063266552378e-14,0.35592058279529,0.3484953050527254,0.39820626494698436,0.7301959840987422,0.7674019708544746,0.13901976675845865,1
F4,60.0,18.5,0.00015559784399553627,0.00015565250610909476,1.2634336259701876e-14,-0.0007341094972674878,-2.0986006223305173e-14,0.35608874176370847,0.3487079518341974,0.3983761703586593,0.730561690728393,0.7677538207230629,0.13949156304863192,1
F4,60.0,18.51,0.00015630648529802937,0.00015636123697717553,1.2634331988186426e-14,-0.000731403581635981,-2.1025768160930062e-14,0.3562587751685999,0.3489229297601802,0.39854808462596014,0.7309273112732325,0.7681053011111337,0.13996815240377602,1
F4,60.0,18.52,0.00015702028519745754,0.00015707512269508172,1.263434326245544e-14,-0.0007286929945252707,-2.1065478895977285e-14,0.35643067661084415,0.34914023192715116,0.3987220018824149,0.7312921189053463,0.7684556487156784,0.14044625571755878,1
F4,60.0,18.53,0.00015773922868939072,0.00015779414824289057,1.2634335595952073e-14,-0.0007259778382459059,-2.1038768431045348e-14,0.35660443962913846,0.3493598513641885,0.3988979162000744,0.7316567470813007,0.7688055297232943,0.1409272233940427,1
F4,60.0,18.54,0.0001584633003105472,0.00015851829814443022,1.2634331988186426e-14,-0.0007232582146440292,-2.1144740191531083e-14,0.3567800577003289,0.34958178103323645,0.3990758215897467,0.732021857326353,0.7691556397049552,0.14141153440502485,1
F4,60.0,18.55,0.00015919248429126885,0.00015924755661952318,1.2634336259701876e-14,-0.0007205342251008773,-2.105105296673722e-14,0.356957524239744,0.34980601382937093,0.399255712001234,0.7323861211603656,0.7695045832542001,0.14190042132202607,1
F4,60.0,18.56,0.00015992676455836346,0.00015998190758396226,1.2634331988186426e-14,-0.0007178059705328921,-2.109029414477383e-14,0.3571368326015291,0.3500325425810658,0.39943758132357,0.7327501549121339,0.7698530085013195,0.1423922403876695,1
F4,60.0,18.57,0.00016066612450641344,0.00016072133442537377,1.263434326245544e-14,-0.000715073551391443,-2.112947632385831e-14,0.3573179760789831,0.35026136005046005,0.3996214233852573,0.7331148211510485,0.7702018221665993,0.1428870439632361,1
F4,60.0,18.58,0.0001614105474268702,0.00016146582042182725,1.2634335595952073e-14,-0.0007123370676627716,-2.1101608660914735e-14,0.35750094790489556,0.3504924589336262,0.39980723195450607,0.7334783225532501,0.7705491364871299,0.1433831482390316,1
F4,60.0,18.59,0.00016216001646594016,0.00016221534870729959,1.2634331988186426e-14,-0.0007095966188679359,-2.1207657253701593e-14,0.3576857412518869,0.35072583186083844,0.39999500073947375,0.7338411137100733,0.7708954296688362,0.14387971609306358,1
F4,60.0,18.6,0.0001629145144550636,0.00016296990210057743,1.2634336259701876e-14,-0.0007068523040626995,-2.117941655959867e-14,0.3578723492327488,0.35096147139684275,0.40018472338850475,0.7342055066497384,0.7712431309760922,0.14437865405135578,1
F4,60.0,18.61,0.00016367402380246257,0.00016372946300041507,1.2634331988186426e-14,-0.000704104221837254,-2.1218223509841622e-14,0.35806076490078725,0.3511993700411276,0.4003763934903717,0.7345677542020433,0.7715883046675176,0.1448805534295445,1
F4,60.0,18.62,0.00016443852658194213,0.00016449401347104945,1.263434326245544e-14,-0.000701352470316885,-2.112199883549743e-14,0.35825098125016636,0.35143952022819513,0.4005700045745181,0.7349305881059486,0.771933820848531,0.14538603000090716,1
F4,60.0,18.63,0.00016488065982944445,0.0001649361905363203,1.2634335595952073e-14,-0.0006985971471610286,-2.1160424826082084e-14,0.3584429912162552,0.351681914327834,0.4007655501113004,0.7352909820799167,0.7722765014500454,0.14569029427051872,1
F4,60.0,18.64,0.00016436967449556667,0.00016442524513869995,1.2634331988186426e-14,-0.000695838349563771,-2.1131052962740544e-14,0.3586367876759746,0.35192654464539247,0.4009630235122332,0.7356518269546454,0.7726193834578005,0.14548493358739345,1
F4,60.0,18.65,0.0001624176353921991,0.00016247324208379388,1.2634336259701876e-14,-0.0006930761742540703,-2.1304915827820805e-14,0.3588323634481468,0.3521734034220536,0.4011624181302328,0.7360125789441058,0.772961896255565,0.1451499081523963,1
F4,60.0,18.66,0.00016026572100273488,0.00016032135984917544,1.2634331988186426e-14,-0.0006903107174947576,-2.1207312523932522e-14,0.35902971129384637,0.35242248283511024,0.40136372725986563,0.7363725405539273,0.773303307923334,0.1459518398635371,1
