fase,t,ged_L,ged_R,act_busc,coherencia_rel,geom_estado,frac_L,frac_R,eficiencia,lf_activa
Fase 6,13.5,0.0007047336718313782,0.0007047795515850259,-0.05768108081241313,-0.015313194977104731,0.4505259875206755,0.7904042608339211,0.8328787038241797,0.2776381753659881,1
Fase 6,13.51,0.0006987385550871873,0.0006987843887533627,-0.05771309908076544,-0.02478331959785811,0.4506087676368762,0.7906784056381255,0.8326441199446531,0.2763213997908901,1
Fase 6,13.52,0.00069278483852264,0.0006928306305222568,-0.05776288135059571,-0.04860140187145199,0.450679827148474,0.7907364935499368,0.8325796716915647,0.27500544532731996,1
Fase 6,13.530000000000001,0.0006868727748615751,0.0006869185259488764,-0.05781000580197926,-0.04531131940121368,0.45076527996447313,0.7905214291320294,0.8327995387534893,0.2736949686820431,1
Fase 6,13.540000000000001,0.0006810026101715156,0.0006810483126516606,-0.05786129956785829,-0.05110875014630811,0.4508092735874115,0.7904188199406066,0.8329447030221725,0.272389983333424,1
Fase 6,13.55,0.0006751745790777393,0.0006752202376456543,-0.0578844800896644,-0.013893148584322492,0.4509189261304721,0.7902357853795522,0.8331604880965575,0.27109037188946195,1
Fase 6,13.56,0.000669388925576027,0.0006694345441509966,-0.05791300928096782,-0.021107326099517824,0.4510132758114166,0.7904851760934303,0.8329018505419932,0.26979097530430046,1
Fase 6,13.57,0.0006636458900134603,0.0006636914697516149,-0.057928164387564485,-0.0033950545618836384,0.4510726382927149,0.7906252141694708,0.832757343413326,0.26849588163108956,1
Fase 6,13.58,0.0006579457069049769,0.0006579912461923674,-0.05796855345956553,-0.03707198873905118,0.45115227453614387,0.7909760897454206,0.8324497158541465,0.2672067398595386,1
Fase 6,13.59,0.0006522886052883273,0.0006523341065929433,-0.057996788728109705,-0.021068907987944696,0.451251503479569,0.7909717741731597,0.8325077842714292,0.2659254406839765,1
Fase 6,13.6,0.0006466748153577862,0.0006467202781695583,-0.058037269049593165,-0.037518183203548654,0.4513134055069122,0.7911019010655788,0.8323969286747536,0.264650421521861,1
Fase 6,13.61,0.0006411045612227787,0.0006411499796922737,-0.05803871357564544,0.014323237810185184,0.45137005234000854,0.7910367993370292,0.8324514185092916,0.2633783153773409,1
Fase 6,13.620000000000001,0.00063557805867785,0.0006356234336684211,-0.05808035396518252,-0.0392176862825433,0.4514643012453379,0.7916307068071979,0.8318782288250741,0.2621092794309142,1
Fase 6,13.63,0.000630095527351378,0.0006301408636646986,-0.058100143122409076,-0.010299322959821017,0.4515301852689527,0.7915865217842188,0.8319616062240157,0.26083936755646303,1
Fase 6,13.64,0.0006246571878900907,0.0006247024863908832,-0.05810960439905971,0.0033990289434658707,0.451599693598018,0.7918910168292584,0.8317275709905758,0.25957094615611775,1
Fase 6,13.65,0.0006192632539399013,0.0006193085099264774,-0.05815652609477712,-0.04655225547448861,0.45164093643288866,0.7923365431234958,0.8312525634686826,0.25831201257052505,1
Fase 6,13.66,0.0006139139305332992,0.0006139591439772433,-0.058203882539971386,-0.04738817749350034,0.4516493424725931,0.7921723838703545,0.8314095991590034,0.25706101746582516,1
Fase 6,13.67,0.0006086094245490746,0.0006086545983934352,-0.05822719941290011,-0.015597055557188105,0.4516873447208074,0.7920218770732458,0.8315624521203315,0.2558171096051375,1
Fase 6,13.68,0.0006033499428255586,0.0006033950802890622,-0.05832303804820077,-0.11239551941221648,0.4517206506845996,0.7922393520305727,0.8313142432045795,0.25458017883291434,1
Fase 6,13.69,0.0005981356890724689,0.0005981807903922533,-0.05837567025963514,-0.05537791054308066,0.4517590642542297,0.7912829603968683,0.8322498910136821,0.253350832954764,1
Fase 6,13.700000000000001,0.0005929668605898462,0.0005930119244347375,-0.05839043423478102,-0.005192585973083356,0.4518559286195488,0.7910349435117694,0.8324899527036481,0.25212534898048244,1
Fase 6,13.71,0.0005878436496448129,0.0005878886752137648,-0.05842290634085856,-0.02885766324949698,0.4519012946496521,0.7913619382239363,0.8321675453081331,0.25091075633090404,1
