ciclo,grad_f2,grad_f13,busc_f2,busc_f13,geom_f2,geom_f13,coh_f2,coh_f13,mejor_ef,c28,c21,c29
22,0.5301690371742267,-0.5301690371742267,0.014103840712009659,-0.01400620955486537,0.39991362119755874,0.35317984885420817,-0.0005785556084537011,0.0005728998578289035,0.8873914814638676,1,1,1
23,0.5301690371742267,-0.5301690371742267,0.014103877159528095,-0.014619688319679951,0.399441064857971,0.4276787683270408,-0.0005784813756203977,0.0005902175736488633,0.8873914814638676,1,1,1
24,0.5301690371742267,-0.5301690371742267,0.014107108952538127,-0.014130917858044111,0.38846621741878085,0.3670156023310302,-0.0005984473371413199,0.0005787008528587811,0.8873914814638676,1,1,1
25,0.5301690371742267,-0.5301690371742267,0.014104475668459578,-0.013964155063304886,0.3964924708037482,0.34922050153925,-0.0005822153120332901,0.0005709309424242872,0.8873914814638676,1,1,1
26,0.5301690371742267,-0.5301690371742267,0.014103758977743835,-0.01399684082054684,0.3993775213557292,0.3568061594244873,-0.0005810772976447144,0.0005701741434239008,0.8873914814638676,1,1,1
27,0.5301690371742267,-0.5301690371742267,0.014103860822135408,-0.013991983808224773,0.39891150600732583,0.36107913779381967,-0.0005787082543749357,0.0005679832704801101,0.8873914814638676,1,1,1
28,0.5301690371742267,-0.5301690371742267,0.014103854960036844,-0.013998123565794884,0.3985798455511963,0.36161219773113024,-0.0005772737546253997,0.0005691102965603362,0.8873914814638676,1,1,1
29,0.5301690371742267,-0.5301690371742267,0.014103857750686401,-0.013986776083141698,0.3989409476037638,0.35440395447110784,-0.0005792962923524984,0.0005667676322453547,0.8873914814638676,1,1,1
30,0.5301690371742267,-0.5301690371742267,0.014103825642190409,-0.013992561376030676,0.3999842255240678,0.35255681929605803,-0.0005762373127692445,0.0005723230560859075,0.8873914814638676,1,1,1
31,0.5301690371742267,-0.5301690371742267,0.014103843291600667,-0.013997390704086567,0.3999712514303269,0.3537673630826873,-0.0005791552756550693,0.0005680355686081214,0.8873914814638676,1,1,1
32,0.5301690371742267,-0.5301690371742267,0.01410385248242117,-0.013992318033397002,0.3988330051832547,0.3464902278641028,-0.0005783256362846007,0.0005682280506692246,0.8873914814638676,1,1,1
33,0.5301690371742267,-0.5301690371742267,0.014103840712009659,-0.01400620955486537,0.40006874186527613,0.3532274879126526,-0.0005785684243432476,0.00057303214072147,0.8873914814638676,1,1,1
34,0.5301690371742267,-0.5301690371742267,0.014103877159528095,-0.014619688319679951,0.39935681395658185,0.42773961262771604,-0.0005785998716669235,0.0005902763621652223,0.8873914814638676,1,1,1
35,0.5301690371742267,-0.5301690371742267,0.014107108952538127,-0.014130917858044111,0.3883676142799479,0.36695416697006467,-0.0005984289321117987,0.000578753822501833,0.8873914814638676,1,1,1
36,0.5301690371742267,-0.5301690371742267,0.014104475668459578,-0.013964155063304886,0.3965080780898294,0.34926565984235347,-0.0005821950366358833,0.0005709015974826133,0.8873914814638676,1,1,1
37,0.5301690371742267,-0.5301690371742267,0.014103758977743835,-0.01399684082054684,0.3993823709770412,0.35673907483536677,-0.0005810638339083275,0.000570186320073372,0.8873914814638676,1,1,1
38,0.5301690371742267,-0.5301690371742267,0.014103860822135408,-0.013991983808224773,0.39889835537936996,0.36106112284595665,-0.0005787055900522371,0.000567944950164426,0.8873914814638676,1,1,1
39,0.5301690371742267,-0.5301690371742267,0.014103854960036844,-0.013998123565794884,0.3984827772641407,0.36169231487894,-0.000577273350456903,0.000569069520943952,0.8873914814638676,1,1,1
40,0.5301690371742267,-0.5301690371742267,0.014103857750686401,-0.013986776083141698,0.3988762969335602,0.35420582221537134,-0.0005792789335873495,0.0005667663180867906,0.8873914814638676,1,1,1
41,0.5301690371742267,-0.5301690371742267,0.014103825642190409,-0.013992561376030676,0.39988975708977953,0.3526434998970033,-0.0005762616912305996,0.0005723323981993397,0.8873914814638676,1,1,1
42,0.5301690371742267,-0.5301690371742267,0.014103843291600667,-0.013997390704086567,0.40005585443146924,0.35378679772361415,-0.0005791122433719375,0.0005680616274874834,0.8873914814638676,1,1,1
43,0.5301690371742267,-0.5301690371742267,0.01410385248242117,-0.013992318033397002,0.39883630894663613,0.34631663367412796,-0.0005783294336505722,0.0005682304434974076,0.8873914814638676,1,1,1
44,0.5301690371742267,-0.5301690371742267,0.014103840712009659,-0.01400620955486537,0.39997236837667366,0.3532610694031961,-0.0005786075270565463,0.0005729247418435273,0.8873914814638676,1,1,1
45,0.5301690371742267,-0.5301690371742267,0.014103877159528095,-0.014619688319679951,0.3993276140165911,0.4277086077043353,-0.000578504376263788,0.0005902588524261125,0.8873914814638676,1,1,1
46,0.5301690371742267,-0.5301690371742267,0.014107108952538127,-0.014130917858044111,0.3883276209496748,0.3669972267439758,-0.0005984072530036437,0.0005787367859645851,0.8873914814638676,1,1,1
47,0.5301690371742267,-0.5301690371742267,0.014104475668459578,-0.013964155063304886,0.39652474768067214,0.3493701867900791,-0.0005821879717665304,0.0005708780906188693,0.8873914814638676,1,1,1
48,0.5301690371742267,-0.5301690371742267,0.014103758977743835,-0.01399684082054684,0.3992778979086613,0.3568870326074216,-0.000581051748703245,0.0005701861148438678,0.8873914814638676,1,1,1
49,0.5301690371742267,-0.5301690371742267,0.014103860822135408,-0.013991983808224773,0.39892388253387934,0.36108934043672114,-0.000578736020733724,0.0005679706575534914,0.8873914814638676,1,1,1
50,0.5301690371742267,-0.5301690371742267,0.014103854960036844,-0.013998123565794884,0.3987126071164647,0.36165401002896397,-0.0005772384321724844,0.0005691104242856507,0.8873914814638676,1,1,1
51,0.5301690371742267,-0.5301690371742267,0.014103857750686401,-0.013986776083141698,0.3988262203785419,0.35424693973261057,-0.0005792695440412439,0.0005667646896291944,0.8873914814638676,1,1,1
52,0.5301690371742267,-0.5301690371742267,0.014103825642190409,-0.013992561376030676,0.39984576700753116,0.35268327813510353,-0.0005762355010519735,0.0005722933862925983,0.8873914814638676,1,1,1
