fase,angulo,t,ged_L,ged_R,act_busc,coh_rel,geom,frac_L,frac_R,efic,lf
F5,60.0,13.23,0.00014316011573111526,0.000143160144524676,-3.3948559318153215e-06,1.189374765330998e-08,0.416060988315561,0.7713910664263429,0.7913208265367804,0.16730757990327572,0
F5,60.0,13.24,0.00014328935824390983,0.00014328938720329506,-3.0259586392133997e-06,1.0962387533754972e-07,0.41610089558146546,0.7714083158119269,0.791303007822694,0.16753634815641053,0
F5,60.0,13.25,0.00014341745245334986,0.00014341748158378076,-2.661182644858595e-06,-1.6687163782612872e-07,0.416140396643943,0.7714258702551282,0.7912848301229325,0.1677645575681759,0
F5,60.0,13.26,0.00014354439204562004,0.00014354442135220636,-2.2962478498089745e-06,1.2571131689712464e-07,0.41617948986398867,0.7714437253025187,0.7912662973652536,0.16799102191198148,0
F5,60.0,13.27,0.00014367017074227997,0.0001436702002300192,-1.929943536482792e-06,5.809787472609091e-07,0.41621817363071023,0.7714618875144879,0.7912474025174148,0.16821708986205855,0
F5,60.0,13.28,0.00014379478230051957,0.00014379481197429904,-1.5276016902543432e-06,5.660825123422245e-06,0.41625644762038655,0.7714803586578861,0.7912281433933396,0.16843899865793432,0
F5,60.0,13.29,0.00014391822051343776,0.00014391825037804324,-1.7935595378881786e-06,-8.314782632422691e-05,0.4162943003928908,0.7714991924287325,0.7912084663999307,0.16865825962543157,0
F5,60.0,13.3,0.00014404047921032483,0.0001440405092704711,-1.4348107174599889e-06,0.0,0.4163317672910227,0.7715172884846515,0.7911894732286754,0.1688768176945475,0
F5,60.0,13.31,0.00014416155225157118,0.00014416158251081955,-1.07809569288575e-06,0.0,0.4163688352758584,0.7715366550663567,0.7911691661744809,0.1690958837931304,0
F5,60.0,13.32,0.00014428143353500134,0.0001442814639960196,-7.23412617253949e-07,0.0,0.41640550223670514,0.7715563183385713,0.7911485181584546,0.16931577905236603,0
F5,60.0,13.33,0.00014440011700166605,0.0001444001476669394,-3.707595979673961e-07,0.0,0.41644176617325096,0.7715762783213478,0.7911275283246406,0.1695334625464183,0
F5,60.0,13.34,0.00014451759662941307,0.00014451762750127692,-2.0134696687712506e-08,0.0,0.41647762519098064,0.7715965349938169,0.7911061959325696,0.16975064772417967,0
F5,60.0,13.35,0.0001446338664331865,0.00014463389751385376,3.2846406994302413e-07,0.0,0.41651307749681493,0.7716170882958203,0.7910845203521062,0.1699689301514782,0
F5,60.0,13.36,0.00014474892046532017,0.0001447489517569032,6.75038730024724e-07,0.0,0.41654812139495834,0.7716379381294665,0.7910625010585449,0.17018662031396184,0
F5,60.0,13.37,0.00014486275281582557,0.00014486278432035486,1.0195913563437742e-06,0.0,0.416582755282949,0.7716590843606108,0.7910401376279356,0.17040146602995482,0
F5,60.0,13.38,0.0001449753576126757,0.0001449753893321144,1.362124065540371e-06,0.0,0.4166169776478989,0.7716805268202699,0.7910174297326388,0.17061485267433724,0
F5,60.0,13.39,0.00014508672902208486,0.00014508676095834083,1.7026390185526097e-06,0.0,0.416650787062916,0.771702265305965,0.790994377137089,0.17082628998898644,0
F5,60.0,13.4,0.00014519686124878583,0.00014519689340372104,2.041138419506261e-06,0.0,0.4166841821836985,0.7717242995830045,0.7909709796937642,0.17103403615219212,0
F5,60.0,13.41,0.0001453057485363038,0.00014530578091174196,2.3776245161588605e-06,0.0,0.4167171617452944,0.7717466293857053,0.7909472373393466,0.17124021629267236,0
F5,60.0,13.42,0.00014541338516722827,0.0001454134177649606,2.7120995986784635e-06,0.0,0.41674972455901754,0.7717692544185564,0.7909231500910674,0.17144665240332907,0
F5,60.0,13.43,0.00014551976546348333,0.00014551979828527264,3.044566000531823e-06,0.0,0.4167818695095113,0.7717921743573272,0.7908987180432275,0.1716536124810967,0
F5,60.0,13.44,0.00014562488378659524,0.00014562491683417963,3.3750260967080337e-06,0.0,0.4168135955519558,0.7718153888501245,0.7908739413638831,0.17186022109210958,0
