fase,angulo,t,ged_L,ged_R,fuerza_grad,signo_grad,act_busc,coh_rel,err_L,err_R,geom,frac_L,frac_R,efic,lf
F7,-60.0,5.46,3.466625285011592e-05,3.4700955383585554e-05,0.005550162305847688,0.005476424769783894,0.49844062463894145,0.001290291303926689,0.18852560296232346,0.1890127373999208,0.47662291851058264,0.8598633520961482,0.7724856540772284,0.08245262220135859,1
F7,-60.0,5.47,3.453368220605333e-05,3.456847853783995e-05,0.009363418318963992,-0.008467342456231899,0.49849987461332623,-0.0013167968157697593,0.18005266403127781,0.17957910206669866,0.4766259734087076,0.8596721813865889,0.7724583264357174,0.08226327443559561,1
F7,-60.0,5.48,3.440175888569418e-05,3.4436647676416934e-05,0.006262748195037908,0.002685494416566889,0.4985613015559363,0.000980148295340684,0.19220457352817283,0.192581721159079,0.4765956622964691,0.8594534299536971,0.7724501964734263,0.082075959240135,1
F7,-60.0,5.49,3.427049148893879e-05,3.4305471339276776e-05,0.00019496151874878257,-2.687516416752559e-05,0.49862178080709385,0.0001109017369023687,0.1944575794155474,0.19450071556605453,0.47656896296801016,0.8592696131278019,0.7723827714609401,0.08189058494259334,1
F7,-60.0,5.5,3.4139887862965765e-05,3.4174957344328935e-05,0.0384012578669749,0.004282277673709447,0.49868289187729026,0.002537176727811506,0.19723999853117466,0.19824340983136138,0.4765690511448437,0.8591185460863421,0.7723494721524399,0.08170643060755993,1
F7,-60.0,5.51,3.400995339006761e-05,3.404511110487105e-05,0.008447051054809682,-0.0018170787929337696,0.498742290202614,-0.0008464577627609093,0.1968941290196194,0.19656108579865306,0.47657943997806884,0.8589550347630772,0.772362270677379,0.08152425492511459,1
F7,-60.0,5.52,3.3880693403569305e-05,3.3915937978414086e-05,0.00967857092439962,-0.009332956208583128,0.49879965799408055,-0.0015088478050222062,0.1959734468118863,0.19538294957207009,0.476549299168083,0.8587453337985835,0.7723680396039293,0.08134395330845953,1
F7,-60.0,5.53,3.375211574968862e-05,3.378744579025639e-05,0.04286833539051611,0.03187580198201513,0.49886595938859385,0.006000965532782973,0.1882846758830612,0.1905580983139615,0.4765448176722424,0.8585400779277964,0.7723175817465172,0.08116364351104417,1
F7,-60.0,5.54,3.362423086195933e-05,3.365964490985576e-05,0.03378778094724533,-0.02887579993759018,0.4989182384196718,-0.005351586998757294,0.1883354865532344,0.1863304293084961,0.47650845206593007,0.8583556776950844,0.7722973710018214,0.08098388430500908,1
F7,-60.0,5.55,3.349704527021727e-05,3.353254187334999e-05,0.008283546837226083,0.006980994077807838,0.498978251254301,0.001422096913693068,0.1991030820284692,0.1996701762484704,0.47644936430645246,0.8581874451221686,0.7723005907192987,0.08080509437316712,1
F7,-60.0,5.56,3.33705674494649e-05,3.340614510129978e-05,0.040476448433118595,-0.0342388150488791,0.4990286426186137,-0.006662464137120519,0.1927916421597896,0.19023970951519598,0.4764136727415405,0.8579889588476847,0.7722850297112601,0.080627437920386,1
F7,-60.0,5.57,3.3244801750048515e-05,3.3280458979876024e-05,0.0036153106012206983,-0.00011364106214364414,0.4990863778710971,0.00017509793924717996,0.18933664052830942,0.18940295705137444,0.47637429820242216,0.8578279556892195,0.7722746193374833,0.08044969885162397,1
F7,-60.0,5.58,3.311975620493597e-05,3.3155491454668536e-05,0.00845856157453638,-0.002855848627625369,0.4991431491647825,-0.00032156346308397744,0.1896144141591834,0.18949250722463196,0.4763487634594816,0.8576187676041032,0.7722980665099437,0.0802708477797374,1
F7,-60.0,5.59,3.2995438337591754e-05,3.3031250065046045e-05,0.03922841862617111,0.0341101043720137,0.4992078903333523,0.005882238801706955,0.19189094625757852,0.19416180070586064,0.4763382303082574,0.8574070305790641,0.7722999296798776,0.08009321487692826,1
F7,-60.0,5.6,3.2871853254861966e-05,3.290773991029987e-05,0.030713942181958106,0.011619716177473281,0.49926720997178187,0.0025504477513574215,0.18670526691787367,0.18766006614001238,0.4763217103011602,0.8572277644355927,0.7723091183825183,0.07991598086644297,1
F7,-60.0,5.61,3.2749007434262334e-05,3.278496744103768e-05,0.05764091833361031,0.011219989633292743,0.49932608484424834,0.0025628738781255517,0.19146481261505593,0.1924487346169717,0.47633477105471056,0.8570324502182215,0.7723058665127166,0.07974030860050078,1
F7,-60.0,5.62,3.262691129177577e-05,3.2662942955060063e-05,0.02334773651244483,0.0005145120309244922,0.49938219514322524,0.0003478848744324358,0.19628947471953845,0.1964260945260679,0.47629379711825875,0.8568556272156698,0.7723303322070154,0.07956563225880946,1
F7,-60.0,5.63,3.250557205817991e-05,3.2541673687799806e-05,0.006222643434296092,0.006222643434296092,0.4994392363573175,0.0011624547549258177,0.19826053104690097,0.19872200528399758,0.4762875292490976,0.8566578221148391,0.7723141739433239,0.07939169842958355,1
F7,-60.0,5.64,3.238499497885284e-05,3.242116494478243e-05,0.0017055068987869252,0.0008483330678040191,0.49949471186543476,0.0001115441799310555,0.20133321387779,0.2013781339848474,0.4763006581710062,0.8564754845708967,0.7723044353192035,0.07921958272349106,1
F7,-60.0,5.65,3.226518311121449e-05,3.230141989953712e-05,0.0033454012959935513,0.0009356390252014339,0.49954985120749756,0.00021865355405731857,0.20261559863746254,0.20270422325707152,0.47632455723322825,0.8562925752354804,0.7722949849862375,0.07904979172074571,1
F7,-60.0,5.66,3.214614277480259e-05,3.218244489093219e-05,0.003881455590708248,-0.0028171660193877703,0.4996037892227303,-0.0004737349403960648,0.19721550661550102,0.1970287393410939,0.47628136413755956,0.8561036590713798,0.7722985573808894,0.0788812231177688,1
F7,-60.0,5.67,3.2027884890702925e-05,3.206425078169242e-05,0.02465403238756089,0.015870363024626494,0.4996615750088398,0.0031165597273842133,0.18594439656515693,0.18710703362905495,0.4762488740703462,0.8559373088663011,0.7722799247201328,0.07871452329481593,1
F7,-60.0,5.68,3.1910411709275346e-05,3.194683992493179e-05,0.02995532954523103,-0.0005927498446960661,0.4997152922499122,-0.000637944078862674,0.18977909542796015,0.18953711289877767,0.4762097997648874,0.855756764198671,0.7722933319206654,0.07854979589904156,1
F7,-60.0,5.69,3.17937258015477e-05,3.1830214991101234e-05,0.01890035696060061,-0.01356295576805839,0.4997657314056031,-0.0022167154138811023,0.18474615880450024,0.1839289110941206,0.47620794642413145,0.855554429497602,0.7723132204704233,0.0783823077667536,1
F7,-60.0,5.7,3.167783088451726e-05,3.171437974345335e-05,0.005246528077771612,-0.0017947575029538191,0.49981846190054924,-0.00035803699382147417,0.19639467705651859,0.19625409427076906,0.4761712564506157,0.8553980408809878,0.7723432068227818,0.07821483596836272,1
F7,-60.0,5.71,3.156273095649348e-05,3.159933823353053e-05,0.0018286471255468167,0.0010309861754190337,0.4998714665942384,0.0002251925406611222,0.19933350207632125,0.19942329913351411,0.4761435283549746,0.8552074491189235,0.7723385437153134,0.07804887777192555,1
F7,-60.0,5.72,3.144843270238879e-05,3.148509713097118e-05,0.018515796792395445,-0.01301262068764526,0.4999209479310631,-0.0022600116471614986,0.1961287024456643,0.1952441951385147,0.47609965625439515,0.8549930615577365,0.7723647787027177,0.07788332270924901,1
F7,-60.0,5.73,3.133494270383062e-05,3.1371663016508654e-05,0.011906760462927437,-0.0006697569903614787,0.4999728465209681,-0.00011724924135724154,0.1952286562656361,0.19518288080908525,0.4760566859931141,0.8548022878071433,0.772355970641554,0.0777201272297355,1
F7,-60.0,5.74,3.1222269526856624e-05,3.125904438438291e-05,0.003079498550812027,0.0015423759152877422,0.5000248776801283,0.00018679261075560676,0.20038202682370607,0.20045690057346574,0.47600512936453465,0.8546012675792135,0.7723742800425889,0.07755945256119212,1
