ciclo,t,ultra_cm,ultra_vivo,eopd_raw,eopd_vivo,color_r,color_g,color_b,color_luminosidad,color_vivo,touch_raw,touch_presionado,gyro_raw,accel_x,accel_y,accel_z,compass_deg,smux_vivo,cambio_total,veto_reactivo,volante_elegido,D_actual,contador_sin_cambio,tiempo_deliberacion_s,potencia,duracion_s,ultra_cm_post,error_post,e_R,prop_bienestar,prop_vigor,prop_acople,prop_malestar,prop_dW,d_ultra,d_eopd,d_color,d_gyro,d_accel,d_compass
11,21.929,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,51,-6,197,198,1,8.7733,0,100,1.0,0,31.5,51,1.158,25.0,15.0,15.0,0.3833,0.0,0.0,0.1667,0.0,2.26,0.0,0.0,2.56,0.02,3.9333
12,24.353,24.0,1,250.0,1,0,0,0,0,1,1023,0,154,52,3,197,162,1,4.8567,0,100,1.0,0,31.5,45,0.516,24.0,16.0,16.0,0.3833,0.0,0.0,0.1667,0.0,2.31,0.0,0.0,1.28,0.0667,1.2
13,26.268,24.0,1,250.0,1,0,0,0,0,1,1023,0,154,54,-4,197,153,1,0.36,0,100,0.18,0,11.41,54,0.906,31.0,9.0,9.0,0.395,0.0,0.0,0.15,0.01167,0.0,0.0,0.0,0.0,0.06,0.3
14,28.6,32.0,1,250.0,1,0,0,0,0,1,1023,0,921,53,-1,196,111,1,5.3483,0,100,1.0,0,31.5,44,0.434,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00023,0.08,0.0,0.0,3.835,0.0333,1.4
15,30.656,255.0,1,250.0,1,0,0,0,0,1,1023,0,154,53,-8,198,101,1,6.4583,0,100,1.0,0,31.5,69,0.534,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00023,2.23,0.0,0.0,3.835,0.06,0.3333
16,32.626,255.0,1,250.0,1,0,0,0,0,1,1023,0,921,51,-10,200,43,1,5.8083,0,100,1.0,0,31.5,63,0.761,58.0,18.0,18.0,0.3833,0.0,0.0,0.1667,-0.00022,0.0,0.0,0.0,3.835,0.04,1.9333
17,34.9,76.0,1,250.0,1,0,0,0,0,1,1023,0,666,48,-8,199,354,1,4.7383,0,100,1.0,0,31.5,61,0.565,25.0,15.0,15.0,0.3833,0.0,0.0,0.1667,-0.00022,1.79,0.0,0.0,1.275,0.04,1.6333
18,36.825,25.0,1,250.0,1,0,0,0,0,1,1023,0,154,51,-8,198,309,1,4.5967,0,100,1.0,0,31.5,56,0.557,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00022,0.51,0.0,0.0,2.56,0.0267,1.5
19,38.95,65.0,1,250.0,1,0,0,0,0,1,1023,0,154,48,-7,197,277,1,1.5,0,100,0.75,0,25.375,58,1.192,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00021,0.4,0.0,0.0,0.0,0.0333,1.0667
20,41.731,65.0,1,250.0,1,0,0,0,0,1,1023,0,153,53,-14,198,239,1,1.3583,0,100,0.679,0,23.639,55,0.671,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00021,0.0,0.0,0.0,0.005,0.0867,1.2667
21,43.827,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,49,-4,199,238,1,3.3183,0,100,1.0,0,31.5,66,0.788,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.0002,1.9,0.0,0.0,1.285,0.1,0.0333
22,45.926,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,50,-4,197,184,1,1.82,0,100,0.91,0,29.295,66,1.058,25.0,15.0,15.0,0.3833,0.0,0.0,0.1667,-0.0002,0.0,0.0,0.0,0.0,0.02,1.8
23,48.501,27.0,1,250.0,1,0,0,0,0,1,1023,0,154,55,-7,199,112,1,6.0267,0,100,1.0,0,31.5,51,0.642,27.0,13.0,13.0,0.3833,0.0,0.0,0.1667,-0.00019,2.28,0.0,0.0,1.28,0.0667,2.4
24,50.577,27.0,1,250.0,1,0,0,0,0,1,1023,0,410,50,-7,197,108,1,1.46,0,100,0.73,0,24.885,56,1.081,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00019,0.0,0.0,0.0,1.28,0.0467,0.1333
25,53.111,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,52,-9,198,103,1,3.76,0,100,1.0,0,31.5,67,1.02,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00019,2.28,0.0,0.0,1.28,0.0333,0.1667
26,55.576,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,52,-10,196,31,1,3.7,0,100,1.0,0,31.5,42,0.744,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00018,0.0,0.0,0.0,1.28,0.02,2.4
27,57.801,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,49,-9,198,30,1,0.0733,0,100,0.037,1,7.898,48,0.457,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00018,0.0,0.0,0.0,0.0,0.04,0.0333
28,59.851,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,50,-8,198,30,1,1.2933,0,100,0.647,0,22.843,41,0.602,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00018,0.0,0.0,0.0,1.28,0.0133,0.0
29,61.801,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,49,-9,198,30,1,1.2933,0,100,0.647,0,22.843,51,1.069,68.0,28.0,28.0,0.3833,0.0,0.0,0.1667,-0.00017,0.0,0.0,0.0,1.28,0.0133,0.0
30,64.051,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,49,-10,198,29,1,1.32,0,100,0.66,0,23.17,66,1.179,34.0,6.0,6.0,0.43,0.0,0.0,0.1,0.0465,0.0,0.0,0.0,1.28,0.0067,0.0333
31,66.746,255.0,1,250.0,1,0,0,0,0,1,1023,0,921,49,-11,197,324,1,3.455,0,100,1.0,0,31.5,64,0.9,64.0,24.0,24.0,0.3833,0.0,0.0,0.1667,-0.0011,0.0,0.0,0.0,1.275,0.0133,2.1667
32,69.051,63.0,1,250.0,1,0,0,0,0,1,1023,0,922,49,1,198,248,1,4.545,0,100,1.0,0,31.5,62,0.923,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00108,1.92,0.0,0.0,0.005,0.0867,2.5333
33,71.326,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,52,-3,196,203,1,6.04,0,100,1.0,0,31.5,70,0.808,26.0,14.0,14.0,0.3833,0.0,0.0,0.1667,-0.00106,1.92,0.0,0.0,2.56,0.06,1.5
34,73.501,26.0,1,250.0,1,0,0,0,0,1,1023,0,410,55,-8,198,134,1,4.6567,0,100,1.0,0,31.5,61,0.808,28.0,12.0,12.0,0.3833,0.0,0.0,0.1667,-0.00103,2.29,0.0,0.0,0.0,0.0667,2.3
35,75.751,30.0,1,250.0,1,0,0,0,0,1,1023,0,666,50,-6,197,110,1,2.1733,0,100,1.0,0,31.5,42,0.702,31.0,9.0,9.0,0.395,0.0,0.0,0.15,0.01065,0.04,0.0,0.0,1.28,0.0533,0.8
36,78.001,31.0,1,250.0,1,0,0,0,0,1,1023,0,666,50,-6,198,107,1,0.1167,0,100,0.058,1,8.43,61,0.453,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00123,0.01,0.0,0.0,0.0,0.0067,0.1
37,79.9,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,48,-6,198,91,1,2.7867,0,100,1.0,0,31.5,49,0.552,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.0012,2.24,0.0,0.0,0.0,0.0133,0.5333
38,81.852,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,52,-8,198,90,1,1.3533,0,100,0.677,0,23.578,40,0.547,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00118,0.0,0.0,0.0,1.28,0.04,0.0333
39,83.801,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,52,-8,197,90,1,0.0067,0,100,0.003,1,7.082,41,0.829,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00115,0.0,0.0,0.0,0.0,0.0067,0.0
40,86.169,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,52,-8,198,90,1,0.0067,0,100,0.003,2,7.082,43,0.891,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00113,0.0,0.0,0.0,0.0,0.0067,0.0
41,88.433,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,52,-8,197,90,1,0.0067,0,0,0.003,3,7.082,70,0.632,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00111,0.0,0.0,0.0,0.0,0.0067,0.0
42,90.476,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,48,-6,200,92,1,0.1267,0,0,0.063,4,8.552,44,1.02,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00109,0.0,0.0,0.0,0.0,0.06,0.0667
43,92.956,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,46,-7,199,93,1,0.06,0,0,1.0,5,31.5,42,0.457,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00106,0.0,0.0,0.0,0.0,0.0267,0.0333
44,94.751,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,45,-6,199,93,1,0.0133,0,0,1.0,6,31.5,57,1.152,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00104,0.0,0.0,0.0,0.0,0.0133,0.0
45,97.301,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,46,-8,199,102,1,0.32,0,0,0.16,0,10.92,50,1.121,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00102,0.0,0.0,0.0,0.0,0.02,0.3
46,99.83,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,46,-6,199,102,1,0.0133,0,0,0.007,1,7.163,61,0.744,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.001,0.0,0.0,0.0,0.0,0.0133,0.0
47,101.851,255.0,1,250.0,1,0,0,0,0,1,1023,0,922,45,-1,199,109,1,2.8333,0,0,1.0,0,31.5,40,0.575,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00098,0.0,0.0,0.0,2.56,0.04,0.2333
48,103.905,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,47,-5,199,109,1,2.6,0,0,1.0,0,31.5,60,0.845,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00096,0.0,0.0,0.0,2.56,0.04,0.0
49,106.152,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,46,-1,199,119,1,0.3667,0,0,0.183,0,11.492,42,0.871,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00094,0.0,0.0,0.0,0.0,0.0333,0.3333
50,108.633,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,46,-4,199,120,1,0.0533,0,0,0.027,1,7.653,42,0.888,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00092,0.0,0.0,0.0,0.0,0.02,0.0333
51,111.027,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,46,-4,199,120,1,1.28,0,0,0.64,0,22.68,41,0.765,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00091,0.0,0.0,0.0,1.28,0.0,0.0
52,113.052,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,46,-4,199,120,1,1.28,0,0,0.64,0,22.68,58,0.47,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00089,0.0,0.0,0.0,1.28,0.0,0.0
53,115.126,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,44,-3,199,123,1,1.4,0,0,0.7,0,24.15,40,0.765,27.0,13.0,13.0,0.3833,0.0,0.0,0.1667,-0.00087,0.0,0.0,0.0,1.28,0.02,0.1
54,117.391,27.0,1,250.0,1,0,0,0,0,1,1023,0,410,45,-5,199,124,1,3.6133,0,0,1.0,0,31.5,54,0.801,31.0,9.0,9.0,0.395,0.0,0.0,0.15,0.01081,2.28,0.0,0.0,1.28,0.02,0.0333
55,119.41,30.0,1,250.0,1,0,0,0,0,1,1023,0,410,45,-5,199,125,1,0.0633,0,0,0.032,1,7.775,44,0.556,31.0,9.0,9.0,0.395,0.0,0.0,0.15,0.0106,0.03,0.0,0.0,0.0,0.0,0.0333
56,121.31,30.0,1,250.0,1,0,0,0,0,1,1023,0,410,45,-5,199,125,1,0.0,0,0,0.0,2,7.0,53,0.526,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00128,0.0,0.0,0.0,0.0,0.0,0.0
57,123.028,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,45,-5,200,126,1,2.29,0,0,1.0,0,31.5,52,0.931,27.0,13.0,13.0,0.3833,0.0,0.0,0.1667,-0.00126,2.25,0.0,0.0,0.0,0.0067,0.0333
58,125.379,26.0,1,250.0,1,0,0,0,0,1,1023,0,410,45,-4,199,127,1,2.3367,0,0,1.0,0,31.5,52,1.019,25.0,15.0,15.0,0.3833,0.0,0.0,0.1667,-0.00123,2.29,0.0,0.0,0.0,0.0133,0.0333
59,127.827,14.0,1,250.0,1,0,0,0,0,1,1023,0,410,44,-4,199,130,1,0.2267,0,0,0.113,0,9.777,49,0.679,25.0,15.0,15.0,0.3833,0.0,0.0,0.1667,-0.00121,0.12,0.0,0.0,0.0,0.0067,0.1
60,130.077,14.0,1,250.0,1,0,0,0,0,1,1023,0,410,44,-4,199,130,1,0.0,0,0,0.0,1,7.0,45,0.88,15.0,25.0,25.0,0.3833,0.0,0.0,0.1667,-0.00118,0.0,0.0,0.0,0.0,0.0,0.0
61,132.226,14.0,1,250.0,1,0,0,0,0,1,1023,0,410,44,-8,199,130,1,0.0267,0,0,0.013,2,7.327,44,0.518,14.0,26.0,26.0,0.3833,0.0,0.0,0.1667,-0.00116,0.0,0.0,0.0,0.0,0.0267,0.0
62,134.386,14.0,1,250.0,1,0,0,0,0,1,1023,0,410,44,-5,200,130,1,0.0267,0,0,0.013,3,7.327,50,0.493,15.0,25.0,25.0,0.3833,0.0,0.0,0.1667,-0.00113,0.0,0.0,0.0,0.0,0.0267,0.0
63,136.277,14.0,1,250.0,1,0,0,0,0,1,1023,0,410,43,-4,199,131,1,0.0533,0,0,0.027,4,7.653,68,0.697,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00111,0.0,0.0,0.0,0.0,0.02,0.0333
64,138.277,255.0,1,33.70999312316211,1,0,0,0,0,1,1023,0,666,45,-5,199,120,1,8.4025,0,0,1.0,0,31.5,43,0.85,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00109,2.41,4.3258,0.0,1.28,0.02,0.3667
65,140.727,255.0,1,34.340140987172255,1,0,0,0,0,1,1023,0,410,44,-4,199,120,1,1.3059,0,0,0.653,0,22.997,65,1.121,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00107,0.0,0.0126,0.0,1.28,0.0133,0.0
66,143.252,255.0,1,32.547227745205966,1,0,0,0,0,1,1023,0,410,44,-4,199,120,1,0.0359,0,0,0.018,1,7.44,63,0.884,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00105,0.0,0.0359,0.0,0.0,0.0,0.0
67,145.502,255.0,1,33.70999312316211,1,0,0,0,0,1,1023,0,410,44,-4,200,119,1,0.0633,0,0,0.032,2,7.775,42,0.851,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00103,0.0,0.0233,0.0,0.0,0.0067,0.0333
68,147.802,255.0,1,33.40765523905305,1,0,0,0,0,1,1023,0,410,44,-4,199,120,1,0.046,0,0,0.023,3,7.564,46,0.415,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00101,0.0,0.006,0.0,0.0,0.0067,0.0333
69,149.536,255.0,1,33.70999312316211,1,0,0,0,0,1,1023,0,410,44,-5,200,120,1,0.0194,0,0,0.01,4,7.238,63,0.502,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00099,0.0,0.006,0.0,0.0,0.0133,0.0
70,151.587,255.0,1,34.020690871988585,1,0,0,0,0,1,1023,0,410,44,-5,200,120,1,0.0062,0,0,1.0,5,31.5,70,0.81,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00097,0.0,0.0062,0.0,0.0,0.0,0.0
71,153.711,255.0,1,43.51941398892446,1,0,0,0,0,1,1023,0,410,44,-5,196,120,1,0.2166,0,0,0.108,0,9.653,66,0.78,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00095,0.0,0.19,0.0,0.0,0.0267,0.0
72,156.032,255.0,1,46.42383454426297,1,0,0,0,0,1,1023,0,410,43,-4,199,120,1,0.0914,0,0,0.046,1,8.12,53,0.518,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00093,0.0,0.0581,0.0,0.0,0.0333,0.0
73,158.004,255.0,1,47.2455591261534,1,0,0,0,0,1,1023,0,410,44,-5,200,120,1,0.0364,0,0,0.018,2,7.446,60,1.132,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00091,0.0,0.0164,0.0,0.0,0.02,0.0
74,160.603,255.0,1,47.2455591261534,1,0,0,0,0,1,1023,0,410,43,-4,200,119,1,0.0467,0,0,0.023,3,7.572,68,0.61,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00089,0.0,0.0,0.0,0.0,0.0133,0.0333
75,162.611,255.0,1,52.1286035142687,1,0,0,0,0,1,1023,0,410,43,-5,200,120,1,0.1377,0,0,0.069,4,8.687,61,0.953,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00087,0.0,0.0977,0.0,0.0,0.0067,0.0333
76,164.928,255.0,1,53.30017908890261,1,0,0,0,0,1,1023,0,410,43,-4,200,120,1,0.0301,0,0,1.0,5,31.5,56,0.718,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00086,0.0,0.0234,0.0,0.0,0.0067,0.0
77,167.23,255.0,1,52.1286035142687,1,0,0,0,0,1,1023,0,410,43,-4,200,120,1,0.0234,0,0,1.0,6,31.5,49,0.658,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00084,0.0,0.0234,0.0,0.0,0.0,0.0
78,169.255,255.0,1,53.30017908890261,1,0,0,0,0,1,1023,0,410,44,-4,199,120,1,0.0368,0,0,1.0,7,31.5,55,1.047,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00082,0.0,0.0234,0.0,0.0,0.0133,0.0
79,172.002,255.0,1,53.30017908890261,1,0,0,0,0,1,1023,0,666,44,-4,200,120,1,1.2867,0,0,0.643,0,22.762,55,0.847,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.0008,0.0,0.0,0.0,1.28,0.0067,0.0
80,174.302,255.0,1,53.30017908890261,1,0,0,0,0,1,1023,0,410,44,-4,200,119,1,1.3133,0,0,0.657,0,23.088,53,1.058,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00079,0.0,0.0,0.0,1.28,0.0,0.0333
81,176.803,255.0,1,53.30017908890261,1,0,0,0,0,1,1023,0,410,44,-4,200,120,1,0.0333,0,-25,0.017,1,7.408,62,0.867,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00077,0.0,0.0,0.0,0.0,0.0,0.0333
82,179.002,255.0,1,53.30017908890261,1,0,0,0,0,1,1023,0,410,44,-5,200,120,1,0.0067,0,-25,0.003,2,7.082,52,1.146,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00076,0.0,0.0,0.0,0.0,0.0067,0.0
83,181.602,255.0,1,53.30017908890261,1,0,0,0,0,1,1023,0,410,44,-4,200,121,1,0.04,0,-25,0.02,3,7.49,61,0.879,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00074,0.0,0.0,0.0,0.0,0.0067,0.0333
84,183.925,255.0,1,54.5544725589981,1,0,0,0,0,1,1023,0,410,44,-3,200,119,1,0.0984,0,-25,0.049,4,8.205,52,0.584,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00073,0.0,0.0251,0.0,0.0,0.0067,0.0667
85,185.707,255.0,1,53.30017908890261,1,0,0,0,0,1,1023,0,666,43,-4,203,120,1,1.3718,0,-25,0.686,0,23.805,65,0.809,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00071,0.0,0.0251,0.0,1.28,0.0333,0.0333
86,188.077,255.0,1,53.30017908890261,1,0,0,0,0,1,1023,0,410,44,-3,200,120,1,1.3133,0,-25,0.657,0,23.088,40,1.044,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.0007,0.0,0.0,0.0,1.28,0.0333,0.0
87,190.453,255.0,1,53.30017908890261,1,0,0,0,0,1,1023,0,410,44,-4,200,119,1,0.04,0,-25,0.02,1,7.49,67,1.121,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00068,0.0,0.0,0.0,0.0,0.0067,0.0333
88,193.067,255.0,1,55.90169943749474,1,0,0,0,0,1,1023,0,410,43,-1,203,120,1,0.132,0,-25,0.066,2,8.617,47,1.149,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00067,0.0,0.052,0.0,0.0,0.0467,0.0333
89,195.805,255.0,1,54.5544725589981,1,0,0,0,0,1,1023,0,410,47,-8,203,120,1,0.1003,0,-25,0.05,3,8.229,68,0.804,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00066,0.0,0.0269,0.0,0.0,0.0733,0.0
90,198.102,255.0,1,54.5544725589981,1,0,0,0,0,1,1023,0,666,44,-4,203,120,1,1.3267,0,-25,0.663,0,23.252,41,0.975,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00064,0.0,0.0,0.0,1.28,0.0467,0.0
91,200.703,255.0,1,54.5544725589981,1,0,0,0,0,1,1023,0,666,44,-4,200,120,1,0.02,0,-25,0.01,1,7.245,53,0.603,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00063,0.0,0.0,0.0,0.0,0.02,0.0
92,202.828,255.0,1,54.5544725589981,1,0,0,0,0,1,1023,0,410,44,-4,200,119,1,1.3133,0,-25,0.657,0,23.088,61,0.813,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00062,0.0,0.0,0.0,1.28,0.0,0.0333
93,205.052,255.0,1,55.90169943749474,1,0,0,0,0,1,1023,0,666,43,-3,200,120,1,1.3536,0,-25,0.677,0,23.582,66,1.196,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00061,0.0,0.0269,0.0,1.28,0.0133,0.0333
94,207.578,255.0,1,54.5544725589981,1,0,0,0,0,1,1023,0,666,47,-5,200,120,1,0.0669,0,-25,0.033,1,7.82,41,0.581,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00059,0.0,0.0269,0.0,0.0,0.04,0.0
95,209.53,255.0,1,55.90169943749474,1,0,0,0,0,1,1023,0,410,44,-4,200,120,1,1.3336,0,-25,0.667,0,23.337,49,1.087,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00058,0.0,0.0269,0.0,1.28,0.0267,0.0
96,212.029,255.0,1,55.90169943749474,1,0,0,0,0,1,1023,0,410,44,-4,199,120,1,0.0067,0,-25,0.003,1,7.082,42,1.03,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00057,0.0,0.0,0.0,0.0,0.0067,0.0
97,214.604,255.0,1,55.90169943749474,1,0,0,0,0,1,1023,0,410,44,-4,199,120,1,0.0,0,-25,0.0,2,7.0,68,1.186,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00056,0.0,0.0,0.0,0.0,0.0,0.0
98,217.278,255.0,1,55.90169943749474,1,0,0,0,0,1,1023,0,410,44,-4,199,120,1,0.0,0,-25,0.0,3,7.0,65,0.803,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00055,0.0,0.0,0.0,0.0,0.0,0.0
99,219.524,255.0,1,55.90169943749474,1,0,0,0,0,1,1023,0,410,44,-4,199,120,1,0.0,0,-25,0.0,4,7.0,49,1.141,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00054,0.0,0.0,0.0,0.0,0.0,0.0
100,222.052,255.0,1,55.90169943749474,1,0,0,0,0,1,1023,0,410,44,-4,199,120,1,0.0,0,-25,1.0,5,31.5,50,1.098,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,-0.00053,0.0,0.0,0.0,0.0,0.0,0.0
