ciclo,t,ultra_cm,ultra_vivo,eopd_raw,eopd_vivo,color_r,color_g,color_b,color_luminosidad,color_vivo,touch_raw,touch_presionado,gyro_raw,accel_x,accel_y,accel_z,compass_deg,smux_vivo,cambio_total,veto_reactivo,volante_elegido,D_actual,contador_sin_cambio,tiempo_deliberacion_s,potencia,duracion_s,ultra_cm_post,error_post,e_R,prop_bienestar,prop_vigor,prop_acople,prop_malestar,prop_dW,d_ultra,d_eopd,d_color,d_gyro,d_accel,d_compass
14,27.826,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,62,-6,195,43,1,0.0133,0,25,0.007,4,7.163,42,0.795,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0133,0.0
15,30.026,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,62,-6,195,43,1,1.28,0,25,0.64,0,22.68,61,0.956,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,1.28,0.0,0.0
16,32.509,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,62,-6,195,43,1,1.28,0,25,0.64,0,22.68,57,0.821,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,1.28,0.0,0.0
17,34.75,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,62,-6,195,43,1,0.0,0,25,0.0,1,7.0,48,0.887,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,36.976,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,62,-6,195,43,1,0.0,0,25,0.0,2,7.0,47,0.914,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,39.25,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,62,-6,195,43,1,0.0,0,25,0.0,3,7.0,59,0.883,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,41.626,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,62,-6,195,43,1,1.28,0,25,0.64,0,22.68,40,0.767,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,1.28,0.0,0.0
21,43.65,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,62,-6,195,43,1,1.28,0,25,0.64,0,22.68,56,0.538,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,1.28,0.0,0.0
22,45.591,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,62,-6,195,43,1,0.0,0,25,0.0,1,7.0,51,1.096,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,48.084,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,62,-6,195,43,1,0.0,0,25,0.0,2,7.0,59,0.881,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,50.102,255.0,1,250.0,1,0,0,0,0,1,1023,0,666,62,-6,195,43,1,0.0,0,25,0.0,3,7.0,68,0.678,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,52.15,255.0,1,250.0,1,0,0,0,0,1,1023,0,410,62,-8,195,37,1,1.4933,0,25,0.747,0,25.293,57,0.808,255.0,215.0,215.0,0.3833,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,1.28,0.0133,0.2
