t,PowerBase,PowerLive,beta,sigma,noise,band,Th,Tc,Tf,envTemp,stress,LF,deltaStruct,A_sys_env,LF_exp,Lambda_exp,Regimen
48140,0.685,0.704,0.543,1.7,0.0058,1.710,28.814,29.347,27.204,21.113,0.069,0.003,0.888,0.794,0.029,0.001,RÍGIDO
48145,0.695,0.713,0.543,1.7,0.0058,1.720,28.724,29.258,27.157,20.933,0.070,0.003,0.885,0.793,0.028,0.001,RÍGIDO
48150,0.705,0.723,0.543,1.7,0.0058,1.730,28.636,29.170,27.101,20.752,0.071,0.003,0.880,0.792,0.028,0.001,RÍGIDO
48155,0.715,0.733,0.543,1.7,0.0058,1.740,28.551,29.083,27.035,20.570,0.073,0.003,0.875,0.792,0.028,0.001,RÍGIDO
48160,0.725,0.743,0.543,1.7,0.0058,1.750,28.464,28.996,26.938,20.389,0.074,0.003,0.871,0.793,0.028,0.001,RÍGIDO
48165,0.735,0.753,0.543,1.7,0.0058,1.760,28.378,28.909,26.857,20.207,0.075,0.003,0.867,0.794,0.028,0.001,RÍGIDO
48170,0.745,0.763,0.543,1.7,0.0058,1.770,28.292,28.823,26.783,20.024,0.076,0.003,0.863,0.794,0.028,0.001,RÍGIDO
48175,0.755,0.774,0.543,1.7,0.0058,1.780,28.210,28.739,26.742,19.842,0.077,0.003,0.857,0.793,0.029,0.001,RÍGIDO
48180,0.765,0.784,0.543,1.7,0.0058,1.790,28.130,28.655,26.673,19.659,0.079,0.003,0.852,0.793,0.029,0.001,RÍGIDO
48185,0.775,0.795,0.543,1.7,0.0058,1.800,28.051,28.573,26.618,19.475,0.080,0.003,0.846,0.792,0.030,0.001,RÍGIDO
48190,0.785,0.806,0.543,1.7,0.0058,1.810,27.975,28.493,26.573,19.292,0.081,0.004,0.839,0.790,0.031,0.001,RÍGIDO
48195,0.773,0.817,0.543,1.7,0.0058,1.830,27.898,28.413,26.492,19.108,0.083,0.004,0.833,0.791,0.032,0.001,SOBRECARGA
48200,0.761,0.826,0.543,1.7,0.0058,1.850,27.821,28.333,26.409,18.924,0.084,0.010,0.827,0.792,0.053,0.003,SOBRECARGA
48205,0.749,0.833,0.543,1.7,0.0058,1.870,27.744,28.253,26.334,18.739,0.085,0.018,0.822,0.794,0.072,0.005,SOBRECARGA
48210,0.737,0.838,0.543,1.7,0.0058,1.890,27.668,28.174,26.273,18.555,0.087,0.027,0.817,0.794,0.089,0.007,SOBRECARGA
48215,0.725,0.842,0.543,1.7,0.0058,1.910,27.594,28.097,26.222,18.370,0.088,0.036,0.811,0.794,0.105,0.009,SOBRECARGA
48220,0.713,0.844,0.543,1.7,0.0058,1.930,27.521,28.020,26.164,18.184,0.089,0.045,0.805,0.795,0.119,0.011,SOBRECARGA
48225,0.701,0.845,0.543,1.7,0.0058,1.950,27.449,27.944,26.094,17.999,0.091,0.054,0.800,0.796,0.132,0.013,SOBRECARGA
48230,0.689,0.845,0.543,1.7,0.0058,1.970,27.376,27.867,26.019,17.813,0.092,0.063,0.795,0.797,0.144,0.015,SOBRECARGA
48235,0.679,0.843,0.543,1.7,0.0058,1.921,27.302,27.791,25.933,17.627,0.093,0.071,0.790,0.798,0.154,0.017,TRANSICIÓN
48240,0.669,0.841,0.543,1.7,0.0058,1.874,27.226,27.713,25.833,17.440,0.094,0.077,0.788,0.794,0.162,0.018,TRANSICIÓN
48245,0.660,0.838,0.543,1.7,0.0058,1.827,27.147,27.633,25.717,17.254,0.095,0.083,0.787,0.789,0.169,0.019,TRANSICIÓN
48250,0.651,0.834,0.543,1.7,0.0058,1.788,27.066,27.552,25.615,17.067,0.096,0.087,0.786,0.785,0.174,0.020,TRANSICIÓN
48255,0.642,0.830,0.543,1.7,0.0058,1.750,26.980,27.468,25.472,16.880,0.097,0.091,0.789,0.783,0.179,0.021,TRANSICIÓN
48260,0.634,0.825,0.543,1.7,0.0058,1.712,26.888,27.381,25.319,16.692,0.098,0.095,0.793,0.782,0.183,0.022,TRANSICIÓN
48265,0.626,0.820,0.543,1.7,0.0058,1.674,26.792,27.290,25.170,16.504,0.098,0.098,0.800,0.780,0.186,0.024,TRANSICIÓN
48270,0.619,0.814,0.543,1.7,0.0058,1.636,26.695,27.199,25.065,16.316,0.098,0.100,0.806,0.775,0.188,0.025,TRANSICIÓN
48275,0.612,0.809,0.543,1.7,0.0058,1.608,26.596,27.106,24.933,16.128,0.099,0.101,0.813,0.773,0.190,0.025,TRANSICIÓN
48280,0.605,0.803,0.543,1.7,0.0058,1.580,26.494,27.011,24.814,15.940,0.100,0.102,0.820,0.771,0.191,0.026,TRANSICIÓN
48285,0.599,0.797,0.543,1.7,0.0058,1.551,26.388,26.913,24.649,15.751,0.101,0.103,0.829,0.771,0.192,0.027,TRANSICIÓN
48290,0.593,0.790,0.543,1.7,0.0058,1.522,26.281,26.814,24.541,15.562,0.101,0.102,0.837,0.767,0.191,0.028,TRANSICIÓN
48295,0.587,0.784,0.543,1.7,0.0058,1.494,26.171,26.713,24.384,15.373,0.102,0.102,0.847,0.767,0.191,0.028,TRANSICIÓN
48300,0.582,0.778,0.543,1.7,0.0058,1.466,26.056,26.608,24.218,15.184,0.102,0.102,0.858,0.767,0.191,0.029,TRANSICIÓN
48305,0.577,0.771,0.543,1.7,0.0058,1.446,25.938,26.501,24.072,14.994,0.103,0.101,0.869,0.767,0.189,0.030,TRANSICIÓN
48310,0.572,0.765,0.543,1.7,0.0058,1.427,25.820,26.394,23.951,14.805,0.103,0.099,0.880,0.766,0.188,0.031,TRANSICIÓN
48315,0.567,0.759,0.543,1.7,0.0058,1.408,25.698,26.283,23.777,14.615,0.104,0.098,0.891,0.768,0.187,0.031,TRANSICIÓN
48320,0.563,0.753,0.543,1.7,0.0058,1.389,25.574,26.171,23.637,14.424,0.104,0.097,0.903,0.768,0.186,0.033,TRANSICIÓN
48325,0.559,0.746,0.543,1.7,0.0058,1.370,25.448,26.056,23.488,14.234,0.105,0.095,0.914,0.768,0.183,0.033,TRANSICIÓN
48330,0.555,0.740,0.543,1.7,0.0058,1.352,25.320,25.941,23.342,14.043,0.105,0.094,0.926,0.769,0.181,0.034,TRANSICIÓN
48335,0.551,0.734,0.543,1.7,0.0058,1.333,25.193,25.825,23.222,13.853,0.106,0.092,0.936,0.767,0.179,0.034,TRANSICIÓN
48340,0.547,0.729,0.543,1.7,0.0058,1.314,25.064,25.707,23.062,13.662,0.106,0.090,0.946,0.768,0.178,0.035,TRANSICIÓN
48345,0.544,0.723,0.543,1.7,0.0058,1.294,24.931,25.586,22.902,13.470,0.107,0.089,0.957,0.770,0.176,0.036,TRANSICIÓN
48350,0.541,0.717,0.543,1.7,0.0058,1.276,24.797,25.464,22.739,13.279,0.107,0.087,0.968,0.771,0.173,0.037,TRANSICIÓN
48355,0.538,0.712,0.543,1.7,0.0058,1.266,24.660,25.340,22.581,13.087,0.107,0.084,0.979,0.774,0.171,0.038,TRANSICIÓN
48360,0.535,0.706,0.543,1.7,0.0058,1.256,24.525,25.216,22.465,12.896,0.108,0.083,0.989,0.774,0.168,0.039,TRANSICIÓN
48365,0.532,0.701,0.543,1.7,0.0058,1.247,24.390,25.091,22.321,12.704,0.109,0.081,0.998,0.776,0.166,0.039,TRANSICIÓN
48370,0.529,0.696,0.543,1.7,0.0058,1.238,24.254,24.966,22.184,12.512,0.109,0.079,1.006,0.778,0.164,0.040,TRANSICIÓN
48375,0.527,0.691,0.543,1.7,0.0058,1.228,24.116,24.839,22.020,12.319,0.110,0.078,1.015,0.781,0.162,0.040,TRANSICIÓN
48380,0.525,0.687,0.543,1.7,0.0058,1.218,23.980,24.712,21.906,12.127,0.110,0.075,1.022,0.781,0.160,0.041,TRANSICIÓN
48385,0.523,0.682,0.543,1.7,0.0058,1.209,23.843,24.585,21.762,11.934,0.111,0.073,1.029,0.783,0.157,0.041,TRANSICIÓN
48390,0.521,0.678,0.543,1.7,0.0058,1.200,23.706,24.457,21.629,11.741,0.111,0.071,1.035,0.784,0.155,0.042,TRANSICIÓN
48395,0.519,0.674,0.543,1.7,0.0058,1.190,23.568,24.328,21.473,11.549,0.112,0.070,1.041,0.788,0.153,0.042,TRANSICIÓN
48400,0.529,0.669,0.543,1.7,0.0058,1.200,23.429,24.197,21.323,11.355,0.113,0.068,1.047,0.790,0.150,0.043,RÍGIDO
48405,0.539,0.667,0.543,1.7,0.0058,1.210,23.289,24.066,21.176,11.162,0.113,0.058,1.053,0.796,0.138,0.039,RÍGIDO
48410,0.549,0.665,0.543,1.7,0.0058,1.220,23.150,23.935,21.047,10.969,0.114,0.050,1.059,0.801,0.126,0.036,RÍGIDO
48415,0.559,0.665,0.543,1.7,0.0058,1.230,23.011,23.804,20.905,10.775,0.114,0.043,1.064,0.806,0.116,0.032,RÍGIDO
48420,0.569,0.665,0.543,1.7,0.0058,1.240,22.873,23.673,20.781,10.582,0.115,0.037,1.067,0.810,0.106,0.028,RÍGIDO
48425,0.579,0.667,0.543,1.7,0.0058,1.250,22.737,23.543,20.674,10.388,0.116,0.031,1.070,0.812,0.098,0.025,RÍGIDO
48430,0.589,0.669,0.543,1.7,0.0058,1.260,22.604,23.414,20.559,10.194,0.117,0.027,1.071,0.815,0.090,0.022,RÍGIDO
48435,0.599,0.672,0.543,1.7,0.0058,1.270,22.471,23.285,20.447,10.000,0.117,0.023,1.072,0.818,0.083,0.019,RÍGIDO
48440,0.609,0.676,0.543,1.7,0.0058,1.280,22.340,23.158,20.332,9.806,0.118,0.020,1.071,0.821,0.077,0.017,RÍGIDO
48445,0.619,0.680,0.543,1.7,0.0058,1.290,22.210,23.030,20.204,9.612,0.119,0.018,1.071,0.824,0.071,0.015,RÍGIDO
48450,0.629,0.685,0.543,1.7,0.0058,1.300,22.082,22.904,20.111,9.417,0.120,0.015,1.069,0.825,0.066,0.014,RÍGIDO
48455,0.639,0.691,0.543,1.7,0.0058,1.310,21.957,22.779,20.010,9.223,0.121,0.013,1.067,0.827,0.062,0.012,RÍGIDO
48460,0.649,0.697,0.543,1.7,0.0058,1.320,21.831,22.655,19.886,9.028,0.122,0.012,1.064,0.830,0.058,0.011,RÍGIDO
48465,0.659,0.703,0.543,1.7,0.0058,1.330,21.707,22.531,19.778,8.833,0.123,0.011,1.061,0.832,0.054,0.010,RÍGIDO
48470,0.669,0.710,0.543,1.7,0.0058,1.340,21.586,22.409,19.689,8.638,0.124,0.010,1.057,0.833,0.051,0.009,RÍGIDO
48475,0.679,0.718,0.543,1.7,0.0058,1.350,21.466,22.287,19.580,8.444,0.125,0.009,1.053,0.835,0.049,0.008,RÍGIDO
48480,0.689,0.725,0.543,1.7,0.0058,1.360,21.348,22.167,19.490,8.249,0.126,0.008,1.048,0.836,0.046,0.007,RÍGIDO
48485,0.699,0.734,0.543,1.7,0.0058,1.370,21.231,22.048,19.390,8.053,0.127,0.007,1.043,0.837,0.045,0.007,RÍGIDO
48490,0.709,0.742,0.543,1.7,0.0058,1.380,21.116,21.930,19.284,7.858,0.128,0.007,1.038,0.839,0.043,0.006,RÍGIDO
48495,0.719,0.751,0.543,1.7,0.0058,1.390,21.001,21.813,19.178,7.663,0.129,0.006,1.033,0.841,0.042,0.006,RÍGIDO
48500,0.729,0.760,0.543,1.7,0.0058,1.400,20.891,21.699,19.131,7.468,0.130,0.006,1.025,0.838,0.041,0.006,RÍGIDO
48505,0.739,0.769,0.543,1.7,0.0058,1.410,20.783,21.585,19.032,7.272,0.132,0.006,1.018,0.840,0.040,0.005,RÍGIDO
48510,0.749,0.778,0.543,1.7,0.0058,1.420,20.675,21.473,18.941,7.077,0.133,0.006,1.011,0.840,0.039,0.005,RÍGIDO
48515,0.759,0.788,0.543,1.7,0.0058,1.430,20.572,21.364,18.886,6.881,0.134,0.006,1.003,0.838,0.039,0.005,RÍGIDO
48520,0.769,0.798,0.543,1.7,0.0058,1.440,20.474,21.258,18.840,6.686,0.136,0.006,0.993,0.836,0.039,0.004,RÍGIDO
48525,0.779,0.808,0.543,1.7,0.0058,1.450,20.377,21.153,18.762,6.490,0.137,0.006,0.983,0.836,0.039,0.004,RÍGIDO
48530,0.789,0.818,0.543,1.7,0.0058,1.460,20.281,21.049,18.678,6.294,0.139,0.006,0.973,0.836,0.039,0.004,RÍGIDO
48535,0.799,0.828,0.543,1.7,0.0058,1.470,20.185,20.946,18.584,6.098,0.140,0.006,0.964,0.837,0.039,0.004,RÍGIDO
48540,0.809,0.839,0.543,1.7,0.0058,1.480,20.093,20.845,18.527,5.903,0.141,0.006,0.954,0.835,0.040,0.004,RÍGIDO
48545,0.819,0.849,0.543,1.7,0.0058,1.490,20.003,20.746,18.468,5.707,0.143,0.006,0.944,0.833,0.040,0.004,RÍGIDO
48550,0.829,0.860,0.543,1.7,0.0058,1.500,19.913,20.648,18.377,5.511,0.144,0.006,0.935,0.834,0.041,0.004,RÍGIDO
48555,0.839,0.871,0.543,1.7,0.0058,1.510,19.826,20.551,18.324,5.315,0.145,0.006,0.925,0.832,0.042,0.004,RÍGIDO
48560,0.849,0.882,0.543,1.7,0.0058,1.520,19.740,20.457,18.257,5.119,0.147,0.007,0.915,0.831,0.043,0.004,RÍGIDO
48565,0.859,0.893,0.543,1.7,0.0058,1.530,19.655,20.362,18.170,4.923,0.148,0.007,0.906,0.832,0.044,0.004,RÍGIDO
48570,0.869,0.904,0.543,1.7,0.0058,1.540,19.571,20.270,18.112,4.727,0.150,0.007,0.897,0.830,0.045,0.004,RÍGIDO
48575,0.879,0.915,0.543,1.7,0.0058,1.550,19.490,20.179,18.058,4.531,0.151,0.008,0.887,0.828,0.046,0.004,RÍGIDO
48580,0.889,0.926,0.543,1.7,0.0058,1.560,19.409,20.089,17.978,4.334,0.153,0.008,0.878,0.828,0.047,0.004,RÍGIDO
48585,0.899,0.937,0.543,1.7,0.0058,1.570,19.328,19.999,17.894,4.138,0.154,0.008,0.870,0.829,0.048,0.004,RÍGIDO
48590,0.909,0.949,0.543,1.7,0.0058,1.580,19.249,19.912,17.843,3.942,0.155,0.009,0.861,0.827,0.050,0.004,RÍGIDO
48595,0.919,0.960,0.543,1.7,0.0058,1.590,19.171,19.825,17.776,3.746,0.157,0.009,0.853,0.826,0.051,0.004,RÍGIDO
48600,0.929,0.971,0.543,1.7,0.0058,1.600,19.095,19.739,17.714,3.550,0.158,0.010,0.845,0.825,0.052,0.005,RÍGIDO
48605,0.939,0.983,0.543,1.7,0.0058,1.610,19.021,19.656,17.666,3.354,0.160,0.010,0.836,0.823,0.054,0.005,RÍGIDO
48610,0.949,0.994,0.543,1.7,0.0058,1.620,18.947,19.573,17.599,3.158,0.161,0.011,0.828,0.822,0.055,0.005,RÍGIDO
48615,0.959,1.006,0.543,1.7,0.0058,1.630,18.876,19.492,17.561,2.962,0.163,0.012,0.819,0.819,0.057,0.005,RÍGIDO
48620,0.969,1.018,0.543,1.7,0.0058,1.640,18.806,19.413,17.505,2.766,0.165,0.012,0.810,0.818,0.059,0.005,RÍGIDO
48625,0.979,1.029,0.543,1.7,0.0058,1.650,18.734,19.332,17.405,2.569,0.166,0.013,0.803,0.819,0.060,0.005,RÍGIDO
48630,0.989,1.041,0.543,1.7,0.0058,1.660,18.661,19.252,17.320,2.373,0.167,0.014,0.797,0.819,0.062,0.005,RÍGIDO
48635,0.999,1.052,0.543,1.7,0.0058,1.670,18.590,19.173,17.274,2.177,0.168,0.014,0.791,0.817,0.063,0.005,RÍGIDO
48640,1.000,1.064,0.543,1.7,0.0058,1.680,18.521,19.095,17.223,1.981,0.170,0.015,0.784,0.815,0.065,0.005,RÍGIDO
48645,1.000,1.075,0.543,1.7,0.0058,1.690,18.451,19.018,17.145,1.785,0.172,0.019,0.779,0.815,0.075,0.007,RÍGIDO
48650,1.000,1.085,0.543,1.7,0.0058,1.700,18.382,18.941,17.087,1.589,0.173,0.025,0.773,0.814,0.085,0.008,RÍGIDO
48655,1.000,1.094,0.543,1.7,0.0058,1.710,18.310,18.864,16.991,1.393,0.175,0.030,0.768,0.815,0.094,0.010,RÍGIDO
48660,1.000,1.103,0.543,1.7,0.0058,1.720,18.238,18.786,16.906,1.197,0.176,0.035,0.765,0.815,0.103,0.011,RÍGIDO
48665,1.000,1.110,0.543,1.7,0.0058,1.730,18.169,18.710,16.870,1.002,0.177,0.039,0.760,0.813,0.110,0.013,RÍGIDO
48670,1.000,1.118,0.543,1.7,0.0058,1.740,18.098,18.634,16.786,0.806,0.179,0.044,0.757,0.813,0.118,0.014,RÍGIDO
48675,1.000,1.124,0.543,1.7,0.0058,1.750,18.025,18.556,16.684,0.610,0.180,0.049,0.754,0.814,0.124,0.015,RÍGIDO
48680,1.000,1.130,0.543,1.7,0.0058,1.760,17.953,18.480,16.622,0.414,0.181,0.053,0.752,0.813,0.130,0.016,RÍGIDO
48685,1.000,1.136,0.543,1.7,0.0058,1.770,17.881,18.404,16.558,0.219,0.182,0.057,0.749,0.813,0.136,0.017,RÍGIDO
48690,0.974,1.141,0.543,1.7,0.0058,1.732,17.810,18.328,16.492,0.023,0.184,0.061,0.747,0.812,0.141,0.018,TRANSICIÓN
48695,0.949,1.143,0.543,1.7,0.0058,1.694,17.738,18.252,16.408,-0.172,0.185,0.083,0.745,0.807,0.169,0.024,TRANSICIÓN
48700,0.926,1.143,0.543,1.7,0.0058,1.655,17.665,18.175,16.314,-0.368,0.187,0.105,0.744,0.802,0.194,0.030,TRANSICIÓN
48705,0.904,1.140,0.543,1.7,0.0058,1.627,17.589,18.097,16.215,-0.563,0.188,0.123,0.744,0.798,0.214,0.035,TRANSICIÓN
48710,0.883,1.136,0.543,1.7,0.0058,1.598,17.509,18.017,16.087,-0.758,0.189,0.140,0.747,0.797,0.232,0.040,TRANSICIÓN
48715,0.863,1.130,0.543,1.7,0.0058,1.570,17.427,17.935,15.988,-0.953,0.190,0.155,0.749,0.793,0.247,0.045,TRANSICIÓN
48720,0.844,1.122,0.543,1.7,0.0058,1.542,17.340,17.850,15.839,-1.149,0.191,0.167,0.754,0.792,0.259,0.048,TRANSICIÓN
48725,0.826,1.113,0.543,1.7,0.0058,1.513,17.250,17.764,15.713,-1.344,0.191,0.178,0.760,0.790,0.269,0.053,TRANSICIÓN
48730,0.809,1.104,0.543,1.7,0.0058,1.484,17.156,17.674,15.573,-1.538,0.192,0.186,0.768,0.789,0.278,0.057,TRANSICIÓN
48735,0.793,1.093,0.543,1.7,0.0058,1.456,17.056,17.580,15.403,-1.733,0.193,0.193,0.777,0.789,0.284,0.061,TRANSICIÓN
48740,0.777,1.082,0.543,1.7,0.0058,1.437,16.951,17.483,15.236,-1.928,0.193,0.198,0.789,0.791,0.289,0.066,TRANSICIÓN
48745,0.762,1.070,0.543,1.7,0.0058,1.418,16.843,17.384,15.094,-2.123,0.193,0.202,0.800,0.791,0.293,0.071,TRANSICIÓN
48750,0.748,1.057,0.543,1.7,0.0058,1.399,16.730,17.281,14.929,-2.317,0.194,0.205,0.813,0.793,0.295,0.075,TRANSICIÓN
48755,0.735,1.045,0.543,1.7,0.0058,1.380,16.611,17.174,14.737,-2.512,0.194,0.206,0.828,0.797,0.297,0.081,TRANSICIÓN
48760,0.722,1.032,0.543,1.7,0.0058,1.361,16.486,17.063,14.551,-2.706,0.194,0.206,0.845,0.800,0.297,0.088,TRANSICIÓN
48765,0.710,1.018,0.543,1.7,0.0058,1.342,16.357,16.948,14.369,-2.900,0.194,0.206,0.862,0.804,0.296,0.095,TRANSICIÓN
48770,0.699,1.005,0.543,1.7,0.0058,1.323,16.227,16.832,14.230,-3.094,0.194,0.204,0.878,0.804,0.295,0.102,TRANSICIÓN
48775,0.688,0.992,0.543,1.7,0.0058,1.304,16.093,16.713,14.047,-3.288,0.195,0.202,0.895,0.808,0.293,0.106,TRANSICIÓN
48780,0.678,0.978,0.543,1.7,0.0058,1.285,15.957,16.591,13.883,-3.482,0.195,0.200,0.912,0.810,0.290,0.114,TRANSICIÓN
48785,0.668,0.965,0.543,1.7,0.0058,1.276,15.816,16.466,13.693,-3.675,0.195,0.196,0.929,0.815,0.287,0.122,TRANSICIÓN
48790,0.659,0.952,0.543,1.7,0.0058,1.266,15.673,16.339,13.525,-3.869,0.195,0.193,0.946,0.820,0.284,0.133,TRANSICIÓN
48795,0.650,0.939,0.543,1.7,0.0058,1.256,15.529,16.211,13.367,-4.062,0.196,0.189,0.962,0.823,0.280,0.142,TRANSICIÓN
48800,0.642,0.927,0.543,1.7,0.0058,1.247,15.381,16.079,13.173,-4.255,0.196,0.185,0.979,0.829,0.277,0.151,TRANSICIÓN
48805,0.634,0.914,0.543,1.7,0.0058,1.238,15.231,15.945,12.994,-4.449,0.196,0.180,0.996,0.835,0.272,0.167,TRANSICIÓN
48810,0.626,0.902,0.543,1.7,0.0058,1.228,15.077,15.807,12.795,-4.641,0.196,0.176,1.013,0.841,0.268,0.184,TRANSICIÓN
48815,0.619,0.890,0.543,1.7,0.0058,1.218,14.920,15.667,12.608,-4.834,0.196,0.172,1.030,0.848,0.264,0.211,TRANSICIÓN
48820,0.612,0.878,0.543,1.7,0.0058,1.209,14.763,15.527,12.453,-5.027,0.196,0.167,1.045,0.851,0.259,0.239,TRANSICIÓN
48825,0.605,0.866,0.543,1.7,0.0058,1.200,14.605,15.384,12.285,-5.219,0.197,0.163,1.060,0.856,0.254,0.262,TRANSICIÓN
