bateria,tag,clave,potencia_base,beta,t_optima,exponente_ptc,sigma,modo,n,r_huella_acoplamiento,r_huella_brecha
bateria,B,0.94|8|0.65|1,0.65,0.94,25,4.1,8,parada,60,0.4097705768129476,0.8749465223474646
bateria,B,0.98|3|0.3|1,0.3,0.98,25,4.1,3,parada,60,0.5141549474420222,0.9509685154753936
bateria,B,0.98|3|0.47|1,0.47,0.98,25,4.1,3,parada,60,0.49575526569218986,0.9178041626025594
bateria,B,0.98|3|0.65|1,0.65,0.98,25,4.1,3,parada,60,0.43269768259242436,0.876876023046848
bateria,B,0.98|5|0.3|1,0.3,0.98,25,4.1,5,parada,60,0.5141549474420222,0.9509685154753936
bateria,B,0.98|5|0.47|1,0.47,0.98,25,4.1,5,parada,60,0.49575526569218986,0.9178041626025594
bateria,B,0.98|5|0.65|1,0.65,0.98,25,4.1,5,parada,60,0.43269768259242436,0.876876023046848
bateria,B,0.98|6.8|0.3|1,0.3,0.98,25,4.1,6.8,parada,60,0.5141549474420222,0.9509685154753936
bateria,B,0.98|6.8|0.47|1,0.47,0.98,25,4.1,6.8,parada,60,0.49575526569218986,0.9178041626025594
bateria,B,0.98|6.8|0.65|1,0.65,0.98,25,4.1,6.8,parada,60,0.43269768259242436,0.876876023046848
bateria,B,0.98|8|0.3|1,0.3,0.98,25,4.1,8,parada,60,0.5141549474420222,0.9509685154753936
bateria,B,0.98|8|0.47|1,0.47,0.98,25,4.1,8,parada,60,0.49575526569218986,0.9178041626025594
bateria,B,0.98|8|0.65|1,0.65,0.98,25,4.1,8,parada,60,0.43269768259242436,0.876876023046848
bateria,B,0.8|3|0.3|2,0.3,0.8,25,4.1,3,parada,60,0.23718808184236362,0.9330017951081899
bateria,B,0.8|3|0.47|2,0.47,0.8,25,4.1,3,parada,60,0.27594690812784145,0.8988762700879753
bateria,B,0.8|3|0.65|2,0.65,0.8,25,4.1,3,parada,60,0.2773712663303873,0.8623085099944711
bateria,B,0.8|5|0.3|2,0.3,0.8,25,4.1,5,parada,60,0.23718808184236362,0.9330017951081899
bateria,B,0.8|5|0.47|2,0.47,0.8,25,4.1,5,parada,60,0.27594690812784145,0.8988762700879753
bateria,B,0.8|5|0.65|2,0.65,0.8,25,4.1,5,parada,60,0.2773712663303873,0.8623085099944711
bateria,B,0.8|6.8|0.3|2,0.3,0.8,25,4.1,6.8,parada,60,0.23718808184236362,0.9330017951081899
bateria,B,0.8|6.8|0.47|2,0.47,0.8,25,4.1,6.8,parada,60,0.27594690812784145,0.8988762700879753
bateria,B,0.8|6.8|0.65|2,0.65,0.8,25,4.1,6.8,parada,60,0.2773712663303873,0.8623085099944711
bateria,B,0.8|8|0.3|2,0.3,0.8,25,4.1,8,parada,60,0.23718808184236362,0.9330017951081899
