semilla,modo,potencia_base,beta,sigma,ruido,banda,t_optima,tc_ptc,exponente_ptc,dia_noche,luminosidad,asent_pasos,asent_ok,pasos_recuperacion,rec_mediana,rec_topes,rec_1,rec_2,rec_3,rec_4,rec_5,recuperacion_completa,tasa_recuperacion,varianza_potencia_viva,autocorrelacion1_potencia_viva,entropia_abs_local,entropia_piso_local,entropia_abs_global,entropia_piso_global,entropia_rel,huella,lambda,acoplamiento,tasa_error,potencia_viva,rango_potencia_viva,banda_potencia_viva,piso_ruido,valores_distintos,multiplicidad,diagnostico,saturacion_sensor
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.9661,150,1,889.0,889,0,889,889,889,889,889,1,0.001125,4.3572e-7,0.99395,0.9544,4.3861,0.5886,4.1462,4.3635,3.0539,24.21753,0.7541,0.001913,0.1151,0.00251,0.00251,0.07748,97,0.2695,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.9797,150,1,915.0,915,0,915,915,915,915,915,1,0.001093,3.6062e-7,0.98081,0.9544,4.3458,0.9544,4.3224,3.9246,3.1901,33.03717,0.7537,0.001634,0.1130,0.00424,0.00424,0.07820,95,0.2686,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.9932,150,1,938.0,938,0,938,938,938,938,938,1,0.001066,1.4984e-6,1.00202,0.9183,4.3712,0.9756,4.0664,4.1501,3.2816,27.60563,0.7498,0.001892,0.1110,0.00404,0.00404,0.07869,96,0.2751,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.0068,150,1,937.0,937,0,937,937,937,937,937,1,0.001067,7.8012e-7,0.99495,0.9264,4.2633,0.8709,4.1255,4.1375,3.4463,32.81318,0.7570,0.001632,0.1095,0.00385,0.00385,0.07490,100,0.2742,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.0203,150,1,905.0,905,0,905,905,905,905,905,1,0.001105,4.7050e-7,0.99784,0.9481,4.3737,0.6098,4.2191,4.0723,3.7113,36.63071,0.7782,0.001580,0.1101,0.00299,0.00299,0.07640,89,0.2740,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.0339,150,1,851.0,851,0,851,851,851,851,851,1,0.001175,7.0065e-7,0.96298,1.0000,4.3805,0.9406,4.0679,4.3692,3.7752,36.66795,0.7752,0.001671,0.1072,0.00358,0.00358,0.07817,101,0.2779,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.0475,150,1,786.0,786,0,786,786,786,786,786,1,0.001272,3.4898e-7,0.97288,0.7049,4.3037,0.7383,4.2673,4.0015,3.8897,37.54292,0.7790,0.001719,0.1056,0.00295,0.00295,0.07657,87,0.2793,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.0610,150,1,722.0,722,0,722,722,722,722,722,1,0.001385,5.0112e-7,0.99029,0.9604,4.3412,0.6303,4.1788,4.1936,4.0402,33.88936,0.7877,0.001804,0.1042,0.00302,0.00302,0.07774,90,0.2813,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.0746,150,1,664.0,664,0,664,664,664,664,664,1,0.001506,2.1227e-7,0.94420,0.9710,4.3820,0.4690,4.1133,4.3038,4.1606,27.76847,0.7927,0.001886,0.1023,0.00275,0.00275,0.07715,93,0.2818,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.0881,150,1,613.0,613,0,613,613,613,613,613,1,0.001631,1.4729e-7,0.98277,0.9007,4.2903,0.2108,4.3012,4.3345,4.2148,31.55229,0.7896,0.001791,0.0998,0.00235,0.00235,0.07887,98,0.2870,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.1017,150,1,570.0,570,0,570,570,570,570,570,1,0.001754,2.6396e-7,0.97784,0.9659,4.3739,0.9054,4.2580,4.2684,4.3360,30.19253,0.7948,0.001797,0.0977,0.00308,0.00308,0.07840,93,0.2870,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.1153,150,1,531.0,531,0,531,531,531,531,531,1,0.001883,4.8843e-7,0.98737,0.9982,4.3340,1.0459,4.1762,4.4298,4.4671,40.04077,0.8014,0.001797,0.0966,0.00393,0.00393,0.07805,104,0.2912,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.1288,150,1,498.0,498,0,498,498,498,498,498,1,0.002008,8.4116e-7,1.00189,0.9950,4.3732,0.9950,4.1088,4.3799,4.6900,36.51623,0.8195,0.001779,0.0961,0.00314,0.00314,0.07817,100,0.2889,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.1424,150,1,468.0,468,0,468,468,468,468,468,1,0.002137,2.2056e-7,0.97262,0.8366,4.3614,0.3208,4.3120,4.0464,4.6576,30.56827,0.8058,0.001850,0.0924,0.00220,0.00220,0.07727,81,0.2932,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.1559,150,1,442.0,442,0,442,442,442,442,442,1,0.002262,2.6255e-7,0.97855,0.9799,4.2952,0.0000,4.3101,4.3503,4.9010,32.38326,0.8265,0.001948,0.0925,0.00191,0.00191,0.07799,86,0.2935,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.1695,150,1,418.0,418,0,418,418,418,418,418,1,0.002392,7.6298e-8,0.98275,0.9264,4.2760,0.0000,4.0731,4.2504,4.9397,34.61349,0.8218,0.001751,0.0900,0.00130,0.00130,0.07791,72,0.2971,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.1831,150,1,397.0,397,0,397,397,397,397,397,1,0.002519,3.7397e-7,0.96770,0.9341,4.3378,0.8127,4.2252,4.3245,5.1453,34.76269,0.8379,0.001720,0.0896,0.00281,0.00281,0.07614,94,0.2971,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.1966,150,1,378.0,378,0,378,378,378,378,378,1,0.002646,1.8164e-7,0.97054,0.9007,4.2620,0.0000,4.2225,4.3038,5.1736,33.48298,0.8320,0.001881,0.0871,0.00147,0.00147,0.07805,78,0.3010,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.2102,150,1,360.0,360,0,360,360,360,360,360,1,0.002778,1.4711e-7,0.98973,0.9902,4.3072,0.9481,3.9030,4.2138,5.3004,32.93774,0.8385,0.001949,0.0858,0.00301,0.00301,0.07882,98,0.3025,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.2237,150,1,344.0,344,0,344,344,344,344,344,1,0.002907,2.3540e-7,0.97807,0.8485,4.3304,0.0000,4.2006,4.1870,5.4903,32.60085,0.8529,0.001883,0.0852,0.00219,0.00219,0.07674,86,0.3037,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.2373,150,1,329.0,329,0,329,329,329,329,329,1,0.003040,9.1913e-8,0.97469,0.9950,4.3806,0.3534,4.2593,4.0925,5.5704,49.09862,0.8536,0.001625,0.0829,0.00255,0.00255,0.07875,89,0.3032,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.2508,150,1,315.0,315,0,315,315,315,315,315,1,0.003175,3.1039e-7,0.98947,0.9710,4.3971,0.9799,4.1236,4.1891,5.6840,39.42355,0.8587,0.001781,0.0816,0.00218,0.00218,0.07781,92,0.3064,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.2644,150,1,303.0,303,0,303,303,303,303,303,1,0.003300,1.4592e-7,0.93589,0.9982,4.3452,0.9341,4.0101,3.9430,5.8159,63.54137,0.8660,0.001853,0.0808,0.00344,0.00344,0.07886,93,0.3095,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.2780,150,1,291.0,291,0,291,291,291,291,291,1,0.003436,2.1092e-7,0.99190,0.9950,4.3054,0.7383,4.0064,4.3634,5.9394,45.17482,0.8725,0.001745,0.0791,0.00204,0.00204,0.07867,88,0.3088,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.2915,150,1,280.0,280,0,280,280,280,280,280,1,0.003571,4.5269e-7,0.98443,0.9998,4.3882,0.2499,4.0630,4.2062,6.0086,47.91121,0.8722,0.001715,0.0775,0.00256,0.00256,0.07757,86,0.3124,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.3051,150,1,269.0,269,0,269,269,269,269,269,1,0.003717,8.2787e-8,0.97818,0.9007,4.3619,0.0000,4.0729,4.2789,6.0721,42.26033,0.8713,0.001675,0.0755,0.00108,0.00108,0.07778,71,0.3127,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.3186,150,1,260.0,260,0,260,260,260,260,260,1,0.003846,1.2864e-7,0.97702,0.8242,4.1817,0.4949,3.9146,4.2031,6.2069,43.04851,0.8794,0.001757,0.0743,0.00197,0.00197,0.07768,78,0.3140,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.3322,150,1,251.0,251,0,251,251,251,251,251,1,0.003984,4.1485e-8,0.98373,0.9097,4.3115,0.3534,4.1879,4.2993,6.1996,39.66765,0.8698,0.001643,0.0719,0.00115,0.00115,0.07735,76,0.3167,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.3458,150,1,242.0,242,0,242,242,242,242,242,1,0.004132,3.8068e-7,1.00161,0.9341,4.3436,0.9968,4.1115,4.3130,6.3621,37.00438,0.8816,0.001861,0.0713,0.00214,0.00214,0.07760,93,0.3182,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.3593,150,1,234.0,234,0,234,234,234,234,234,1,0.004274,3.8633e-7,0.98620,0.9604,4.3062,0.8113,4.2516,4.2165,6.5225,40.02686,0.8932,0.001748,0.0706,0.00228,0.00228,0.07825,83,0.3197,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.3729,150,1,226.0,226,0,226,226,226,226,226,1,0.004425,1.0463e-7,0.97705,0.9659,4.3598,0.3534,4.3215,4.2310,6.6328,52.78482,0.8987,0.001601,0.0693,0.00174,0.00174,0.07864,81,0.3199,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.3864,150,1,219.0,219,0,219,219,219,219,219,1,0.004566,2.6523e-7,0.99207,0.9871,4.3755,0.2499,4.1554,4.1635,6.6906,40.45476,0.8977,0.001769,0.0675,0.00241,0.00241,0.07846,92,0.3219,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.4000,150,1,212.0,212,0,212,212,212,212,212,1,0.004717,4.9960e-7,0.98887,0.9799,4.3434,0.3896,4.0815,4.3033,6.9106,48.59952,0.9171,0.001619,0.0675,0.00260,0.00260,0.07789,94,0.3228,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6000,150,1,3000.0,3000,5,3000,3000,3000,3000,3000,0,0.000333,9.1337e-7,0.91585,0.9659,4.2807,0.0000,4.1723,4.3033,0.5359,16.66749,0.5712,0.001728,0.1806,0.00671,0.00671,0.07888,110,0.2015,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6136,150,1,3000.0,3000,5,3000,3000,3000,3000,3000,0,0.000333,2.2072e-6,0.98644,0.6500,4.4002,0.0000,4.2591,3.5029,0.4522,19.11754,0.5723,0.001681,0.1762,0.00705,0.00705,0.07793,108,0.2038,banda<=ruido,0
