semilla,modo,potencia_base,beta,sigma,ruido,banda,t_optima,tc_ptc,exponente_ptc,dia_noche,luminosidad,asent_pasos,asent_ok,pasos_recuperacion,rec_mediana,rec_topes,rec_1,rec_2,rec_3,rec_4,rec_5,recuperacion_completa,tasa_recuperacion,varianza_potencia_viva,autocorrelacion1_potencia_viva,entropia_abs_local,entropia_piso_local,entropia_abs_global,entropia_piso_global,entropia_rel,huella,lambda,acoplamiento,tasa_error,potencia_viva,rango_potencia_viva,banda_potencia_viva,piso_ruido,valores_distintos,multiplicidad,diagnostico,saturacion_sensor
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.1559,1300,1,379.0,379,0,379,379,379,379,379,1,0.002639,6.0262e-7,0.99710,0.9992,4.3594,0.7049,4.2853,4.3392,4.8500,39.34046,0.8216,0.001572,0.0919,0.00278,0.00278,0.07807,99,0.2944,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.1695,1250,1,362.0,362,0,362,362,362,362,362,1,0.002762,5.0087e-7,0.97196,0.8813,4.2892,0.9544,4.2661,4.1604,5.0277,39.19647,0.8340,0.001598,0.0910,0.00268,0.00268,0.07883,84,0.2938,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.1831,1200,1,346.0,346,0,346,346,346,346,346,1,0.002890,2.0222e-7,0.97000,0.9659,4.3363,0.0000,4.2075,4.1762,5.1324,36.51357,0.8374,0.001747,0.0894,0.00206,0.00206,0.07586,86,0.2982,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.1966,1150,1,331.0,331,0,331,331,331,331,331,1,0.003021,3.0193e-7,0.95823,0.9799,4.3212,0.4138,4.3006,4.1299,5.1580,35.20122,0.8311,0.001754,0.0867,0.00242,0.00242,0.07802,86,0.2992,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.2102,1100,1,316.0,316,0,316,316,316,316,316,1,0.003165,5.3719e-8,0.96465,0.9871,4.3165,0.0000,4.3496,4.3107,5.2892,33.39346,0.8380,0.001858,0.0855,0.00180,0.00180,0.07889,88,0.3022,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.2237,1100,1,310.0,310,0,310,310,310,310,310,1,0.003226,3.6238e-7,0.99672,0.9968,4.3590,0.7540,4.2344,4.3735,5.4111,33.71907,0.8437,0.001784,0.0840,0.00226,0.00226,0.07760,90,0.3028,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.2373,1050,1,296.0,296,0,296,296,296,296,296,1,0.003378,9.3534e-8,0.96781,0.7540,4.3852,0.5886,4.3281,3.9662,5.5565,38.29057,0.8526,0.001985,0.0832,0.00193,0.00193,0.07855,74,0.3053,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.2508,1050,1,289.0,289,0,289,289,289,289,289,1,0.003460,1.3695e-7,0.94945,0.9902,4.3531,0.0000,4.2226,4.0365,5.6423,36.46979,0.8540,0.001743,0.0813,0.00200,0.00200,0.07641,76,0.3068,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.2644,1000,1,277.0,277,0,277,277,277,277,277,1,0.003610,1.1754e-7,0.97733,0.9992,4.3552,0.1687,4.2066,4.4371,5.7902,35.88983,0.8633,0.001854,0.0803,0.00135,0.00135,0.07677,77,0.3085,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.2780,950,1,265.0,265,0,265,265,265,265,265,1,0.003774,1.5714e-7,0.98680,0.8912,4.2704,0.0000,4.1571,4.0066,5.8327,37.44826,0.8596,0.001742,0.0780,0.00190,0.00190,0.07722,79,0.3100,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.2915,950,1,259.0,259,0,259,259,259,259,259,1,0.003861,9.3253e-8,0.98950,1.0000,4.3191,0.0000,4.1697,4.4082,5.9686,36.39384,0.8676,0.001738,0.0769,0.00114,0.00114,0.07734,74,0.3112,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.3051,900,1,248.0,248,0,248,248,248,248,248,1,0.004032,2.5063e-7,0.98952,0.9413,4.3566,0.9928,4.2291,4.2555,6.0779,42.17041,0.8724,0.001657,0.0758,0.00234,0.00234,0.07530,92,0.3131,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.3186,900,1,243.0,243,0,243,243,243,243,243,1,0.004115,1.3985e-7,0.98498,0.9097,4.2991,0.0000,4.3123,4.2839,6.1988,40.58946,0.8787,0.001641,0.0743,0.00136,0.00136,0.07824,78,0.3138,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.3322,850,1,233.0,233,0,233,233,233,233,233,1,0.004292,1.4369e-7,0.98551,0.9756,4.3386,0.0000,4.3118,4.3102,6.2929,45.48288,0.8818,0.001642,0.0730,0.00172,0.00172,0.07832,87,0.3161,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.3458,850,1,228.0,228,0,228,228,228,228,228,1,0.004386,2.9893e-7,1.00172,0.9604,4.3237,0.7049,4.1466,4.3144,6.3616,43.65882,0.8818,0.001674,0.0712,0.00190,0.00190,0.07698,86,0.3176,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.3593,850,1,223.0,223,0,223,223,223,223,223,1,0.004484,5.3896e-8,0.97963,0.9710,4.3186,0.0000,4.1831,4.3244,6.4997,35.68871,0.8905,0.001840,0.0703,0.00118,0.00118,0.07720,73,0.3190,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.3729,800,1,214.0,214,0,214,214,214,214,214,1,0.004673,1.3477e-7,0.99580,0.9799,4.3041,0.0000,4.2178,4.4056,6.6921,43.24804,0.9063,0.001727,0.0700,0.00141,0.00141,0.07795,83,0.3198,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.3864,800,1,209.0,209,0,209,209,209,209,209,1,0.004785,2.6543e-7,1.00303,0.9968,4.3867,0.9982,4.3692,4.3974,6.7198,44.96227,0.9015,0.001630,0.0680,0.00185,0.00185,0.07859,88,0.3220,banda<=ruido,0
7,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.4000,750,1,201.0,201,0,201,201,201,201,201,1,0.004975,1.6244e-7,0.99787,0.9982,4.3392,0.0000,4.1852,4.4245,6.8624,574.97948,0.9112,0.001761,0.0670,0.00183,0.00183,0.07734,93,0.3222,banda<=ruido,0
3,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6000,1850,1,45.0,45,0,45,45,45,45,45,1,0.022222,2.3283e-7,0.92042,1.0000,4.2807,0.3534,4.3255,4.3346,4.6092,164.75900,0.8284,0.001722,0.0919,0.00303,0.00303,0.07888,98,0.2965,banda<=ruido,0
3,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6136,2050,1,53.0,53,0,53,53,53,53,53,1,0.018868,3.8706e-7,0.98760,0.6690,4.4002,0.3208,4.3438,3.2526,4.6542,183.96864,0.8302,0.001688,0.0883,0.00331,0.00331,0.07793,77,0.2993,banda<=ruido,0
3,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6271,2300,1,86.0,86,0,86,86,86,86,86,1,0.011628,3.6310e-7,0.98835,0.9481,4.3401,0.0000,4.3218,4.2490,4.6648,157.10678,0.8354,0.001912,0.0849,0.00248,0.00248,0.07775,85,0.3023,banda<=ruido,0
3,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6407,2600,1,3000.0,3000,5,3000,3000,3000,3000,3000,0,0.000333,3.1770e-7,0.99276,0.8912,4.2801,0.9982,4.2840,4.2840,4.5729,177.49543,0.8519,0.001653,0.0831,0.00250,0.00250,0.07750,94,0.3045,banda<=ruido,0
3,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6542,3000,1,3000.0,3000,5,3000,3000,3000,3000,3000,0,0.000333,1.4318e-7,0.99263,0.7978,4.3662,0.0000,4.2905,4.1163,4.5039,162.89492,0.8625,0.001743,0.0812,0.00150,0.00150,0.07680,68,0.3068,banda<=ruido,0
3,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6678,3450,1,3000.0,3000,5,3000,3000,3000,3000,3000,0,0.000333,1.6043e-7,0.99774,0.9950,4.3760,0.9837,4.3790,4.2454,4.4554,152.93119,0.8625,0.001865,0.0792,0.00235,0.00235,0.07859,92,0.3101,banda<=ruido,0
3,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6814,3600,1,3000.0,3000,5,3000,3000,3000,3000,3000,0,0.000333,2.3717e-7,0.99414,0.9481,4.3498,0.0000,4.2973,4.3180,4.1110,168.35872,0.8780,0.001725,0.0803,0.00164,0.00164,0.07862,83,0.3080,banda<=ruido,0
3,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6949,3200,1,3000.0,3000,5,3000,3000,3000,3000,3000,0,0.000333,2.2904e-7,0.96121,0.9968,4.2923,0.0000,4.2815,4.2968,3.8431,294.07642,0.8557,0.001758,0.0807,0.00193,0.00193,0.07747,81,0.3064,banda<=ruido,0
3,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.7085,2700,1,3000.0,3000,5,3000,3000,3000,3000,3000,0,0.000333,4.8857e-8,0.97500,0.9982,4.3493,0.0000,4.3017,4.2828,3.3560,108.83611,0.8492,0.001913,0.0840,0.00097,0.00097,0.07790,63,0.3039,banda<=ruido,0
3,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.7220,2150,1,3000.0,3000,5,3000,3000,3000,3000,3000,0,0.000333,3.8795e-7,0.99112,0.9837,4.3601,0.7838,4.3440,4.4249,2.8687,131.98030,0.8405,0.001664,0.0872,0.00223,0.00223,0.07731,91,0.2989,banda<=ruido,0
3,parada,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.7356,1450,1,3000.0,3000,5,3000,3000,3000,3000,3000,0,0.000333,3.6099e-7,0.99437,0.8709,4.3302,0.9756,4.3244,4.0755,2.3884,110.65723,0.8320,0.001698,0.0906,0.00265,0.00265,0.07714,84,0.2965,banda<=ruido,0
