beta,t_optima,exponente_ptc,potencia_base,fraccion_saturada,frontera_media,frontera_desv,r_media,r_desv
0.94,25,3,0.65,0,0.8712,0,0.021239248790715717,0.15742965966883865
0.94,25,4.1,0.3,0,0.8034000000000001,1.1102230246251565e-16,0.036844858612997446,0.16523184172522223
0.94,25,4.1,0.47,0,0.8169000000000002,2.220446049250313e-16,0.044108275619658174,0.16556161950757783
0.94,25,4.1,0.65,0,0.8345799999999999,0.006232302945139918,0.03308884138832112,0.15466047591428675
0.94,25,6,0.3,0,0.7897999999999998,1.1102230246251565e-16,0.03175630707894043,0.16469490744174217
0.94,25,6,0.47,0,0.7897999999999998,1.1102230246251565e-16,0.03361146733256114,0.16670796971567312
0.94,25,6,0.65,0,0.8034000000000001,1.1102230246251565e-16,0.03952675393353004,0.15729549482430336
0.94,28,3,0.3,0,0.9797,0,-0.02287490866425933,0.11464338686659914
0.94,28,3,0.47,0,1.0068,0,-0.036705427757378645,0.12755105571432476
0.94,28,3,0.65,0,1.0338999999999998,2.220446049250313e-16,-0.04371826152095932,0.1380371095493532
0.94,28,4.1,0.3,0,0.9661000000000002,2.220446049250313e-16,-0.008467531552524488,0.11387348903204239
0.94,28,4.1,0.47,0,0.9797,0,-0.021252446358885697,0.11332623120965093
0.94,28,4.1,0.65,0,0.9932000000000001,1.1102230246251565e-16,-0.029185681486678338,0.11861250875294826
0.94,28,6,0.3,0.043333333333333335,0.9525,0,0.010729231109620188,0.08855698297080568
0.94,28,6,0.47,0.08,0.9606600000000001,0.006662612100370218,-0.007170946750067485,0.049701868844319055
0.94,28,6,0.65,0.10666666666666667,0.9661000000000002,2.220446049250313e-16,-0.029951310759464028,0.03800016439908268
0.98,22,3,0.3,0,0.64205,0.004049999999999988,0.01376003884191659,0.15269333425961776
0.98,22,3,0.47,0,0.6948999999999999,1.1102230246251565e-16,-0.004654370587998807,0.1206206283541985
0.98,22,3,0.65,0,0.7626999999999999,1.1102230246251565e-16,-0.06427374291243602,0.11997096457830965
0.98,22,4.1,0.3,0,0.6271000000000001,1.1102230246251565e-16,0.017926857171857772,0.15207228578266374
0.98,22,4.1,0.47,0,0.6542000000000001,1.1102230246251565e-16,-0.04392077533425791,0.11100018725217338
0.98,22,4.1,0.65,0,0.6948999999999999,1.1102230246251565e-16,-0.15934633737050816,0.10078252852007205
0.98,22,6,0.3,0,0.6136,0,0.00838075971035338,0.14052789792821124
0.98,22,6,0.47,0,0.6284600000000001,0.004080000000000016,-0.09310008968627646,0.12972571333792135
0.98,22,6,0.65,0,0.6542000000000001,1.1102230246251565e-16,-0.26735456445119893,0.07631592278035276
0.98,25,3,0.3,0,0.8169000000000002,2.220446049250313e-16,0.038971726635862534,0.1737965320444875
0.98,25,3,0.47,0,0.8440999999999999,1.1102230246251565e-16,0.03392183281643833,0.1753992819935238
0.98,25,3,0.65,0,0.8712,0,0.01701511248229747,0.1609648449647339
0.98,25,4.1,0.3,0,0.8034000000000001,1.1102230246251565e-16,0.034245549543871115,0.16824000501384503
0.98,25,4.1,0.47,0,0.8169000000000002,2.220446049250313e-16,0.041172661075648376,0.1698146769904427
0.98,25,4.1,0.65,0,0.83866,0.006662612100370217,0.036933722490644603,0.15727738024625476
0.98,25,6,0.3,0,0.7897999999999998,1.1102230246251565e-16,0.03138778015061917,0.16673782365035963
0.98,25,6,0.47,0,0.7897999999999998,1.1102230246251565e-16,0.03331346411022955,0.1663994226070565
0.98,25,6,0.65,0,0.8034000000000001,1.1102230246251565e-16,0.040753304108111024,0.16181757981270853
0.98,28,3,0.3,0,0.9810500000000001,0.004049999999999988,-0.021060992188757864,0.11440853482321013
0.98,28,3,0.47,0,1.0068,0,-0.036775549953709255,0.1269666444977261
0.98,28,3,0.65,0,1.0338999999999998,2.220446049250313e-16,-0.04528826967013788,0.1374439600913112
0.98,28,4.1,0.3,0,0.9661000000000002,2.220446049250313e-16,-0.006650591928625263,0.11313600753473368
0.98,28,4.1,0.47,0,0.9797,0,-0.021658560538121534,0.1135634203548037
0.98,28,4.1,0.65,0,0.9932000000000001,1.1102230246251565e-16,-0.02957584113370344,0.12326128923251622
0.98,28,6,0.3,0.051666666666666666,0.9525,0,0.011370309642717156,0.07287976225409745
0.98,28,6,0.47,0.085,0.9620200000000001,0.006232302945139918,-0.007977724321072459,0.04577404248715724
0.98,28,6,0.65,0.11166666666666666,0.9661000000000002,2.220446049250313e-16,-0.03487703328954709,0.034593568195425
