semilla,modo,potencia_base,beta,sigma,ruido,banda,t_optima,tc_ptc,exponente_ptc,dia_noche,luminosidad,asent_pasos,asent_ok,pasos_recuperacion,rec_mediana,rec_topes,rec_1,rec_2,rec_3,rec_4,rec_5,recuperacion_completa,tasa_recuperacion,varianza_potencia_viva,autocorrelacion1_potencia_viva,entropia_abs_local,entropia_piso_local,entropia_abs_global,entropia_piso_global,entropia_rel,huella,lambda,acoplamiento,tasa_error,potencia_viva,rango_potencia_viva,banda_potencia_viva,piso_ruido,valores_distintos,multiplicidad,diagnostico,saturacion_sensor
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.9661,1150,1,312.0,312,0,312,312,312,312,312,1,0.003205,3.8207e-7,0.98812,0.9799,4.2776,0.4690,4.4127,4.2512,3.6835,9.79390,0.8031,0.001827,0.1154,0.00230,0.00230,0.07649,88,0.0960,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.9797,1100,1,299.0,299,0,299,299,299,299,299,1,0.003344,1.7729e-7,0.98684,0.9007,4.2353,0.0000,4.3642,4.2731,3.8322,10.08037,0.8124,0.001771,0.1145,0.00258,0.00258,0.07748,93,0.0974,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.9932,1100,1,292.0,292,0,292,292,292,292,292,1,0.003425,1.7620e-7,0.96991,0.9183,4.2789,0.9982,4.4114,4.3055,3.9659,10.36331,0.8198,0.001927,0.1130,0.00283,0.00283,0.07849,98,0.0979,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.0068,1050,1,280.0,280,0,280,280,280,280,280,1,0.003571,2.2831e-7,0.97234,0.9710,4.3702,0.0000,4.4469,4.3814,4.0575,11.71507,0.8221,0.001862,0.1113,0.00163,0.00163,0.07794,86,0.0999,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.0203,1000,1,268.0,268,0,268,268,268,268,268,1,0.003731,3.6561e-8,0.95907,0.9968,4.3255,0.7383,4.3621,4.2034,4.1928,10.97275,0.8299,0.001861,0.1099,0.00090,0.00090,0.07558,56,0.1009,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.0339,1000,1,263.0,263,0,263,263,263,263,263,1,0.003802,7.8046e-7,0.98000,0.9902,4.3684,0.9264,4.5108,4.2628,4.3732,11.18403,0.8434,0.001817,0.1092,0.00393,0.00393,0.07811,105,0.1024,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.0475,950,1,252.0,252,0,252,252,252,252,252,1,0.003968,1.3148e-7,0.99425,0.9982,4.3248,0.0000,4.4185,4.2263,4.4942,11.97145,0.8496,0.001743,0.1079,0.00162,0.00162,0.07789,81,0.1031,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.0610,950,1,246.0,246,0,246,246,246,246,246,1,0.004065,1.7664e-7,0.99419,0.9183,4.3265,0.7219,4.4317,4.1544,4.5585,12.87236,0.8488,0.001708,0.1059,0.00232,0.00232,0.07721,91,0.1056,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.0746,900,1,236.0,236,0,236,236,236,236,236,1,0.004237,5.4714e-7,0.99731,0.9264,4.2826,0.8749,4.4216,4.2975,4.7224,15.80969,0.8605,0.001747,0.1052,0.00371,0.00371,0.07870,99,0.1070,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.0881,900,1,231.0,231,0,231,231,231,231,231,1,0.004329,2.0087e-8,0.91896,0.9007,4.3316,0.1223,4.4606,4.1119,4.8426,11.96279,0.8668,0.001818,0.1036,0.00073,0.00073,0.07854,52,0.1070,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.1017,850,1,222.0,222,0,222,222,222,222,222,1,0.004505,3.1015e-7,0.99045,0.9183,4.3147,0.3534,4.3889,4.3250,4.9638,16.51897,0.8734,0.001764,0.1023,0.00259,0.00259,0.07579,93,0.1083,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.1153,850,1,217.0,217,0,217,217,217,217,217,1,0.004608,3.4451e-7,0.97924,0.9998,4.3411,0.9837,4.4388,4.2474,5.0133,14.79922,0.8710,0.001656,0.1002,0.00203,0.00203,0.07730,89,0.1096,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.1288,850,1,212.0,212,0,212,212,212,212,212,1,0.004717,2.0187e-7,0.95955,0.8242,4.3396,0.0695,4.4848,4.1691,5.1255,13.56806,0.8766,0.001819,0.0987,0.00182,0.00182,0.07761,82,0.1102,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.1424,800,1,204.0,204,0,204,204,204,204,204,1,0.004902,2.6177e-7,0.99918,0.9992,4.3751,0.0000,4.4218,4.1511,5.2684,14.35201,0.8862,0.001730,0.0977,0.00217,0.00217,0.07789,85,0.1118,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.1559,800,1,199.0,199,0,199,199,199,199,199,1,0.005025,9.5340e-8,0.97068,0.9659,4.3113,0.5197,4.4460,4.3351,5.3379,14.30005,0.8867,0.001720,0.0959,0.00218,0.00218,0.07829,90,0.1132,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.1695,750,1,192.0,192,0,192,192,192,192,192,1,0.005208,2.2666e-7,0.97392,0.9659,4.3843,0.0000,4.5089,4.2942,5.4368,12.46660,0.8910,0.001912,0.0946,0.00209,0.00209,0.07768,87,0.1145,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.1831,750,1,188.0,188,0,188,188,188,188,188,1,0.005319,1.5591e-7,0.98295,0.8709,4.3299,0.3534,4.4372,4.2114,5.6405,14.48767,0.9085,0.001795,0.0943,0.00174,0.00174,0.07838,81,0.1152,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.1966,750,1,183.0,183,0,183,183,183,183,183,1,0.005464,2.4761e-7,0.97896,0.9097,4.3483,0.0000,4.4192,4.3097,5.6929,15.31755,0.9072,0.001710,0.0924,0.00196,0.00196,0.07849,88,0.1164,banda<=ruido,0
