t,alpha,theta,sigma,beta,noise,CTX,OUT,CHIRAL,N9_eff,e_R,Delta_struct,A_sys_env,LF,LambdaCos,LambdaRaw,ErrorFitness,Regimen
0,0.62,1.2,4,0.82,0.0012,0.781,9.816,0.000000,0.001,0.120895,0.023536,0.235316,0.527000,0.002919,0.024143,0.999937,Transición
5,0.62,1.2,4,0.82,0.0012,1.538,30.238,0.000383,0.007,0.000300,0.009620,0.433461,0.527287,0.000718,7.323069,0.326483,Transición
10,0.62,1.2,4,0.82,0.0012,1.985,55.661,0.004678,0.035,0.000251,0.011787,0.084893,0.530509,0.000173,2.116123,0.326182,Transición
15,0.62,1.2,4,0.82,0.0012,1.506,83.382,0.047486,0.251,0.000168,0.016884,0.099162,0.562614,0.000307,5.615990,0.325674,S.Cerrado
20,0.62,1.2,4,0.82,0.0012,0.493,96.997,0.087337,0.589,0.000085,0.003924,0.112446,0.592502,0.000085,3.079225,0.325169,S.Cerrado
25,0.62,1.2,4,0.82,0.0012,0.042,99.926,0.016930,0.697,0.000027,0.005972,0.088977,0.539697,0.000093,10.595916,0.324817,S.Cerrado
30,0.62,1.2,4,0.77,0.0012,0.000,100.000,0.000000,0.707,0.000000,0.000000,0.083333,0.527000,0.000000,0.000000,0.324652,S.Cerrado
35,0.62,1.2,4,0.72,0.0012,0.000,100.000,0.000000,0.707,0.000000,0.000000,0.083333,0.527000,0.000000,0.000000,0.324652,S.Cerrado
40,0.62,1.2,4,0.67,0.0012,0.000,100.000,0.000000,0.707,0.000000,0.000000,0.083333,0.527000,0.000000,0.000000,0.324652,S.Cerrado
45,0.62,1.2,4,0.62,0.0012,0.031,99.964,0.015696,0.707,0.000030,0.000371,0.088565,0.538772,0.000006,0.580590,0.324838,S.Cerrado
50,0.62,1.2,4,0.57,0.0012,0.171,99.686,0.068418,0.705,0.000061,0.001426,0.106139,0.578314,0.000028,1.444295,0.325022,S.Cerrado
55,0.62,1.2,4,0.52,0.0012,0.384,98.919,0.132096,0.703,0.000094,0.002273,0.127365,0.626072,0.000059,1.932112,0.325224,S.Cerrado
60,0.62,1.2,4,0.47,0.0012,0.630,97.447,0.192726,0.700,0.000110,0.002688,0.147575,0.671544,0.000087,2.411738,0.325325,S.Cerrado
65,0.62,1.2,4,0.42,0.0012,0.894,94.751,0.237354,0.697,0.000140,0.002562,0.162451,0.677000,0.000092,2.014207,0.325505,S.Cerrado
70,0.62,1.2,2,0.42,0.0012,1.160,93.709,0.305550,0.691,0.000132,0.001526,0.185183,0.677000,0.000062,1.447766,0.325458,S.Cerrado
75,0.62,1.2,2,0.42,0.0012,1.217,92.808,0.304163,0.686,0.000130,0.000848,0.184721,0.677000,0.000035,0.815807,0.325444,S.Cerrado
80,0.62,1.2,2,0.42,0.0012,1.242,92.085,0.293372,0.681,0.000132,0.000982,0.181124,0.677000,0.000039,0.909928,0.325458,S.Cerrado
85,0.62,1.2,2,0.42,0.0012,1.257,91.519,0.281661,0.678,0.000137,0.000905,0.177220,0.677000,0.000035,0.790463,0.325489,S.Cerrado
90,0.62,1.2,2,0.42,0.0012,1.268,91.082,0.270777,0.675,0.000144,0.000771,0.173592,0.677000,0.000029,0.627636,0.325532,S.Cerrado
95,0.62,1.2,2,0.42,0.0012,1.276,90.750,0.261353,0.672,0.000151,0.000640,0.170451,0.677000,0.000024,0.489044,0.325573,S.Cerrado
100,0.62,1.2,0.7,0.42,0.0012,1.442,90.381,0.278353,0.669,0.000131,0.000617,0.176118,0.677000,0.000024,0.561292,0.325451,S.Cerrado
105,0.62,1.2,0.7,0.42,0.0012,1.470,89.843,0.266022,0.666,0.000125,0.001092,0.172007,0.677000,0.000041,1.020380,0.325412,S.Cerrado
110,0.62,1.2,0.7,0.42,0.0012,1.483,89.247,0.251102,0.664,0.000134,0.001156,0.167034,0.677000,0.000043,0.976425,0.325468,S.Cerrado
115,0.62,1.2,0.7,0.42,0.0012,1.494,88.654,0.236403,0.661,0.000127,0.001112,0.162134,0.677000,0.000040,0.958258,0.325429,S.Cerrado
120,0.62,1.2,0.7,0.42,0.0012,1.506,88.098,0.222093,0.660,0.000135,0.001059,0.157364,0.677000,0.000037,0.836308,0.325474,S.Cerrado
125,0.62,1.2,0.7,0.42,0.0012,1.519,87.597,0.208441,0.657,0.000136,0.001014,0.152814,0.677000,0.000034,0.771050,0.325482,S.Cerrado
130,0.62,1.2,0.7,0.42,0.0012,1.534,87.162,0.195332,0.655,0.000139,0.000940,0.148444,0.673499,0.000031,0.675533,0.325500,S.Cerrado
135,0.62,1.2,0.7,0.42,0.0012,1.550,86.799,0.183060,0.654,0.000141,0.000855,0.144353,0.664295,0.000027,0.583342,0.325509,S.Cerrado
140,0.62,1.2,0.7,0.42,0.0012,1.566,86.508,0.172013,0.652,0.000138,0.000739,0.140671,0.656010,0.000022,0.492485,0.325496,S.Cerrado
145,0.62,1.2,0.7,0.42,0.0012,1.581,86.286,0.162331,0.651,0.000146,0.000642,0.137444,0.648749,0.000019,0.391965,0.325542,S.Cerrado
150,0.62,1.2,0.7,0.42,0.0012,1.595,86.123,0.154292,0.650,0.000145,0.000520,0.134764,0.642719,0.000015,0.310655,0.325536,S.Cerrado
155,0.62,1.2,0.7,0.42,0.0012,1.607,86.012,0.147912,0.649,0.000144,0.000390,0.132637,0.637934,0.000011,0.228786,0.325530,S.Cerrado
160,0.62,1.2,0.7,0.42,0.0012,1.616,85.942,0.143023,0.648,0.000149,0.000287,0.131008,0.634267,0.000008,0.160393,0.325559,S.Cerrado
165,0.62,1.2,0.7,0.422,0.0012,1.622,85.944,0.139991,0.648,0.000141,0.000158,0.129997,0.631994,0.000004,0.092077,0.325513,S.Cerrado
170,0.62,1.2,0.7,0.424,0.0012,1.624,86.000,0.138329,0.648,0.000150,0.000100,0.129443,0.630747,0.000003,0.054615,0.325564,S.Cerrado
175,0.62,1.2,0.7,0.426,0.0012,1.623,86.096,0.138152,0.648,0.000138,0.000039,0.129384,0.630614,0.000001,0.023151,0.325496,S.Cerrado
180,0.62,1.2,0.7,0.428,0.0012,1.619,86.221,0.138837,0.649,0.000145,0.000102,0.129612,0.631128,0.000003,0.057204,0.325537,S.Cerrado
185,0.62,1.2,0.7,0.43,0.0012,1.615,86.364,0.140175,0.648,0.000143,0.000143,0.130058,0.632131,0.000004,0.082467,0.325524,S.Cerrado
190,0.62,1.2,0.7,0.432,0.0012,1.609,86.523,0.141886,0.649,0.000140,0.000176,0.130629,0.633415,0.000005,0.104063,0.325504,S.Cerrado
195,0.62,1.2,0.7,0.434,0.0012,1.604,86.693,0.143911,0.648,0.000140,0.000181,0.131304,0.634933,0.000005,0.107979,0.325503,S.Cerrado
200,0.62,1.2,0.7,0.436,0.0012,1.598,86.870,0.145976,0.649,0.000139,0.000184,0.131992,0.636482,0.000005,0.111106,0.325501,S.Cerrado
205,0.62,1.2,0.7,0.438,0.0012,1.592,87.054,0.148175,0.649,0.000140,0.000204,0.132725,0.638132,0.000006,0.123647,0.325505,S.Cerrado
210,0.62,1.2,0.7,0.437,0.0012,1.588,87.191,0.150318,0.649,0.000141,0.000178,0.133439,0.639738,0.000005,0.107907,0.325511,S.Cerrado
215,0.62,1.2,0.7,0.436,0.0012,1.586,87.292,0.152248,0.649,0.000136,0.000162,0.134083,0.641186,0.000005,0.102222,0.325481,S.Cerrado
220,0.62,1.2,0.7,0.435,0.0012,1.584,87.361,0.153987,0.649,0.000135,0.000130,0.134662,0.642490,0.000004,0.082896,0.325477,S.Cerrado
225,0.62,1.2,0.7,0.434,0.0012,1.583,87.402,0.155442,0.649,0.000135,0.000087,0.135147,0.643581,0.000002,0.056014,0.325476,S.Cerrado
230,0.62,1.2,0.7,0.433,0.0012,1.582,87.420,0.156610,0.649,0.000136,0.000078,0.135537,0.644458,0.000002,0.050191,0.325482,S.Cerrado
235,0.62,1.2,0.7,0.432,0.0012,1.582,87.415,0.157655,0.649,0.000135,0.000061,0.135885,0.645241,0.000002,0.039573,0.325472,S.Cerrado
240,0.62,1.2,0.7,0.431,0.0012,1.582,87.391,0.158299,0.648,0.000143,0.000024,0.136100,0.645725,0.000001,0.014516,0.325526,S.Cerrado
245,0.62,1.2,0.7,0.43,0.0012,1.582,87.349,0.158732,0.648,0.000136,0.000026,0.136244,0.646049,0.000001,0.016898,0.325478,S.Cerrado
250,0.62,1.2,0.7,0.429,0.0012,1.583,87.292,0.158755,0.649,0.000138,0.000031,0.136252,0.646066,0.000001,0.019675,0.325494,S.Cerrado
255,0.62,1.2,0.7,0.428,0.0012,1.584,87.223,0.158559,0.649,0.000140,0.000050,0.136186,0.645919,0.000001,0.031694,0.325503,S.Cerrado
260,0.62,1.2,0.7,0.427,0.0012,1.586,87.143,0.158060,0.649,0.000140,0.000068,0.136020,0.645545,0.000002,0.042823,0.325503,S.Cerrado
265,0.62,1.2,0.7,0.426,0.0012,1.588,87.054,0.157302,0.648,0.000141,0.000089,0.135767,0.644976,0.000003,0.055178,0.325509,S.Cerrado
270,0.62,1.2,0.7,0.425,0.0012,1.591,86.957,0.156365,0.648,0.000134,0.000085,0.135455,0.644273,0.000002,0.055559,0.325468,S.Cerrado
275,0.62,1.2,0.7,0.424,0.0012,1.593,86.855,0.155162,0.648,0.000137,0.000105,0.135054,0.643371,0.000003,0.066890,0.325486,S.Cerrado
280,0.62,1.2,0.7,0.423,0.0012,1.597,86.749,0.153717,0.648,0.000142,0.000135,0.134572,0.642288,0.000004,0.082586,0.325515,S.Cerrado
285,0.62,1.2,0.7,0.423,0.0012,1.599,86.658,0.152297,0.648,0.000145,0.000125,0.134099,0.641223,0.000004,0.074297,0.325534,S.Cerrado
290,0.62,1.2,0.7,0.423,0.0012,1.602,86.581,0.150974,0.648,0.000140,0.000099,0.133658,0.640231,0.000003,0.060063,0.325508,S.Cerrado
295,0.62,1.2,0.7,0.423,0.0012,1.604,86.516,0.149769,0.647,0.000137,0.000097,0.133256,0.639327,0.000003,0.060277,0.325489,S.Cerrado
300,0.62,1.2,0.7,0.423,0.0012,1.606,86.460,0.148494,0.648,0.000150,0.000114,0.132831,0.638371,0.000003,0.064678,0.325566,S.Cerrado
305,0.62,1.2,0.7,0.423,0.0012,1.608,86.415,0.147468,0.647,0.000137,0.000071,0.132489,0.637601,0.000002,0.043865,0.325487,S.Cerrado
310,0.62,1.2,0.7,0.423,0.0012,1.609,86.378,0.146423,0.647,0.000145,0.000072,0.132141,0.636817,0.000002,0.041938,0.325537,S.Cerrado
315,0.62,1.2,0.7,0.423,0.0012,1.611,86.348,0.145497,0.647,0.000153,0.000079,0.131832,0.636123,0.000002,0.043283,0.325586,S.Cerrado
320,0.62,1.2,0.7,0.423,0.0012,1.612,86.323,0.144882,0.647,0.000137,0.000017,0.131627,0.635662,0.000000,0.010269,0.325489,S.Cerrado
325,0.62,1.2,0.7,0.423,0.0012,1.613,86.305,0.144234,0.647,0.000140,0.000031,0.131411,0.635175,0.000001,0.018414,0.325506,S.Cerrado
330,0.62,1.2,0.7,0.423,0.0012,1.614,86.292,0.143775,0.648,0.000136,0.000019,0.131258,0.634831,0.000001,0.011638,0.325478,S.Cerrado
335,0.62,1.2,0.7,0.423,0.0012,1.615,86.282,0.143304,0.648,0.000142,0.000036,0.131101,0.634478,0.000001,0.021013,0.325520,S.Cerrado
340,0.62,1.2,0.7,0.423,0.0012,1.616,86.274,0.142991,0.648,0.000144,0.000033,0.130997,0.634243,0.000001,0.019239,0.325528,S.Cerrado
345,0.62,1.2,0.7,0.423,0.0012,1.616,86.270,0.142646,0.648,0.000149,0.000021,0.130882,0.633984,0.000001,0.011918,0.325561,S.Cerrado
350,0.62,1.2,0.7,0.423,0.0012,1.617,86.266,0.142480,0.648,0.000147,0.000028,0.130827,0.633860,0.000001,0.015779,0.325546,S.Cerrado
355,0.62,1.2,0.7,0.423,0.0012,1.617,86.264,0.142351,0.648,0.000147,0.000013,0.130784,0.633763,0.000000,0.007254,0.325547,S.Cerrado
360,0.62,1.2,0.7,0.423,0.0012,1.617,86.263,0.142349,0.647,0.000139,0.000003,0.130783,0.633762,0.000000,0.002038,0.325497,S.Cerrado
365,0.62,1.2,0.7,0.423,0.0012,1.617,86.263,0.142292,0.647,0.000134,0.000020,0.130764,0.633719,0.000001,0.012335,0.325471,S.Cerrado
370,0.62,1.2,0.7,0.423,0.0012,1.617,86.262,0.142276,0.646,0.000142,0.000005,0.130759,0.633707,0.000000,0.003072,0.325516,S.Cerrado
375,0.62,1.2,0.7,0.423,0.0012,1.617,86.263,0.142230,0.647,0.000149,0.000012,0.130743,0.633672,0.000000,0.006787,0.325558,S.Cerrado
380,0.62,1.2,0.7,0.423,0.0012,1.617,86.263,0.142297,0.647,0.000136,0.000019,0.130766,0.633723,0.000001,0.011516,0.325484,S.Cerrado
385,0.62,1.2,0.7,0.423,0.0012,1.617,86.262,0.142202,0.647,0.000147,0.000005,0.130734,0.633652,0.000000,0.002743,0.325551,S.Cerrado
390,0.62,1.2,0.7,0.423,0.0012,1.617,86.263,0.142234,0.647,0.000145,0.000007,0.130745,0.633676,0.000000,0.004113,0.325534,S.Cerrado
395,0.62,1.2,0.7,0.423,0.0012,1.617,86.263,0.142272,0.647,0.000140,0.000006,0.130757,0.633704,0.000000,0.003696,0.325503,S.Cerrado
400,0.62,1.2,0.7,0.423,0.0012,1.617,86.263,0.142246,0.648,0.000141,0.000012,0.130749,0.633684,0.000000,0.007061,0.325514,S.Cerrado
405,0.62,1.2,0.7,0.423,0.0012,1.617,86.263,0.142209,0.649,0.000145,0.000000,0.130736,0.633657,0.000000,0.000204,0.325536,S.Cerrado
410,0.62,1.2,0.7,0.423,0.0012,1.617,86.263,0.142234,0.649,0.000145,0.000003,0.130745,0.633675,0.000000,0.001533,0.325536,S.Cerrado
415,0.62,1.2,0.7,0.423,0.0012,1.617,86.264,0.142250,0.649,0.000137,0.000021,0.130750,0.633687,0.000001,0.012858,0.325489,S.Cerrado
420,0.62,1.2,0.7,0.423,0.0012,1.617,86.264,0.142238,0.649,0.000139,0.000012,0.130746,0.633679,0.000000,0.007001,0.325497,S.Cerrado
425,0.62,1.2,0.7,0.423,0.0012,1.617,86.264,0.142202,0.649,0.000145,0.000009,0.130734,0.633652,0.000000,0.005355,0.325537,S.Cerrado
430,0.62,1.2,0.7,0.423,0.0012,1.617,86.264,0.142212,0.648,0.000144,0.000003,0.130737,0.633659,0.000000,0.001497,0.325531,S.Cerrado
435,0.62,1.2,0.7,0.423,0.0012,1.617,86.264,0.142238,0.648,0.000143,0.000008,0.130746,0.633679,0.000000,0.004373,0.325526,S.Cerrado
440,0.62,1.2,0.7,0.423,0.0012,1.617,86.264,0.142287,0.647,0.000138,0.000011,0.130762,0.633716,0.000000,0.006548,0.325491,S.Cerrado
445,0.62,1.2,0.7,0.423,0.0012,1.617,86.264,0.142229,0.647,0.000145,0.000002,0.130743,0.633672,0.000000,0.001267,0.325534,S.Cerrado
450,0.62,1.2,0.7,0.423,0.0012,1.617,86.264,0.142306,0.647,0.000140,0.000014,0.130769,0.633730,0.000000,0.008056,0.325506,S.Cerrado
455,0.62,1.2,0.7,0.423,0.0012,1.617,86.264,0.142342,0.647,0.000139,0.000012,0.130781,0.633757,0.000000,0.007244,0.325496,S.Cerrado
460,0.62,1.2,0.7,0.423,0.0012,1.617,86.264,0.142286,0.647,0.000144,0.000010,0.130762,0.633715,0.000000,0.006037,0.325527,S.Cerrado
465,0.62,1.2,0.7,0.423,0.0012,1.617,86.263,0.142209,0.647,0.000143,0.000002,0.130736,0.633657,0.000000,0.001088,0.325523,S.Cerrado
470,0.62,1.2,0.7,0.423,0.0012,1.617,86.263,0.142226,0.647,0.000146,0.000012,0.130742,0.633670,0.000000,0.006665,0.325543,S.Cerrado
475,0.62,1.2,0.7,0.423,0.0012,1.617,86.263,0.142244,0.648,0.000142,0.000003,0.130748,0.633683,0.000000,0.001952,0.325517,S.Cerrado
480,0.62,1.2,0.7,0.423,0.0012,1.617,86.263,0.142221,0.648,0.000141,0.000016,0.130740,0.633666,0.000000,0.009288,0.325509,S.Cerrado
485,0.62,1.2,0.7,0.423,0.0012,1.617,86.264,0.142261,0.648,0.000137,0.000016,0.130754,0.633696,0.000000,0.009577,0.325490,S.Cerrado
490,0.62,1.2,0.7,0.423,0.0012,1.617,86.264,0.142246,0.648,0.000137,0.000018,0.130749,0.633684,0.000000,0.011048,0.325485,S.Cerrado
495,0.62,1.2,0.7,0.423,0.0012,1.617,86.264,0.142232,0.648,0.000139,0.000009,0.130744,0.633674,0.000000,0.005092,0.325499,S.Cerrado
500,0.62,1.2,0.7,0.423,0.0012,1.617,86.264,0.142165,0.648,0.000152,0.000021,0.130722,0.633624,0.000001,0.011719,0.325577,S.Cerrado
505,0.62,1.2,0.7,0.423,0.0012,1.617,86.265,0.142301,0.648,0.000137,0.000016,0.130767,0.633726,0.000000,0.009818,0.325486,S.Cerrado
510,0.62,1.2,0.7,0.423,0.0012,1.617,86.264,0.142289,0.649,0.000140,0.000009,0.130763,0.633717,0.000000,0.005324,0.325508,S.Cerrado
515,0.62,1.2,0.7,0.423,0.0012,1.617,86.264,0.142304,0.649,0.000144,0.000005,0.130768,0.633728,0.000000,0.003021,0.325529,S.Cerrado
520,0.62,1.2,0.7,0.423,0.0012,1.617,86.263,0.142289,0.649,0.000148,0.000011,0.130763,0.633717,0.000000,0.006027,0.325555,S.Cerrado
525,0.62,1.2,0.7,0.423,0.0012,1.617,86.263,0.142291,0.649,0.000139,0.000009,0.130764,0.633718,0.000000,0.005219,0.325502,S.Cerrado
530,0.62,1.2,0.7,0.423,0.0012,1.617,86.263,0.142231,0.649,0.000145,0.000007,0.130744,0.633673,0.000000,0.003850,0.325535,S.Cerrado
535,0.62,1.2,0.7,0.423,0.0012,1.617,86.262,0.142219,0.649,0.000144,0.000002,0.130740,0.633664,0.000000,0.000867,0.325528,S.Cerrado
540,0.62,1.2,0.7,0.423,0.0012,1.617,86.263,0.142281,0.648,0.000136,0.000010,0.130760,0.633711,0.000000,0.006188,0.325483,S.Cerrado
545,0.62,1.2,0.7,0.423,0.0012,1.617,86.263,0.142267,0.649,0.000141,0.000001,0.130756,0.633700,0.000000,0.000633,0.325511,S.Cerrado
550,0.62,1.2,0.7,0.423,0.0012,1.617,86.263,0.142225,0.649,0.000145,0.000013,0.130742,0.633669,0.000000,0.007662,0.325538,S.Cerrado
555,0.62,1.2,0.7,0.423,0.0012,1.617,86.263,0.142309,0.648,0.000137,0.000010,0.130770,0.633732,0.000000,0.005979,0.325485,S.Cerrado
560,0.62,1.2,0.7,0.423,0.0012,1.617,86.262,0.142243,0.648,0.000140,0.000008,0.130748,0.633682,0.000000,0.004490,0.325503,S.Cerrado
565,0.62,1.2,0.7,0.423,0.0012,1.617,86.262,0.142215,0.648,0.000147,0.000005,0.130738,0.633661,0.000000,0.002723,0.325548,S.Cerrado
570,0.62,1.2,0.7,0.423,0.0012,1.617,86.262,0.142230,0.647,0.000139,0.000006,0.130743,0.633673,0.000000,0.003349,0.325496,S.Cerrado
575,0.62,1.2,0.7,0.423,0.0012,1.617,86.263,0.142187,0.647,0.000147,0.000000,0.130729,0.633640,0.000000,0.000152,0.325545,S.Cerrado
580,0.62,1.2,0.7,0.423,0.0012,1.617,86.263,0.142306,0.647,0.000135,0.000012,0.130769,0.633729,0.000000,0.007636,0.325475,S.Cerrado
585,0.62,1.2,0.7,0.423,0.0012,1.617,86.263,0.142255,0.647,0.000139,0.000001,0.130752,0.633691,0.000000,0.000832,0.325502,S.Cerrado
590,0.62,1.2,0.7,0.423,0.0012,1.617,86.263,0.142193,0.647,0.000146,0.000009,0.130731,0.633645,0.000000,0.004935,0.325542,S.Cerrado
595,0.62,1.2,0.7,0.423,0.0012,1.618,86.263,0.142215,0.648,0.000141,0.000003,0.130738,0.633661,0.000000,0.001713,0.325514,S.Cerrado
600,0.62,1.2,0.7,0.423,0.0012,1.617,86.264,0.142273,0.648,0.000140,0.000014,0.130758,0.633705,0.000000,0.008453,0.325503,S.Cerrado
605,0.62,1.2,0.7,0.423,0.0012,1.617,86.264,0.142283,0.648,0.000138,0.000013,0.130761,0.633713,0.000000,0.007735,0.325490,S.Cerrado
610,0.62,1.2,0.7,0.423,0.0012,1.617,86.264,0.142225,0.648,0.000150,0.000018,0.130742,0.633669,0.000000,0.009748,0.325566,S.Cerrado
615,0.62,1.2,0.7,0.423,0.0012,1.617,86.264,0.142282,0.647,0.000147,0.000012,0.130761,0.633711,0.000000,0.006821,0.325547,S.Cerrado
620,0.62,1.2,0.7,0.423,0.0012,1.617,86.264,0.142278,0.647,0.000145,0.000003,0.130759,0.633709,0.000000,0.001922,0.325534,S.Cerrado
625,0.62,1.2,0.7,0.423,0.0012,1.617,86.264,0.142242,0.647,0.000148,0.000018,0.130747,0.633681,0.000000,0.010369,0.325552,S.Cerrado
630,0.62,1.2,0.7,0.423,0.0012,1.617,86.264,0.142266,0.646,0.000140,0.000001,0.130755,0.633700,0.000000,0.000666,0.325507,S.Cerrado
635,0.62,1.2,0.7,0.423,0.0012,1.617,86.263,0.142194,0.645,0.000145,0.000006,0.130731,0.633646,0.000000,0.003305,0.325534,S.Cerrado
640,0.617,1.2,0.7,0.423,0.0012,1.618,86.239,0.142077,0.646,0.000148,0.000065,0.130692,0.631008,0.000002,0.036393,0.325554,S.Cerrado
645,0.617,1.2,0.7,0.423,0.0012,1.620,86.189,0.141715,0.646,0.000146,0.000052,0.130572,0.630736,0.000001,0.029096,0.325544,S.Cerrado
650,0.6,1.2,0.7,0.423,0.0012,1.629,85.975,0.140179,0.646,0.000148,0.000342,0.130060,0.615134,0.000009,0.185317,0.325552,S.Cerrado
655,0.594,1.2,0.7,0.423,0.0012,1.646,85.477,0.136423,0.646,0.000153,0.000435,0.128808,0.607217,0.000011,0.221940,0.325587,S.Cerrado
660,0.564,1.2,0.7,0.423,0.0012,1.705,83.603,0.129036,0.646,0.000400,0.003614,0.126345,0.576177,0.000086,0.658212,0.327091,S.Cerrado
665,0.533,1.2,0.7,0.423,0.0012,1.403,66.677,0.097861,0.645,0.000394,0.008463,0.115954,0.526445,0.000169,1.310861,0.327056,Ciclo Quieto
670,0.533,1.2,0.7,0.423,0.0012,1.142,52.710,0.073122,0.645,0.000397,0.006641,0.107707,0.507892,0.000119,0.916039,0.327072,Transición
675,0.533,1.2,0.7,0.423,0.0012,0.931,41.689,0.054415,0.644,0.000390,0.005207,0.263071,0.493861,0.000221,1.734922,0.327031,Ciclo Límite
680,0.533,1.2,0.7,0.423,0.0012,0.762,32.990,0.040330,0.643,0.000385,0.004075,0.427524,0.483298,0.000275,2.187596,0.327000,Ciclo Límite
685,0.533,1.2,0.7,0.423,0.0012,0.625,26.118,0.029741,0.642,0.000386,0.003187,0.443247,0.475356,0.000220,1.740346,0.327006,Ciclo Límite
690,0.533,1.2,0.7,0.423,0.0012,0.516,20.688,0.021821,0.639,0.000390,0.002496,0.440607,0.469416,0.000169,1.324412,0.327030,Ciclo Límite
695,0.533,1.2,0.7,0.423,0.0012,0.427,16.396,0.016048,0.638,0.000380,0.001947,0.368597,0.465086,0.000109,0.878410,0.326971,Ciclo Límite
700,0.533,1.2,0.7,0.423,0.0012,0.356,12.999,0.011687,0.632,0.000386,0.001523,0.301089,0.461815,0.000069,0.547998,0.327010,Transición
705,0.533,1.2,0.7,0.423,0.0012,0.299,10.311,0.008533,0.632,0.000387,0.001187,0.247783,0.459450,0.000044,0.349597,0.327011,Transición
710,0.533,1.2,0.7,0.423,0.0012,0.253,8.183,0.006215,0.624,0.000383,0.000943,0.205624,0.457711,0.000029,0.231377,0.326991,Transición
715,0.533,1.2,0.7,0.423,0.0012,0.216,6.497,0.004534,0.624,0.000386,0.000732,0.172280,0.456450,0.000019,0.148984,0.327010,Transición
720,0.539,1.2,0.7,0.423,0.0012,0.189,5.297,0.003408,0.626,0.000384,0.000521,0.148574,0.460706,0.000012,0.092865,0.326994,Transición
725,0.539,1.2,0.7,0.423,0.0012,0.168,4.342,0.002547,0.618,0.000382,0.000412,0.129720,0.460060,0.000008,0.064351,0.326984,Colapso
730,0.547,1.2,0.7,0.423,0.0012,0.154,3.711,0.002079,0.611,0.000380,0.000253,0.117304,0.466509,0.000005,0.036531,0.326968,Colapso
735,0.547,1.2,0.7,0.423,0.0012,0.142,3.175,0.001625,0.621,0.000388,0.000219,0.106715,0.466169,0.000004,0.028129,0.327016,Colapso
740,0.547,1.2,0.7,0.423,0.0012,0.132,2.715,0.001275,0.623,0.000389,0.000192,0.097655,0.465906,0.000003,0.022468,0.327022,Colapso
745,0.547,1.2,0.7,0.423,0.0012,0.123,2.324,0.001007,0.643,0.000396,0.000184,0.089967,0.465705,0.000003,0.019447,0.327069,Colapso
750,0.547,1.2,0.7,0.423,0.0012,0.116,1.990,0.000844,0.605,0.000394,0.000142,0.083615,0.465583,0.000002,0.014034,0.327057,Colapso
755,0.549,1.2,0.7,0.423,0.0012,0.109,1.708,0.000684,0.629,0.000401,0.000127,0.083561,0.467163,0.000002,0.012337,0.327098,Colapso
760,0.554,1.2,0.7,0.423,0.0012,0.105,1.513,0.000666,0.578,0.000389,0.000082,0.083555,0.471399,0.000001,0.008336,0.327024,Colapso
765,0.555,1.2,0.7,0.423,0.0012,0.101,1.351,0.000535,0.509,0.000402,0.000084,0.083512,0.472151,0.000001,0.008260,0.327105,Colapso
770,0.561,1.2,0.7,0.423,0.0012,0.099,1.229,0.000539,0.489,0.000400,0.000055,0.083513,0.477255,0.000001,0.005442,0.327090,Colapso
775,0.561,1.2,0.7,0.423,0.0012,0.097,1.132,0.000536,0.551,0.000395,0.000050,0.083512,0.477252,0.000001,0.005068,0.327060,Colapso
780,0.561,1.2,0.7,0.423,0.0012,0.095,1.042,0.000522,0.540,0.000393,0.000047,0.083507,0.477242,0.000001,0.004802,0.327049,Colapso
785,0.564,1.2,0.7,0.423,0.0012,0.093,0.966,0.000447,0.550,0.000397,0.000031,0.083482,0.479735,0.000000,0.003158,0.327073,Colapso
790,0.565,1.2,0.7,0.423,0.0012,0.093,0.908,0.000373,0.503,0.000412,0.000048,0.083458,0.480530,0.000001,0.004628,0.327169,Colapso
795,0.565,1.2,0.7,0.423,0.0012,0.091,0.853,0.000405,0.533,0.000403,0.000025,0.083468,0.480554,0.000000,0.002492,0.327113,Colapso
800,0.569,1.2,0.7,0.423,0.0012,0.091,0.816,0.000501,0.525,0.000392,0.000031,0.083500,0.484026,0.000000,0.003197,0.327044,Colapso
805,0.573,1.2,0.7,0.423,0.0012,0.090,0.792,0.000431,0.616,0.000403,0.000010,0.083477,0.487373,0.000000,0.000996,0.327111,Colapso
810,0.573,1.2,0.7,0.423,0.0012,0.090,0.775,0.000475,0.535,0.000404,0.000025,0.083492,0.487406,0.000000,0.002467,0.327118,Colapso
815,0.573,1.2,0.7,0.423,0.0012,0.090,0.757,0.000526,0.543,0.000398,0.000010,0.083509,0.487444,0.000000,0.001002,0.327082,Colapso
820,0.573,1.2,0.7,0.423,0.0012,0.090,0.742,0.000462,0.498,0.000401,0.000015,0.083487,0.487397,0.000000,0.001480,0.327099,Colapso
825,0.573,1.2,0.7,0.423,0.0012,0.090,0.725,0.000446,0.481,0.000405,0.000012,0.083482,0.487384,0.000000,0.001229,0.327125,Colapso
830,0.573,1.2,0.7,0.423,0.0012,0.089,0.709,0.000407,0.503,0.000405,0.000013,0.083469,0.487356,0.000000,0.001286,0.327120,Colapso
835,0.573,1.2,0.7,0.423,0.0012,0.089,0.694,0.000468,0.386,0.000401,0.000017,0.083489,0.487401,0.000000,0.001696,0.327097,Colapso
840,0.573,1.2,0.7,0.423,0.0012,0.089,0.679,0.000467,0.371,0.000407,0.000013,0.083489,0.487400,0.000000,0.001320,0.327133,Colapso
