ciclo,num_estados,delta_struct,var_error,p_reinicio,i_es,i_sm,derivada,contador_colapso
56,57,1,0.0,0.0,3.245138676795633e-06,0.0012915540850980001,20.183611230396725,0
57,58,1,0.0,0.0,4.001447630748546e-06,0.0014283982194835169,20.221841985736418,0
58,59,1,0.0,0.0,3.806982230694474e-06,0.0015981973907199156,20.2520035970414,0
59,60,1,0.0,0.0,3.2269846384707057e-06,0.0014040967318452457,20.269328199792024,0
60,61,1,0.0,0.0,3.2476290141514843e-06,0.0013571831121747167,20.277895318195274,0
61,62,1,0.0,0.0,3.3635777772438964e-06,0.0012339381392982088,20.30232655622203,0
62,63,1,0.0,0.0,3.413839629678525e-06,0.0013952185520886371,20.32103555472121,0
63,64,1,0.0,0.0,3.787972698434819e-06,0.001598623749140903,20.326597743295853,0
64,65,1,0.0,0.0,3.3679609591716175e-06,0.001507423660438524,20.322870621391967,0
65,66,1,0.0,0.0,3.1323397568682175e-06,0.0011746465291354413,20.321252569089097,0
66,67,1,0.0,0.0,3.255360560588995e-06,0.0013216809540332192,20.33554746051587,0
67,68,1,0.0,0.0,3.4580383659362674e-06,0.0014355519438549414,20.327955717277074,0
68,69,1,0.0,0.0,3.203522572621553e-06,0.001495893709057509,20.304081889619063,0
69,70,1,0.0,0.0,3.7559741121638367e-06,0.001343653990306812,20.309130509533972,0
70,71,1,0.0,0.0,3.6016700403834454e-06,0.001404607566782877,20.31370894658187,0
71,72,1,0.0,0.0,3.4808299372106353e-06,0.0016550463563220802,20.313644372141898,0
72,73,1,0.0,0.0,3.5669966558157124e-06,0.0016201331053995426,20.315536427963472,0
73,74,1,0.0,0.0,3.4828972321039863e-06,0.0014611723408107522,20.31196439905209,0
74,75,1,0.0,0.0,3.838512133092152e-06,0.0014212506596011126,20.320890010737667,0
75,76,1,0.0,0.0,2.876028033425152e-06,0.0013360640320927626,20.346593008283772,0
76,77,1,0.0,0.0,3.469376670658445e-06,0.0011911295028318373,20.354319329262477,0
77,78,1,0.0,0.0,2.985878201019872e-06,0.0013679962047149154,20.359994953088282,0
78,79,1,0.0,0.0,2.9749984726613623e-06,0.0011610415436998124,20.366811535268983,0
79,80,1,0.0,0.0,3.2831474334601764e-06,0.0011961320999599213,20.39266410745235,0
80,81,1,0.0,0.0,3.4654266645144802e-06,0.0012142954149582002,20.410176150560282,0
81,82,1,0.0,0.0,3.7125105393296998e-06,0.0016765236566980758,20.39417680945472,0
82,83,1,0.0,0.0,3.93359730433001e-06,0.001636135908096509,20.391725776730635,0
83,84,1,0.0,0.0,3.7269646214985546e-06,0.0017409410926121096,20.384766926833198,0
84,85,1,0.0,0.0,3.343426781423721e-06,0.0014557200953138841,20.384524023158317,0
85,86,1,0.0,0.0,3.335446645379839e-06,0.0014383980016135312,20.396448496522048,0
86,87,1,0.0,0.0,3.5839273539409313e-06,0.0014156319158933823,20.393969921351708,0
87,88,1,0.0,0.0,3.3979462438989936e-06,0.0014526596400081737,20.388200308429557,0
88,89,1,0.0,0.0,3.0669873564873903e-06,0.0013577054213096506,20.376244178908482,0
89,90,1,0.0,0.0,3.2433041507257695e-06,0.0012128982685507307,20.372555828678127,0
90,91,1,0.0,0.0,3.0289411436526683e-06,0.0011764632323014897,20.379254615098905,0
91,92,1,0.0,0.0,3.7483907457751387e-06,0.0013795021499512223,20.373837369710387,0
92,93,1,0.0,0.0,3.1299008617729984e-06,0.0016787584834413115,20.354228208576316,0
93,94,1,0.0,0.0,2.783734979195323e-06,0.0012309704857049047,20.338150784616005,0
94,95,1,0.0,0.0,2.8158194644023014e-06,0.001237878537898393,20.30572312170464,0
95,96,1,0.0,0.0,3.7291858556946973e-06,0.0013534043805710186,20.28536353219511,0
96,97,1,0.0,0.0,3.170782540280395e-06,0.001395194959636926,20.287086351884927,0
97,98,1,0.0,0.0,3.32488190467116e-06,0.0014460647792961545,20.282176919734404,0
98,99,1,0.0,0.0,3.677891677739283e-06,0.0014760291114172426,20.272714659958393,0
99,100,1,0.0,0.0,3.499631838969103e-06,0.0017353806019037663,20.269542392130997,0
100,101,1,0.0,0.0,3.626231157044796e-06,0.0013727187264751988,20.28176242362548,0
101,102,1,0.0,0.0,3.839141169504853e-06,0.0015744437977417629,20.2900429474351,0
102,103,1,0.0,0.0,3.498529388676591e-06,0.001684694860050826,20.280425102212714,0
103,104,1,0.0,0.0,4.389665791743356e-06,0.0018527923341988013,20.284793067333247,0
104,105,1,0.0,0.0,3.4535030033357673e-06,0.0015857987052328424,20.293914467385655,0
105,106,1,0.0,0.0,3.2541602150403708e-06,0.0013584766719423606,20.310446660541434,0
106,107,1,0.0,0.0,4.00503351964251e-06,0.001294667579275128,20.336347207641808,0
107,108,1,0.0,0.0,3.1540130135413755e-06,0.0013566729896548795,20.347188993026847,0
108,109,1,0.0,0.0,3.746250115753891e-06,0.0014266904201061911,20.33388139706818,0
109,110,1,0.0,0.0,3.396775829283462e-06,0.0015197104797226924,20.330902413908433,0
110,111,1,0.0,0.0,3.548095260876591e-06,0.0014933710449381988,20.33092623669611,0
111,112,1,0.0,0.0,3.4137730539083706e-06,0.0016747157842986853,20.317275801667325,0
112,113,1,0.0,0.0,2.4143337741821877e-06,0.0011762240743962257,20.30309853740211,0
113,114,1,0.0,0.0,2.9784753878606788e-06,0.001009682037770334,20.295730866507295,0
