ciclo,num_estados,delta_struct,var_error,p_reinicio,i_es,i_sm,derivada,contador_colapso
181,182,1,0.0,0.0,3.816985674842364e-06,0.001409015497558308,20.722083757195783,0
182,183,1,0.0,0.0,3.5258480711372543e-06,0.001624347201244906,20.719854642169263,0
183,184,1,0.0,0.0,3.6397656701627744e-06,0.00156392654663587,20.71440825324546,0
184,185,1,0.0,0.0,3.276213102743276e-06,0.0015276319296089133,20.71018428761867,0
185,186,1,0.0,0.0,3.792799967198241e-06,0.0013193680244411984,20.715021322582732,0
186,187,1,0.0,0.0,3.2334540914071375e-06,0.0015069816304421162,20.716496265832845,0
187,188,1,0.0,0.0,3.311739705368297e-06,0.0012823076064584639,20.719988441716335,0
188,189,1,0.0,0.0,3.559516183746088e-06,0.0014404592437233454,20.724111690171974,0
189,190,1,0.0,0.0,3.8000432330409494e-06,0.001584767207877116,20.723861723273114,0
190,191,1,0.0,0.0,3.3642021410776314e-06,0.001396087730880206,20.728378321635955,0
191,192,1,0.0,0.0,3.127998142168876e-06,0.0012977263850442809,20.72848150677028,0
192,193,1,0.0,0.0,3.6381590752667443e-06,0.0014447854939941386,20.724926707639366,0
193,194,1,0.0,0.0,3.796382831508717e-06,0.0016257897546253716,20.72762924409774,0
194,195,1,0.0,0.0,3.624621308683819e-06,0.0016999148113055033,20.726602965174767,0
195,196,1,0.0,0.0,3.455202057473766e-06,0.001448636087793146,20.731408077557305,0
196,197,1,0.0,0.0,3.01345548991174e-06,0.0012981087328781864,20.741054105578954,0
197,198,1,0.0,0.0,3.442278431340831e-06,0.0013492816073117412,20.7435354702172,0
198,199,1,0.0,0.0,3.838277624417719e-06,0.0017666228827060474,20.74896963546173,0
199,200,1,0.0,0.0,3.380008840550615e-06,0.0016377742421639996,20.749606472750955,0
200,201,1,0.0,0.0,3.407574872702369e-06,0.001509383951556524,20.74309543822048,0
201,202,1,0.0,0.0,3.3590037332857163e-06,0.0014499803729982347,20.736981027794005,0
202,203,1,0.0,0.0,3.652181308225707e-06,0.0014286805039929401,20.729478288188318,0
203,204,1,0.0,0.0,3.5223286047058636e-06,0.0015634923532712674,20.725740337942355,0
204,205,1,0.0,0.0,2.8923912700615377e-06,0.0012861919029550717,20.727179545224875,0
205,206,1,0.0,0.0,2.620438979303921e-06,0.0011523017296586164,20.71829624955223,0
206,207,1,0.0,0.0,3.3549574585577938e-06,0.001140108745210467,20.701858253865627,0
207,208,1,0.0,0.0,3.97223155213561e-06,0.0016774394176619634,20.699218999141916,0
208,209,1,0.0,0.0,3.279961949873471e-06,0.0014726975013250577,20.705806601752993,0
209,210,1,0.0,0.0,3.3508526703991194e-06,0.0013382260583248379,20.710982197365567,0
210,211,1,0.0,0.0,3.796712845153974e-06,0.0015153984834522048,20.71273265778143,0
211,212,1,0.0,0.0,3.6479971079398036e-06,0.001489375979820975,20.71331752325784,0
212,213,1,0.0,0.0,3.0434619049928256e-06,0.0013862671553623088,20.71414829421963,0
213,214,1,0.0,0.0,3.893593529713148e-06,0.0014112651387535944,20.712486583565227,0
214,215,1,0.0,0.0,4.201572434301709e-06,0.0017010855776857124,20.714193107937124,0
215,216,1,0.0,0.0,3.50783729798909e-06,0.0015422036874051296,20.72137439845352,0
216,217,1,0.0,0.0,3.435640103707086e-06,0.0014529415774976165,20.723493590781192,0
217,218,1,0.0,0.0,3.421769085200872e-06,0.0013698200250804816,20.722589466856302,0
218,219,1,0.0,0.0,3.6043396478938577e-06,0.001453706121963408,20.71959179798986,0
219,220,1,0.0,0.0,3.7418438759792988e-06,0.001593493459257893,20.7114157796017,0
220,221,1,0.0,0.0,3.1980814322141176e-06,0.0014723359117494836,20.705867923650153,0
221,222,1,0.0,0.0,3.479689379177806e-06,0.001411995868327817,20.704605406650252,0
222,223,1,0.0,0.0,2.974898607444975e-06,0.001245925383758184,20.706920242994105,0
223,224,1,0.0,0.0,3.287478307714099e-06,0.0011099959972884202,20.706691059492513,0
224,225,1,0.0,0.0,3.1008559787971796e-06,0.0012635992539526532,20.700638165510327,0
225,226,1,0.0,0.0,4.136954117863596e-06,0.0015496187795372336,20.70280183617009,0
