anio,anillo_san_gabriel,arboles_san_gabriel,anillo_el_asiento,arboles_el_asiento,lluvia_mm_medida,inundacion_documentada
1528,1.109,8,1.19,16,,
1529,1.061,8,1.29,16,,
1530,1.031,8,1.133,17,,
1531,1.31,9,1.18,18,,
1532,1.289,10,0.916,18,,
1533,1.213,10,0.981,19,,
1534,1.093,10,0.818,19,,
1535,1.324,10,1.019,19,,
1536,1.184,10,1.01,19,,
1537,1.252,10,1.075,19,,
1538,1.117,10,1.079,19,,
1539,0.633,10,1.215,19,,
1540,0.646,10,0.34,19,,
1541,0.745,11,0.84,19,,
1542,0.917,11,0.964,19,,
1543,1.07,11,0.939,20,,
1544,1.345,13,1.008,20,,1
1545,1.203,13,1.16,20,,
1546,1.333,13,1.06,20,,
1547,0.85,13,0.293,20,,
1548,0.735,14,0.59,20,,
1549,0.972,14,0.797,20,,
1550,0.867,14,0.851,21,,
1551,0.863,14,0.795,21,,
1552,0.939,14,0.982,21,,
1553,1.155,14,0.981,21,,
1554,0.929,14,0.955,21,,
1555,1.11,14,1.011,22,,
1556,1.109,14,1.109,22,,
1557,0.938,14,0.93,22,,
1558,0.887,14,0.986,22,,
1559,0.936,14,1.015,22,,
1560,0.775,14,0.855,24,,
1561,1.184,15,1.17,24,,
1562,1.193,15,1.158,24,,
1563,0.968,15,1.045,24,,
1564,0.869,15,0.998,24,,
1565,0.907,15,1.144,24,,
1566,0.98,15,1.263,24,,
1567,0.954,15,1.046,24,,
1568,1.411,15,1.184,24,,
1569,1.307,15,1.081,24,,
1570,1.02,15,0.868,24,,
1571,0.828,15,0.848,24,,
1572,0.782,15,0.647,25,,
1573,0.69,15,0.531,25,,
1574,0.75,15,0.669,25,,1
1575,0.629,15,0.634,25,,
1576,0.607,15,0.74,25,,
1577,0.732,15,0.775,25,,
1578,0.739,15,0.663,25,,
1579,0.66,15,0.776,25,,
1580,0.668,15,0.726,25,,
1581,0.873,15,0.975,25,,
1582,0.668,15,0.994,25,,
1583,0.793,15,0.783,25,,
1584,0.911,15,0.898,25,,
1585,0.969,15,1.067,26,,
1586,1.025,15,1.102,26,,
1587,0.96,15,1.022,26,,
1588,0.793,16,0.757,26,,
1589,1.2,16,1.197,26,,
1590,1.48,18,1.222,26,,
1591,1.413,19,1.116,26,,
1592,1.26,19,1.089,26,,
1593,1.672,20,1.487,26,,
1594,1.627,20,1.365,26,,
1595,1.244,20,1.268,26,,
1596,1.25,20,1.196,26,,
1597,1.077,20,1.018,26,,1
1598,1.001,20,0.43,27,,
1599,0.841,20,1.0,27,,
1600,1.135,21,0.993,29,,
1601,1.189,21,0.937,29,,
1602,1.13,21,1.033,29,,
1603,1.013,22,0.95,29,,
1604,1.325,22,0.841,29,,
1605,1.097,23,0.901,29,,
